Player,Team,Pos,Injury,Status,Est. Return
Chance Campbell,TEN,LB,Knee,IR,Subscribers Only
De'Vondre Campbell,GB,LB,Knee,Out,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Marcus Cannon,NE,OT,Concussion,IR,Subscribers Only
Trenton Cannon,TEN,RB,Knee,IR,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Cethan Carter,MIA,TE,Concussion,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Tariq Castro-Fields,WAS,CB,Knee,IR,Subscribers Only
Quintez Cephus,DET,WR,Foot,IR,Subscribers Only
K'Lavon Chaisson,JAX,LB,Knee - Meniscus,IR,Subscribers Only
Ty Chandler,MIN,RB,Thumb,IR,Subscribers Only
DJ Chark,DET,WR,Ankle,IR,Subscribers Only
Ja'Marr Chase,CIN,WR,Hip,Out,Subscribers Only
Anthony Chesley,FA,CB,Hamstring,Out,Subscribers Only
Jeremy Chinn,CAR,S,Hamstring,IR-R,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Jack Cichy,FA,LB,Arm,Questionable,Subscribers Only
Lewis Cine,MIN,S,Leg,IR,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Frank Clark,KC,DE,Suspension,Reserve-Sus,Subscribers Only
Kameron Cline,FA,DT,Concussion,Questionable,Subscribers Only
Randall Cobb,GB,WR,Ankle,IR,Subscribers Only
Tarik Cohen,FA,RB,Achilles,Out,Subscribers Only
Larnel Coleman,CAR,OT,Coach's Decision,Inactive,Subscribers Only
Alex Collins,FA,RB,Abdomen,Questionable,Subscribers Only
Maliek Collins,HOU,DT,Chest,Questionable,Subscribers Only
Nico Collins,HOU,WR,Groin,Questionable,Subscribers Only
Tom Compton,DEN,OT,Back,PUP-R,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
Tanner Conner,MIA,TE,Knee,Questionable,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Brandin Cooks,HOU,WR,Wrist,Questionable,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Jashon Cornell,FA,DT,Undisclosed,Questionable,Subscribers Only
Matt Corral,CAR,QB,Foot,IR,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Aaron Crawford,FA,DT,Undisclosed,Questionable,Subscribers Only
Damarea Crockett,DEN,RB,Knee - ACL,IR,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Jamison Crowder,BUF,WR,Ankle,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Zach Cunningham,TEN,LB,Elbow,Out,Subscribers Only
Lloyd Cushenberry,DEN,C,Groin,IR,Subscribers Only
Tae Daley,ARI,S,Undisclosed,IR,Subscribers Only
Cameron Dantzler,MIN,CB,Ankle,Out,Subscribers Only
Ronald Darby,DEN,CB,Knee,IR,Subscribers Only
Sam Darnold,CAR,QB,Coach's Decision,Inactive,Subscribers Only
Marcus Davenport,NO,DE,Calf,Questionable,Subscribers Only
D.J. Davidson,NYG,DT,Knee - ACL,IR,Subscribers Only
Marlon Davidson,FA,DT,Knee,Questionable,Subscribers Only
Cody Davis,NE,S,Knee,IR,Subscribers Only
Corey Davis,NYJ,WR,Knee - MCL,Questionable,Subscribers Only
Danny Davis,FA,WR,Ankle,Questionable,Subscribers Only
Jordan Davis,PHI,DT,Ankle,IR,Subscribers Only
Kalia Davis,SF,DT,Undisclosed,NFI-R,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Sheldon Day,FA,DT,Back,Questionable,Subscribers Only
