team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
car_2022_2,2022,car,2,nyg,0.54,0.41,0.33,0.66,23.5,8.4,45.8,0.64
car_2022_4,2022,car,4,ari,0.24,0.3,0.37,0.09,-11.3,-23.3,0.7,0.5
car_2022_6,2022,car,6,lar,0.26,0.36,0.24,0.51,-23.7,-35.4,-10.6,0.57
car_2022_8,2022,car,8,atl,0.48,0.49,0.49,0.49,2.8,-41.2,40.5,0.5
car_2022_1,2022,car,1,cle,0.35,0.32,0.44,0.05,3.4,16.4,-8.4,0.58
car_2022_3,2022,car,3,no,0.49,0.48,0.44,0.48,-11.3,-33.8,30.2,0.8
car_2022_5,2022,car,5,sf,0.28,0.39,0.38,0.41,-30.1,-37.0,-23.6,0.65
car_2022_7,2022,car,7,tb,0.75,0.76,0.84,0.61,8.4,2.5,22.1,0.47
car_2022_9,2022,car,9,cin,0.12,0.27,0.32,0.26,-51.0,-42.3,-57.0,0.82
lar_2022_2,2022,lar,2,atl,0.48,0.53,0.56,0.49,15.2,-7.7,42.2,0.11
lar_2022_4,2022,lar,4,sf,0.33,0.34,0.4,0.24,-13.5,-42.0,19.8,0.72
lar_2022_6,2022,lar,6,car,0.65,0.5,0.62,0.42,26.5,38.1,14.3,0.7
lar_2022_8,2022,lar,8,sf,0.3,0.5,0.61,0.17,-41.1,-78.2,-0.8,0.5
lar_2022_1,2022,lar,1,buf,0.32,0.31,0.41,0.16,-1.3,-29.0,60.2,0.58
lar_2022_3,2022,lar,3,ari,0.58,0.55,0.66,0.53,1.2,-5.3,15.5,0.66
lar_2022_5,2022,lar,5,dal,0.5,0.47,0.55,0.13,23.6,77.3,-3.9,0.28
lar_2022_9,2022,lar,9,tb,0.31,0.31,0.45,0.04,5.8,-5.5,33.8,0.43
tb_2022_2,2022,tb,2,no,0.56,0.34,0.51,0.07,46.4,59.9,18.6,0.59
tb_2022_4,2022,tb,4,kc,0.66,0.74,0.76,0.31,-2.8,13.4,-23.3,0.38
tb_2022_6,2022,tb,6,pit,0.35,0.41,0.56,0.24,-9.0,-49.6,35.3,0.48
tb_2022_8,2022,tb,8,bal,0.51,0.62,0.7,0.43,-20.4,-10.3,-32.3,0.53
tb_2022_1,2022,tb,1,dal,0.73,0.52,0.57,0.48,47.7,59.8,20.7,0.56
tb_2022_3,2022,tb,3,gb,0.54,0.46,0.6,0.06,13.8,-6.5,45.4,0.66
tb_2022_5,2022,tb,5,atl,0.65,0.56,0.62,0.45,19.3,32.2,8.2,0.59
tb_2022_7,2022,tb,7,car,0.24,0.41,0.51,0.19,-42.7,-77.6,-10.6,0.64
tb_2022_9,2022,tb,9,lar,0.66,0.48,0.56,0.18,24.5,21.7,28.5,0.83
den_2022_2,2022,den,2,hou,0.54,0.45,0.51,0.43,22.0,38.6,-5.3,0.54
den_2022_4,2022,den,4,lv,0.4,0.42,0.52,0.22,-8.3,-5.6,-11.0,0.64
