p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
bryananger_dal_2022_10,dal_2022_10,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,2,2,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
coreybojorquez_cle_2022_10,cle_2022_10,coreybojorquez_cle_2022,cle_2022,coreybojorquez,27626,p,cle,1,2,2,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
corlisswaitman_den_2022_10,den_2022_10,corlisswaitman_den_2022,den_2022,corlisswaitman,39620,p,den,1,6,6,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mitchwishnowsky_sf_2022_10,sf_2022_10,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,3,3,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
pressleyharviniii_pit_2022_10,pit_2022_10,pressleyharviniii_pit_2022,pit_2022,pressleyharviniii,62973,p,pit,1,4,4,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jamiegillan_nyg_2022_10,nyg_2022_10,jamiegillan_nyg_2022,nyg_2022,jamiegillan,63303,p,nyg,1,6,6,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
andylee_ari_2022_10,ari_2022_10,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,6,6,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kevinhuber_cin_2022_10,cin_2022_10,kevinhuber_cin_2022,cin_2022,kevinhuber,5066,p,cin,1,3,3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
thomasmorstead_mia_2022_10,mia_2022_10,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,1,1,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
johnnyhekker_car_2022_10,car_2022_10,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,5,5,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
sammartin_buf_2022_10,buf_2022_10,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,2,2,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tressway_was_2022_10,was_2022_10,tressway_was_2022,was_2022,tressway,8358,p,was,1,5,5,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
patodonnell_gb_2022_10,gb_2022_10,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,1,1,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
bradleypinion_atl_2022_10,atl_2022_10,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,4,4,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
rileydixon_lar_2022_10,lar_2022_10,rileydixon_lar_2022,lar_2022,rileydixon,10862,p,lar,1,9,9,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
matthaack_ind_2022_10,ind_2022_10,matthaack_ind_2022,ind_2022,matthaack,12212,p,ind,1,8,8,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
cameronjohnston_hou_2022_10,hou_2022_10,cameronjohnston_hou_2022,hou_2022,cameronjohnston,12255,p,hou,1,4,4,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
logancooke_jax_2022_10,jax_2022_10,logancooke_jax_2022,jax_2022,logancooke,29214,p,jax,1,3,3,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tommytownsend_kc_2022_10,kc_2022_10,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,6,6,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jakebailey_ne_2022_10,ne_2022_10,jakebailey_ne_2022,ne_2022,jakebailey,33963,p,ne,1,7,7,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jackfox_det_2022_10,det_2022_10,jackfox_det_2022,det_2022,jackfox,34735,p,det,1,3,3,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
michaeldickson_sea_2022_10,sea_2022_10,michaeldickson_sea_2022,sea_2022,michaeldickson,35381,p,sea,1,3,3,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ajcoleiii_lv_2022_10,lv_2022_10,ajcoleiii_lv_2022,lv_2022,ajcoleiii,36038,p,lv,1,4,4,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jkscott_lac_2022_10,lac_2022_10,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,4,4,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
bradenmann_nyj_2022_10,nyj_2022_10,bradenmann_nyj_2022,nyj_2022,bradenmann,44664,p,nyj,1,3,3,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
blakegillikin_no_2022_10,no_2022_10,blakegillikin_no_2022,no_2022,blakegillikin,45045,p,no,1,5,5,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ryanstonehouse_ten_2022_10,ten_2022_10,ryanstonehouse_ten_2022,ten_2022,ryanstonehouse,52045,p,ten,1,8,8,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
