p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
arthurmaulet_pit_2022_10,pit_2022_10,arthurmaulet_pit_2022,pit_2022,arthurmaulet,12224,cb,pit,1,18,,18.0,0,0,0,0,0,0,0,0,0,10,2022,10
jahlanitavai_ne_2022_10,ne_2022_10,jahlanitavai_ne_2022,ne_2022,jahlanitavai,51055,lb,ne,1,2,,2.0,0,0,0,0,0,0,0,0,0,10,2022,10
kwaunwilliams_den_2022_10,den_2022_10,kwaunwilliams_den_2022,den_2022,kwaunwilliams,9332,cb,den,1,28,,9.3,0,0,0,0,0,0,0,0,0,10,2022,10
kwonalexander_nyj_2022_10,nyj_2022_10,kwonalexander_nyj_2022,nyj_2022,kwonalexander,9557,lb,nyj,1,3,,3.0,0,0,0,0,0,0,0,0,0,10,2022,10
jonasgriffith_den_2022_10,den_2022_10,jonasgriffith_den_2022,den_2022,jonasgriffith,35858,lb,den,1,1,,1.0,0,0,0,0,0,0,0,0,0,10,2022,10
rachadwildgoose_was_2022_10,was_2022_10,rachadwildgoose_was_2022,was_2022,rachadwildgoose,83111,cb,was,1,14,,14.0,0,0,0,0,0,0,0,0,0,10,2022,10
fabianmoreau_nyg_2022_10,nyg_2022_10,fabianmoreau_nyg_2022,nyg_2022,fabianmoreau,11836,cb,nyg,1,3,,1.5,0,0,0,0,0,0,0,0,0,10,2022,10
keithtaylor_car_2022_10,car_2022_10,keithtaylor_car_2022,car_2022,keithtaylor,56289,cb,car,1,1,,1.0,0,0,0,0,0,0,0,0,0,10,2022,10
chuckclark_bal_2022_10,bal_2022_10,chuckclark_bal_2022,bal_2022,chuckclark,11941,s,bal,1,9,,9.0,0,0,0,0,0,0,0,0,0,10,2022,10
gregnewsomeii_cle_2022_10,cle_2022_10,gregnewsomeii_cle_2022,cle_2022,gregnewsomeii,83341,cb,cle,1,30,30.0,30.0,0,0,0,0,0,0,0,0,0,10,2022,10
