p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
justinsimmons_den_2022_10,den_2022_10,justinsimmons_den_2022,den_2022,justinsimmons,10732,s,den,1,1,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
hassanridgeway_sf_2022_10,sf_2022_10,hassanridgeway_sf_2022,sf_2022,hassanridgeway,10750,di,sf,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
anthonybrown_dal_2022_10,dal_2022_10,anthonybrown_dal_2022,dal_2022,anthonybrown,10823,cb,dal,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jayronkearse_dal_2022_10,dal_2022_10,jayronkearse_dal_2022,dal_2022,jayronkearse,10878,s,dal,1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
claytonfejedelem_mia_2022_10,mia_2022_10,claytonfejedelem_mia_2022,mia_2022,claytonfejedelem,10879,s,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mikehilton_cin_2022_10,cin_2022_10,mikehilton_cin_2022,cin_2022,mikehilton,10898,cb,cin,1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
antwaunwoods_ari_2022_10,ari_2022_10,antwaunwoods_ari_2022,ari_2022,antwaunwoods,11332,di,ari,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mylesgarrett_cle_2022_10,cle_2022_10,mylesgarrett_cle_2022,cle_2022,mylesgarrett,11756,ed,cle,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
adoreejackson_nyg_2022_10,nyg_2022_10,adoreejackson_nyg_2022,nyg_2022,adoreejackson,11773,cb,nyg,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ryananderson_pit_2022_10,pit_2022_10,ryananderson_pit_2022,pit_2022,ryananderson,11804,ed,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
chriswormley_pit_2022_10,pit_2022_10,chriswormley_pit_2022,pit_2022,chriswormley,11829,di,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
fabianmoreau_nyg_2022_10,nyg_2022_10,fabianmoreau_nyg_2022,nyg_2022,fabianmoreau,11836,cb,nyg,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
johnjohnsoniii_cle_2022_10,cle_2022_10,johnjohnsoniii_cle_2022,cle_2022,johnjohnsoniii,11847,s,cle,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
montraviusadams_pit_2022_10,pit_2022_10,montraviusadams_pit_2022,pit_2022,montraviusadams,11848,di,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
cameronsutton_pit_2022_10,pit_2022_10,cameronsutton_pit_2022,pit_2022,cameronsutton,11850,cb,pit,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
carloswatkins_dal_2022_10,dal_2022_10,carloswatkins_dal_2022,dal_2022,carloswatkins,11897,di,dal,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mattmilano_buf_2022_10,buf_2022_10,mattmilano_buf_2022,buf_2022,mattmilano,11918,lb,buf,1,1,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
djjones_den_2022_10,den_2022_10,djjones_den_2022,den_2022,djjones,11953,di,den,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
isaacrochell_cle_2022_10,cle_2022_10,isaacrochell_cle_2022,cle_2022,isaacrochell,11980,ed,cle,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
patrickoconnor_tb_2022_10,tb_2022_10,patrickoconnor_tb_2022,tb_2022,patrickoconnor,12005,ed,tb,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
