p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
mitchelltrubisky_pit_2022_10,pit_2022_10,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
joshallen_buf_2022_10,buf_2022_10,joshallen_buf_2022,buf_2022,joshallen,46601,qb,buf,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
justinfields_chi_2022_10,chi_2022_10,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ryantannehill_ten_2022_10,ten_2022_10,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,5,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
cooperrush_dal_2022_10,dal_2022_10,cooperrush_dal_2022,dal_2022,cooperrush,12324,qb,dal,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
macjones_ne_2022_10,ne_2022_10,macjones_ne_2022,ne_2022,macjones,60323,qb,ne,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
marcusmariota_atl_2022_10,atl_2022_10,marcusmariota_atl_2022,atl_2022,marcusmariota,9435,qb,atl,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tracemcsorley_ari_2022_10,ari_2022_10,tracemcsorley_ari_2022,ari_2022,tracemcsorley,32819,qb,ari,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jordanlove_gb_2022_10,gb_2022_10,jordanlove_gb_2022,gb_2022,jordanlove,40306,qb,gb,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
malikwillis_ten_2022_10,ten_2022_10,malikwillis_ten_2022,ten_2022,malikwillis,60341,qb,ten,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jimmygaroppolo_sf_2022_10,sf_2022_10,jimmygaroppolo_sf_2022,sf_2022,jimmygaroppolo,8697,qb,sf,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
teddybridgewater_mia_2022_10,mia_2022_10,teddybridgewater_mia_2022,mia_2022,teddybridgewater,8667,qb,mia,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
zachwilson_nyj_2022_10,nyj_2022_10,zachwilson_nyj_2022,nyj_2022,zachwilson,82096,qb,nyj,1,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
andydalton_no_2022_10,no_2022_10,andydalton_no_2022,no_2022,andydalton,6187,qb,no,1,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
baileyzappe_ne_2022_10,ne_2022_10,baileyzappe_ne_2022,ne_2022,baileyzappe,60396,qb,ne,1,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kennypickett_pit_2022_10,pit_2022_10,kennypickett_pit_2022,pit_2022,kennypickett,60515,qb,pit,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tyrodtaylor_nyg_2022_10,nyg_2022_10,tyrodtaylor_nyg_2022,nyg_2022,tyrodtaylor,6332,qb,nyg,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
skylarthompson_mia_2022_10,mia_2022_10,skylarthompson_mia_2022,mia_2022,skylarthompson,60417,qb,mia,1,16,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
pjwalker_car_2022_10,car_2022_10,pjwalker_car_2022,car_2022,pjwalker,12134,qb,car,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jacobeason_car_2022_10,car_2022_10,jacobeason_car_2022,car_2022,jacobeason,46444,qb,car,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
taylorheinicke_was_2022_10,was_2022_10,taylorheinicke_was_2022,was_2022,taylorheinicke,9896,qb,was,1,16,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
brettrypien_den_2022_10,den_2022_10,brettrypien_den_2022,den_2022,brettrypien,46487,qb,den,1,15,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
brockpurdy_sf_2022_10,sf_2022_10,brockpurdy_sf_2022,sf_2022,brockpurdy,77672,qb,sf,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
samehlinger_ind_2022_10,ind_2022_10,samehlinger_ind_2022,ind_2022,samehlinger,60555,qb,ind,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jarrettstidham_lv_2022_10,lv_2022_10,jarrettstidham_lv_2022,lv_2022,jarrettstidham,13725,qb,lv,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
gardnerminshew_phi_2022_10,phi_2022_10,gardnerminshew_phi_2022,phi_2022,gardnerminshew,41401,qb,phi,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
brandonallen_cin_2022_10,cin_2022_10,brandonallen_cin_2022,cin_2022,brandonallen,10835,qb,cin,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
