p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
chrisharrisjr_no_2022_15,no_2022_15,chrisharrisjr_no_2022,no_2022,chrisharrisjr,6457,cb,no,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ajklein_buf_2022_15,buf_2022_15,ajklein_buf_2022,buf_2022,ajklein,7930,lb,buf,1,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
chrisbanjo_ari_2022_15,ari_2022_15,chrisbanjo_ari_2022,ari_2022,chrisbanjo,8419,s,ari,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
aarondonald_lar_2022_15,lar_2022_15,aarondonald_lar_2022,lar_2022,aarondonald,8648,di,lar,1,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tjcarrie_car_2022_15,car_2022_15,tjcarrie_car_2022,car_2022,tjcarrie,8853,cb,car,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joethomas_chi_2022_15,chi_2022_15,joethomas_chi_2022,chi_2022,joethomas,9272,lb,chi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davidmayo_was_2022_15,was_2022_15,davidmayo_was_2022,was_2022,davidmayo,9602,lb,was,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
andrewbillings_lv_2022_15,lv_2022_15,andrewbillings_lv_2022,lv_2022,andrewbillings,10756,di,lv,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
deonbush_kc_2022_15,kc_2022_15,deonbush_kc_2022,kc_2022,deonbush,10758,s,kc,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jalenmills_ne_2022_15,ne_2022_15,jalenmills_ne_2022,ne_2022,jalenmills,10867,cb,ne,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jalenreevesmaybin_hou_2022_15,hou_2022_15,jalenreevesmaybin_hou_2022,hou_2022,jalenreevesmaybin,11879,lb,hou,1,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tanzelsmart_nyj_2022_15,nyj_2022_15,tanzelsmart_nyj_2022,nyj_2022,tanzelsmart,11944,di,nyj,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
xavierwoods_car_2022_15,car_2022_15,xavierwoods_car_2022,car_2022,xavierwoods,11946,s,car,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
seanmurphybunting_tb_2022_15,tb_2022_15,seanmurphybunting_tb_2022,tb_2022,seanmurphybunting,25891,cb,tb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
cjmoore_det_2022_15,det_2022_15,cjmoore_det_2022,det_2022,cjmoore,26617,s,det,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
dakotaallen_den_2022_15,den_2022_15,dakotaallen_den_2022,den_2022,dakotaallen,30076,lb,den,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
