p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
rashaadcoward_ari_2022_15,ari_2022_15,rashaadcoward_ari_2022,ari_2022,rashaadcoward,12168,g,ari,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bradensmith_ind_2022_15,ind_2022_15,bradensmith_ind_2022,ind_2022,bradensmith,46794,t,ind,1,100.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joshandrews_no_2022_15,no_2022_15,joshandrews_no_2022,no_2022,joshandrews,9068,ol,no,1,100.0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jamesferentz_ne_2022_15,ne_2022_15,jamesferentz_ne_2022,ne_2022,jamesferentz,9258,ol,ne,1,100.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
yodnycajuste_ne_2022_15,ne_2022_15,yodnycajuste_ne_2022,ne_2022,yodnycajuste,46297,t,ne,1,100.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ajarcuri_lar_2022_15,lar_2022_15,ajarcuri_lar_2022,lar_2022,ajarcuri,44757,t,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
odayaboushi_lar_2022_15,lar_2022_15,odayaboushi_lar_2022,lar_2022,odayaboushi,7923,g,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davidbakhtiari_gb_2022_15,gb_2022_15,davidbakhtiari_gb_2022,gb_2022,davidbakhtiari,7891,t,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
treypipkins_lac_2022_15,lac_2022_15,treypipkins_lac_2022,lac_2022,treypipkins,91462,t,lac,1,100.0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
larryborom_chi_2022_15,chi_2022_15,larryborom_chi_2022,chi_2022,larryborom,59879,t,chi,1,100.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
traiturner_was_2022_15,was_2022_15,traiturner_was_2022,was_2022,traiturner,8727,g,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
saahdiqcharles_was_2022_15,was_2022_15,saahdiqcharles_was_2022,was_2022,saahdiqcharles,59820,g,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
lawrencecager_nyg_2022_15,nyg_2022_15,lawrencecager_nyg_2022,nyg_2022,lawrencecager,34914,te,nyg,1,39.3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
nickboyle_bal_2022_15,bal_2022_15,nickboyle_bal_2022,bal_2022,nickboyle,9604,te,bal,1,90.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
koreycunningham_nyg_2022_15,nyg_2022_15,koreycunningham_nyg_2022,nyg_2022,koreycunningham,38555,t,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
juwanjohnson_no_2022_15,no_2022_15,juwanjohnson_no_2022,no_2022,juwanjohnson,28305,te,no,1,22.2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rossdwelley_sf_2022_15,sf_2022_15,rossdwelley_sf_2022,sf_2022,rossdwelley,20994,te,sf,1,83.3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
nikolakalinic_ind_2022_15,ind_2022_15,nikolakalinic_ind_2022,ind_2022,nikolakalinic,156095,te,ind,1,83.3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
danfeeney_nyj_2022_15,nyj_2022_15,danfeeney_nyj_2022,nyj_2022,danfeeney,11826,g,nyj,1,100.0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jeremyruckert_nyj_2022_15,nyj_2022_15,jeremyruckert_nyj_2022,nyj_2022,jeremyruckert,84029,te,nyj,1,66.7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
germainifedi_atl_2022_15,atl_2022_15,germainifedi_atl_2022,atl_2022,germainifedi,10665,t,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rogercarter_lar_2022_15,lar_2022_15,rogercarter_lar_2022,lar_2022,rogercarter,55200,te,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
andrewnorwell_was_2022_15,was_2022_15,andrewnorwell_was_2022,was_2022,andrewnorwell,9126,g,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
corneliuslucas_was_2022_15,was_2022_15,corneliuslucas_was_2022,was_2022,corneliuslucas,9025,t,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
charleslenojr_was_2022_15,was_2022_15,charleslenojr_was_2022,was_2022,charleslenojr,8880,t,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kayodeawosika_det_2022_15,det_2022_15,kayodeawosika_det_2022,det_2022,kayodeawosika,44909,g,det,1,100.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
quentonnelson_ind_2022_15,ind_2022_15,quentonnelson_ind_2022,ind_2022,quentonnelson,12954,g,ind,1,100.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ryankelly_ind_2022_15,ind_2022_15,ryankelly_ind_2022,ind_2022,ryankelly,10652,ol,ind,1,100.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bernhardraimann_ind_2022_15,ind_2022_15,bernhardraimann_ind_2022,ind_2022,bernhardraimann,77948,t,ind,1,100.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
willfries_ind_2022_15,ind_2022_15,willfries_ind_2022,ind_2022,willfries,41530,g,ind,1,100.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kevinzeitler_bal_2022_15,bal_2022_15,kevinzeitler_bal_2022,bal_2022,kevinzeitler,7032,g,bal,1,100.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davidquessenberry_buf_2022_15,buf_2022_15,davidquessenberry_buf_2022,buf_2022,davidquessenberry,7957,t,buf,1,100.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
garrettbradbury_min_2022_15,min_2022_15,garrettbradbury_min_2022,min_2022,garrettbradbury,46013,ol,min,1,100.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jonrunyan_gb_2022_15,gb_2022_15,jonrunyan_gb_2022,gb_2022,jonrunyan,36661,g,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
elgtonjenkins_gb_2022_15,gb_2022_15,elgtonjenkins_gb_2022,gb_2022,elgtonjenkins,46298,g,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
zachtom_gb_2022_15,gb_2022_15,zachtom_gb_2022,gb_2022,zachtom,55443,t,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joshmyers_gb_2022_15,gb_2022_15,joshmyers_gb_2022,gb_2022,joshmyers,59992,ol,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
