p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
chaunceygardnerjohnson_phi_2022_15,phi_2022_15,chaunceygardnerjohnson_phi_2022,phi_2022,chaunceygardnerjohnson,49371,s,phi,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
dariusphillips_den_2022_15,den_2022_15,dariusphillips_den_2022,den_2022,dariusphillips,49507,cb,den,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tyreldodson_buf_2022_15,buf_2022_15,tyreldodson_buf_2022,buf_2022,tyreldodson,51045,lb,buf,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mikeedwards_tb_2022_15,tb_2022_15,mikeedwards_tb_2022,tb_2022,mikeedwards,51282,s,tb,1,1,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kennymooreii_ind_2022_15,ind_2022_15,kennymooreii_ind_2022,ind_2022,kennymooreii,51596,cb,ind,1,0,4.3,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
thomasgrahamjr_cle_2022_15,cle_2022_15,thomasgrahamjr_cle_2022,cle_2022,thomasgrahamjr,55685,cb,cle,1,1,1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
isaiahmcduffie_gb_2022_15,gb_2022_15,isaiahmcduffie_gb_2022,gb_2022,isaiahmcduffie,57754,lb,gb,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
andrecisco_jax_2022_15,jax_2022_15,andrecisco_jax_2022,jax_2022,andrecisco,76641,s,jax,1,0,15.5,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jtwoods_lac_2022_15,lac_2022_15,jtwoods_lac_2022,lac_2022,jtwoods,77837,s,lac,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
coreyballentine_gb_2022_15,gb_2022_15,coreyballentine_gb_2022,gb_2022,coreyballentine,83833,cb,gb,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kaiirelam_buf_2022_15,buf_2022_15,kaiirelam_buf_2022,buf_2022,kaiirelam,98693,cb,buf,1,0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
damarionwilliams_bal_2022_15,bal_2022_15,damarionwilliams_bal_2022,bal_2022,damarionwilliams,100904,cb,bal,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
stephongilmore_ind_2022_15,ind_2022_15,stephongilmore_ind_2022,ind_2022,stephongilmore,7016,cb,ind,1,0,6.8,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
demariodavis_no_2022_15,no_2022_15,demariodavis_no_2022,no_2022,demariodavis,7079,lb,no,1,1,2.4,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rodneymcleod_ind_2022_15,ind_2022_15,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,0,5.3,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
harrisonsmith_min_2022_15,min_2022_15,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,1,4.9,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
xavierrhodes_buf_2022_15,buf_2022_15,xavierrhodes_buf_2022,buf_2022,xavierrhodes,7806,cb,buf,1,0,10.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jonbostic_was_2022_15,was_2022_15,jonbostic_was_2022,was_2022,jonbostic,7831,lb,was,1,2,-1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tyrannmathieu_no_2022_15,no_2022_15,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,1,5.2,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bradleyroby_no_2022_15,no_2022_15,bradleyroby_no_2022,no_2022,bradleyroby,8666,cb,no,1,0,4.0,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
adrianamos_gb_2022_15,gb_2022_15,adrianamos_gb_2022,gb_2022,adrianamos,9575,s,gb,1,0,-3.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bobbymccain_was_2022_15,was_2022_15,bobbymccain_was_2022,was_2022,bobbymccain,9578,s,was,1,1,-1.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
brycecallahan_lac_2022_15,lac_2022_15,brycecallahan_lac_2022,lac_2022,brycecallahan,10000,cb,lac,1,0,17.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kendallfuller_was_2022_15,was_2022_15,kendallfuller_was_2022,was_2022,kendallfuller,10718,cb,was,1,0,-1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
devondrecampbell_gb_2022_15,gb_2022_15,devondrecampbell_gb_2022,gb_2022,devondrecampbell,10749,lb,gb,1,0,4.8,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
deandrehoustoncarson_chi_2022_15,chi_2022_15,deandrehoustoncarson_chi_2022,chi_2022,deandrehoustoncarson,10819,s,chi,1,0,22.5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
willparks_nyj_2022_15,nyj_2022_15,willparks_nyj_2022,nyj_2022,willparks,10853,s,nyj,1,0,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
