p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year,plyr_number
calebshudak_ten_2022_15,ten_2022_15,calebshudak_ten_2022,ten_2022,calebshudak,44789,k,ten,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
masoncrosby_gb_2022_15,gb_2022_15,masoncrosby_gb_2022,gb_2022,masoncrosby,3809,k,gb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
cairosantos_chi_2022_15,chi_2022_15,cairosantos_chi_2022,chi_2022,cairosantos,8932,k,chi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
willutz_no_2022_15,no_2022_15,willutz_no_2022,no_2022,willutz,11096,k,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
younghoekoo_atl_2022_15,atl_2022_15,younghoekoo_atl_2022,atl_2022,younghoekoo,12042,k,atl,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
chasemclaughlin_ind_2022_15,ind_2022_15,chasemclaughlin_ind_2022,ind_2022,chasemclaughlin,33285,k,ind,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joeyslye_was_2022_15,was_2022_15,joeyslye_was_2022,was_2022,joeyslye,39235,k,was,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
matthewwright_pit_2022_15,pit_2022_15,matthewwright_pit_2022,pit_2022,matthewwright,39675,k,pit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
robbiegould_sf_2022_15,sf_2022_15,robbiegould_sf_2022,sf_2022,robbiegould,2607,k,sf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mattprater_ari_2022_15,ari_2022_15,mattprater_ari_2022,ari_2022,mattprater,3471,k,ari,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
