p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
skylarthompson_mia_2022_15,mia_2022_15,skylarthompson_mia_2022,mia_2022,skylarthompson,60417,qb,mia,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
anthonymcfarlandjr_pit_2022_15,pit_2022_15,anthonymcfarlandjr_pit_2022,pit_2022,anthonymcfarlandjr,57289,hb,pit,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mylesgaskin_mia_2022_15,mia_2022_15,mylesgaskin_mia_2022,mia_2022,mylesgaskin,45914,hb,mia,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
damienharris_ne_2022_15,ne_2022_15,damienharris_ne_2022,ne_2022,damienharris,35134,hb,ne,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ronaldjones_kc_2022_15,kc_2022_15,ronaldjones_kc_2022,kc_2022,ronaldjones,34001,hb,kc,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
keshawnvaughn_tb_2022_15,tb_2022_15,keshawnvaughn_tb_2022,tb_2022,keshawnvaughn,45866,hb,tb,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jacobybrissett_cle_2022_15,cle_2022_15,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
braxtonberrios_nyj_2022_15,nyj_2022_15,braxtonberrios_nyj_2022,nyj_2022,braxtonberrios,47961,wr,nyj,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
isaiahspiller_lac_2022_15,lac_2022_15,isaiahspiller_lac_2022,lac_2022,isaiahspiller,99146,hb,lac,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
garrettwilson_nyj_2022_15,nyj_2022_15,garrettwilson_nyj_2022,nyj_2022,garrettwilson,97405,wr,nyj,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
juliojones_tb_2022_15,tb_2022_15,juliojones_tb_2022,tb_2022,juliojones,6158,wr,tb,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
christiankirk_jax_2022_15,jax_2022_15,christiankirk_jax_2022,jax_2022,christiankirk,47546,wr,jax,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
terrymclaurin_was_2022_15,was_2022_15,terrymclaurin_was_2022,was_2022,terrymclaurin,48229,wr,was,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kendallhinton_den_2022_15,den_2022_15,kendallhinton_den_2022,den_2022,kendallhinton,34045,wr,den,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kjosborn_min_2022_15,min_2022_15,kjosborn_min_2022,min_2022,kjosborn,23503,wr,min,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kendrickbourne_ne_2022_15,ne_2022_15,kendrickbourne_ne_2022,ne_2022,kendrickbourne,12270,wr,ne,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tyreekhill_mia_2022_15,mia_2022_15,tyreekhill_mia_2022,mia_2022,tyreekhill,10799,wr,mia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
brandincooks_hou_2022_15,hou_2022_15,brandincooks_hou_2022,hou_2022,brandincooks,8655,wr,hou,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
brianrobinsonjr_was_2022_15,was_2022_15,brianrobinsonjr_was_2022,was_2022,brianrobinsonjr,57120,hb,was,1,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jonathantaylor_ind_2022_15,ind_2022_15,jonathantaylor_ind_2022,ind_2022,jonathantaylor,57488,hb,ind,1,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ajdillon_gb_2022_15,gb_2022_15,ajdillon_gb_2022,gb_2022,ajdillon,57165,hb,gb,1,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davidmontgomery_chi_2022_15,chi_2022_15,davidmontgomery_chi_2022,chi_2022,davidmontgomery,45719,hb,chi,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
alvinkamara_no_2022_15,no_2022_15,alvinkamara_no_2022,no_2022,alvinkamara,11822,hb,no,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
cordarrellepatterson_atl_2022_15,atl_2022_15,cordarrellepatterson_atl_2022,atl_2022,cordarrellepatterson,7810,hb,atl,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tylerallgeier_atl_2022_15,atl_2022_15,tylerallgeier_atl_2022,atl_2022,tylerallgeier,83639,hb,atl,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
deejaydallas_sea_2022_15,sea_2022_15,deejaydallas_sea_2022,sea_2022,deejaydallas,55632,hb,sea,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
aaronjones_gb_2022_15,gb_2022_15,aaronjones_gb_2022,gb_2022,aaronjones,11937,hb,gb,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
antoniogibson_was_2022_15,was_2022_15,antoniogibson_was_2022,was_2022,antoniogibson,78050,hb,was,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
markingramii_no_2022_15,no_2022_15,markingramii_no_2022,no_2022,markingramii,6180,hb,no,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
justinfields_chi_2022_15,chi_2022_15,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
juliuschestnut_ten_2022_15,ten_2022_15,juliuschestnut_ten_2022,ten_2022,juliuschestnut,109239,hb,ten,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
calebhuntley_atl_2022_15,atl_2022_15,calebhuntley_atl_2022,atl_2022,calebhuntley,57156,hb,atl,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
