p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year,plyr_number
coltmccoy_ari_2022_15,ari_2022_15,coltmccoy_ari_2022,ari_2022,coltmccoy,5609,qb,ari,1,80.0,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
chasedaniel_lac_2022_15,lac_2022_15,chasedaniel_lac_2022,lac_2022,chasedaniel,5214,qb,lac,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bryceperkins_lar_2022_15,lar_2022_15,bryceperkins_lar_2022,lar_2022,bryceperkins,35299,qb,lar,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kyleallen_hou_2022_15,hou_2022_15,kyleallen_hou_2022,hou_2022,kyleallen,26152,qb,hou,1,75.0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mikewhite_nyj_2022_15,nyj_2022_15,mikewhite_nyj_2022,nyj_2022,mikewhite,46453,qb,nyj,1,78.6,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
samdarnold_car_2022_15,car_2022_15,samdarnold_car_2022,car_2022,samdarnold,29048,qb,car,1,68.8,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tylerhuntley_bal_2022_15,bal_2022_15,tylerhuntley_bal_2022,bal_2022,tylerhuntley,46448,qb,bal,1,84.4,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
deshaunwatson_cle_2022_15,cle_2022_15,deshaunwatson_cle_2022,cle_2022,deshaunwatson,11767,qb,cle,1,57.1,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
cjbeathard_jax_2022_15,jax_2022_15,cjbeathard_jax_2022,jax_2022,cjbeathard,11859,qb,jax,1,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bakermayfield_lar_2022_15,lar_2022_15,bakermayfield_lar_2022,lar_2022,bakermayfield,46518,qb,lar,1,66.7,33,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jeffdriskel_hou_2022_15,hou_2022_15,jeffdriskel_hou_2022,hou_2022,jeffdriskel,10841,qb,hou,1,80.0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
anthonybrown_bal_2022_15,bal_2022_15,anthonybrown_bal_2022,bal_2022,anthonybrown,40316,qb,bal,1,60.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joshjohnson_sf_2022_15,sf_2022_15,joshjohnson_sf_2022,sf_2022,joshjohnson,4474,qb,sf,1,100.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
