,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
753,height_clean_rush_fav,2.082314706,2.082314706,0.080755007,0.006479853,99319.41264
1201,pass_depth_medium_drop_rate_passdepth_fav,-2.080324799,2.080324799,0.080040553,0.006489408,99589.76704
3360,rush_summary_routes_rush_dog,2.074686296,2.074686296,0.080691832,0.006361508,100086.7527
1589,pass_under_pressure_blitz_dropbacks_pass_pressure_dog,-2.061686311,2.072099153,0.081819504,0.006940217,100265.4819
1328,pass_rush_true_pass_set_snap_counts_pass_play_pass_rush_summ_dog,2.06949419,2.06949419,0.081385827,0.006868065,99685.91629
1207,pass_depth_medium_first_downs_passdepth_fav,-2.066085983,2.066539321,0.080622513,0.00659616,99356.13971
1958,punting_total_hangtime_dog,1.946359573,2.057096317,0.081116539,0.006880204,99033.97577
2992,rec_depth_short_yards_after_catch_rec_depth_dog,-2.051441059,2.05668843,0.081290532,0.006666742,99709.99927
287,def_coverage_summary_targets_def_cov_summ_fav,-2.044699932,2.04833538,0.080817303,0.006635794,100063.0351
1114,pass_depth_behind_los_grades_pass_passdepth_dog,-2.046558022,2.046558022,0.081026228,0.006431061,99870.11094
3269,run_defense_grades_defense_penalty_run_def_summ_dog,2.015101083,2.043644214,0.081197824,0.006571075,100987.2529
755,inj_count_db_fav,-2.042045055,2.042045055,0.08075054,0.00647222,100467.7648
327,def_slot_coverage_qb_rating_against_slot_cov_fav,-2.041876746,2.041876746,0.081112917,0.00648436,99751.22144
713,draft_yr_passing_fav,-2.030471569,2.030471569,0.081145374,0.006545263,99805.06714
853,off_dvoa_dog_vs_def_dvoa_fav,-2.029376586,2.029376586,0.08076715,0.006349543,99476.69584
59,block_summary_pass_block_percent_block_fav,1.84228548,2.025935797,0.080658036,0.006261771,99672.5
1964,punting_yards_dog,1.955304564,2.013993478,0.081330461,0.006829486,101139.5794
1838,pass_under_pressure_pressure_grades_pass_route_pass_pressure_fav,-2.010257293,2.010393032,0.081042965,0.00650063,98344.33588
