p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
joeflacco_nyj_2022_14,nyj_2022_14,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,21,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
trevorlawrence_jax_2022_14,jax_2022_14,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,20,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joeburrow_cin_2022_14,cin_2022_14,joeburrow_cin_2022,cin_2022,joeburrow,28022,qb,cin,1,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
kylermurray_ari_2022_14,ari_2022_14,kylermurray_ari_2022,ari_2022,kylermurray,38334,qb,ari,1,15,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
patrickmahomes_kc_2022_14,kc_2022_14,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,13,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
kirkcousins_min_2022_14,min_2022_14,kirkcousins_min_2022,min_2022,kirkcousins,7102,qb,min,1,13,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
davismills_hou_2022_14,hou_2022_14,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
danieljones_nyg_2022_14,nyg_2022_14,danieljones_nyg_2022,nyg_2022,danieljones,39395,qb,nyg,1,12,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
dakprescott_dal_2022_14,dal_2022_14,dakprescott_dal_2022,dal_2022,dakprescott,10769,qb,dal,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
russellwilson_den_2022_14,den_2022_14,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
bakermayfield_car_2022_14,car_2022_14,bakermayfield_car_2022,car_2022,bakermayfield,46518,qb,car,1,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
genosmith_sea_2022_14,sea_2022_14,genosmith_sea_2022,sea_2022,genosmith,7820,qb,sea,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
derekcarr_lv_2022_14,lv_2022_14,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jameiswinston_no_2022_14,no_2022_14,jameiswinston_no_2022,no_2022,jameiswinston,9434,qb,no,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jacobybrissett_cle_2022_14,cle_2022_14,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
justinherbert_lac_2022_14,lac_2022_14,justinherbert_lac_2022,lac_2022,justinherbert,28237,qb,lac,1,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jalenhurts_phi_2022_14,phi_2022_14,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,10,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
lamarjackson_bal_2022_14,bal_2022_14,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,10,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tuatagovailoa_mia_2022_14,mia_2022_14,tuatagovailoa_mia_2022,mia_2022,tuatagovailoa,60326,qb,mia,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tombrady_tb_2022_14,tb_2022_14,tombrady_tb_2022,tb_2022,tombrady,698,qb,tb,1,9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
mattryan_ind_2022_14,ind_2022_14,mattryan_ind_2022,ind_2022,mattryan,4317,qb,ind,1,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jaredgoff_det_2022_14,det_2022_14,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
aaronrodgers_gb_2022_14,gb_2022_14,aaronrodgers_gb_2022,gb_2022,aaronrodgers,2241,qb,gb,1,8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
mitchelltrubisky_pit_2022_14,pit_2022_14,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joshallen_buf_2022_14,buf_2022_14,joshallen_buf_2022,buf_2022,joshallen,46601,qb,buf,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
justinfields_chi_2022_14,chi_2022_14,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ryantannehill_ten_2022_14,ten_2022_14,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,5,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
cooperrush_dal_2022_14,dal_2022_14,cooperrush_dal_2022,dal_2022,cooperrush,12324,qb,dal,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
macjones_ne_2022_14,ne_2022_14,macjones_ne_2022,ne_2022,macjones,60323,qb,ne,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
marcusmariota_atl_2022_14,atl_2022_14,marcusmariota_atl_2022,atl_2022,marcusmariota,9435,qb,atl,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tracemcsorley_ari_2022_14,ari_2022_14,tracemcsorley_ari_2022,ari_2022,tracemcsorley,32819,qb,ari,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jordanlove_gb_2022_14,gb_2022_14,jordanlove_gb_2022,gb_2022,jordanlove,40306,qb,gb,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
malikwillis_ten_2022_14,ten_2022_14,malikwillis_ten_2022,ten_2022,malikwillis,60341,qb,ten,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
teddybridgewater_mia_2022_14,mia_2022_14,teddybridgewater_mia_2022,mia_2022,teddybridgewater,8667,qb,mia,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
zachwilson_nyj_2022_14,nyj_2022_14,zachwilson_nyj_2022,nyj_2022,zachwilson,82096,qb,nyj,1,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
andydalton_no_2022_14,no_2022_14,andydalton_no_2022,no_2022,andydalton,6187,qb,no,1,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
baileyzappe_ne_2022_14,ne_2022_14,baileyzappe_ne_2022,ne_2022,baileyzappe,60396,qb,ne,1,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
kennypickett_pit_2022_14,pit_2022_14,kennypickett_pit_2022,pit_2022,kennypickett,60515,qb,pit,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tyrodtaylor_nyg_2022_14,nyg_2022_14,tyrodtaylor_nyg_2022,nyg_2022,tyrodtaylor,6332,qb,nyg,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
skylarthompson_mia_2022_14,mia_2022_14,skylarthompson_mia_2022,mia_2022,skylarthompson,60417,qb,mia,1,16,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
pjwalker_car_2022_14,car_2022_14,pjwalker_car_2022,car_2022,pjwalker,12134,qb,car,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jacobeason_car_2022_14,car_2022_14,jacobeason_car_2022,car_2022,jacobeason,46444,qb,car,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
taylorheinicke_was_2022_14,was_2022_14,taylorheinicke_was_2022,was_2022,taylorheinicke,9896,qb,was,1,16,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
brettrypien_den_2022_14,den_2022_14,brettrypien_den_2022,den_2022,brettrypien,46487,qb,den,1,15,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
brockpurdy_sf_2022_14,sf_2022_14,brockpurdy_sf_2022,sf_2022,brockpurdy,77672,qb,sf,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
samehlinger_ind_2022_14,ind_2022_14,samehlinger_ind_2022,ind_2022,samehlinger,60555,qb,ind,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jarrettstidham_lv_2022_14,lv_2022_14,jarrettstidham_lv_2022,lv_2022,jarrettstidham,13725,qb,lv,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
gardnerminshew_phi_2022_14,phi_2022_14,gardnerminshew_phi_2022,phi_2022,gardnerminshew,41401,qb,phi,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
brandonallen_cin_2022_14,cin_2022_14,brandonallen_cin_2022,cin_2022,brandonallen,10835,qb,cin,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
johnwolford_lar_2022_14,lar_2022_14,johnwolford_lar_2022,lar_2022,johnwolford,46454,qb,lar,1,15,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
