p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
isaiahpolamao_lv_2022_14,lv_2022_14,isaiahpolamao_lv_2022,lv_2022,isaiahpolamao,60781,s,lv,1,1,,1.0,0,0,0,0,0,0,0,0,0,14,2022,14
jawhaunbentley_ne_2022_14,ne_2022_14,jawhaunbentley_ne_2022,ne_2022,jawhaunbentley,50966,lb,ne,1,1,,1.0,0,0,0,0,0,0,0,0,0,14,2022,14
minkahfitzpatrick_pit_2022_14,pit_2022_14,minkahfitzpatrick_pit_2022,pit_2022,minkahfitzpatrick,51206,s,pit,1,7,,7.0,0,0,0,0,0,0,0,0,0,14,2022,14
trevondiggs_dal_2022_14,dal_2022_14,trevondiggs_dal_2022,dal_2022,trevondiggs,41817,cb,dal,1,5,,5.0,0,0,0,0,0,0,0,0,0,14,2022,14
alontaetaylor_no_2022_14,no_2022_14,alontaetaylor_no_2022,no_2022,alontaetaylor,83469,cb,no,1,1,,1.0,0,0,0,0,0,0,0,0,0,14,2022,14
donovanwilson_dal_2022_14,dal_2022_14,donovanwilson_dal_2022,dal_2022,donovanwilson,49408,s,dal,1,4,,4.0,0,0,0,0,0,0,0,0,0,14,2022,14
kamrencurl_was_2022_14,was_2022_14,kamrencurl_was_2022,was_2022,kamrencurl,55800,s,was,1,12,12.0,12.0,0,0,0,0,0,0,0,0,0,14,2022,14
darnellsavage_gb_2022_14,gb_2022_14,darnellsavage_gb_2022,gb_2022,darnellsavage,34247,s,gb,1,23,11.5,11.5,0,0,0,0,0,0,0,0,0,14,2022,14
deealford_atl_2022_14,atl_2022_14,deealford_atl_2022,atl_2022,deealford,110542,cb,atl,1,10,10.0,10.0,0,0,0,0,0,0,0,0,0,14,2022,14
trentmcduffie_kc_2022_14,kc_2022_14,trentmcduffie_kc_2022,kc_2022,trentmcduffie,72191,cb,kc,1,9,9.0,4.5,0,0,0,0,0,0,0,0,0,14,2022,14
jayceehorn_car_2022_14,car_2022_14,jayceehorn_car_2022,car_2022,jayceehorn,83375,cb,car,1,8,8.0,4.0,0,0,0,0,0,0,0,0,0,14,2022,14
terrelledmunds_pit_2022_14,pit_2022_14,terrelledmunds_pit_2022,pit_2022,terrelledmunds,51334,s,pit,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,14,2022,14
nickscott_lar_2022_14,lar_2022_14,nickscott_lar_2022,lar_2022,nickscott,49012,s,lar,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,14,2022,14
