p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
evanneal_nyg_2022_14,nyg_2022_14,evanneal_nyg_2022,nyg_2022,evanneal,99063,t,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
nickgates_nyg_2022_14,nyg_2022_14,nickgates_nyg_2022,nyg_2022,nickgates,29476,ol,nyg,1,100.0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
elgtonjenkins_gb_2022_14,gb_2022_14,elgtonjenkins_gb_2022,gb_2022,elgtonjenkins,46298,t,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tylerlarsen_was_2022_14,was_2022_14,tylerlarsen_was_2022,was_2022,tylerlarsen,9304,ol,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
zachtom_gb_2022_14,gb_2022_14,zachtom_gb_2022,gb_2022,zachtom,55443,g,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jonfeliciano_nyg_2022_14,nyg_2022_14,jonfeliciano_nyg_2022,nyg_2022,jonfeliciano,9561,ol,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joshmyers_gb_2022_14,gb_2022_14,joshmyers_gb_2022,gb_2022,joshmyers,59992,ol,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
andrewthomas_nyg_2022_14,nyg_2022_14,andrewthomas_nyg_2022,nyg_2022,andrewthomas,59701,t,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
yoshnijman_gb_2022_14,gb_2022_14,yoshnijman_gb_2022,gb_2022,yoshnijman,60822,t,gb,1,100.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ajcann_hou_2022_14,hou_2022_14,ajcann_hou_2022,hou_2022,ajcann,9500,g,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tytushoward_hou_2022_14,hou_2022_14,tytushoward_hou_2022,hou_2022,tytushoward,25472,t,hou,1,100.0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
