p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
melvingordoniii_den_2022_14,den_2022_14,melvingordoniii_den_2022,den_2022,melvingordoniii,9448,hb,den,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joemixon_cin_2022_14,cin_2022_14,joemixon_cin_2022,cin_2022,joemixon,11803,hb,cin,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
trestanebner_chi_2022_14,chi_2022_14,trestanebner_chi_2022,chi_2022,trestanebner,57159,hb,chi,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
davismills_hou_2022_14,hou_2022_14,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
kenenwangwu_min_2022_14,min_2022_14,kenenwangwu_min_2022,min_2022,kenenwangwu,40547,hb,min,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jaredgoff_det_2022_14,det_2022_14,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
coltmccoy_ari_2022_14,ari_2022_14,coltmccoy_ari_2022,ari_2022,coltmccoy,5609,qb,ari,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
zachwilson_nyj_2022_14,nyj_2022_14,zachwilson_nyj_2022,nyj_2022,zachwilson,82096,qb,nyj,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
darrellhenderson_lar_2022_14,lar_2022_14,darrellhenderson_lar_2022,lar_2022,darrellhenderson,41193,hb,lar,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
bakermayfield_car_2022_14,car_2022_14,bakermayfield_car_2022,car_2022,bakermayfield,46518,qb,car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
sonymichel_lac_2022_14,lac_2022_14,sonymichel_lac_2022,lac_2022,sonymichel,27589,hb,lac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
rondalemoore_ari_2022_14,ari_2022_14,rondalemoore_ari_2022,ari_2022,rondalemoore,62890,wr,ari,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
chrismoore_hou_2022_14,hou_2022_14,chrismoore_hou_2022,hou_2022,chrismoore,10741,wr,hou,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
davidjohnson_no_2022_14,no_2022_14,davidjohnson_no_2022,no_2022,davidjohnson,9519,hb,no,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jahandotson_was_2022_14,was_2022_14,jahandotson_was_2022,was_2022,jahandotson,84375,wr,was,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
denzelmims_nyj_2022_14,nyj_2022_14,denzelmims_nyj_2022,nyj_2022,denzelmims,47800,wr,nyj,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
patrickricard_bal_2022_14,bal_2022_14,patrickricard_bal_2022,bal_2022,patrickricard,48862,fb,bal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
olamidezaccheaus_atl_2022_14,atl_2022_14,olamidezaccheaus_atl_2022,atl_2022,olamidezaccheaus,44920,wr,atl,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
diontaejohnson_pit_2022_14,pit_2022_14,diontaejohnson_pit_2022,pit_2022,diontaejohnson,33441,wr,pit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tracemcsorley_ari_2022_14,ari_2022_14,tracemcsorley_ari_2022,ari_2022,tracemcsorley,32819,qb,ari,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
zanderhorvath_lac_2022_14,lac_2022_14,zanderhorvath_lac_2022,lac_2022,zanderhorvath,57384,fb,lac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jamesconner_ari_2022_14,ari_2022_14,jamesconner_ari_2022,ari_2022,jamesconner,11860,hb,ari,1,25,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
dontaforeman_car_2022_14,car_2022_14,dontaforeman_car_2022,car_2022,dontaforeman,11844,hb,car,1,24,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
chubahubbard_car_2022_14,car_2022_14,chubahubbard_car_2022,car_2022,chubahubbard,57373,hb,car,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
