team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
ari_2022_1,2022,ari,1,kc,0.29,0.37,0.48,0.25,0.28,0.3,0.49,0.6
ari_2022_2,2022,ari,2,lv,0.45,0.4,0.39,0.57,0.57,0.47,0.67,0.56
ari_2022_3,2022,ari,3,lar,0.27,0.43,0.49,0.49,0.2,0.28,0.27,0.43
ari_2022_4,2022,ari,4,car,0.6,0.48,0.58,0.45,0.66,0.57,0.68,0.67
ari_2022_5,2022,ari,5,phi,0.56,0.54,0.67,0.43,0.57,0.54,0.48,0.49
ari_2022_6,2022,ari,6,sea,0.32,0.25,0.33,0.3,0.62,0.59,0.48,0.47
ari_2022_7,2022,ari,7,no,0.45,0.48,0.58,0.45,0.47,0.44,0.58,0.49
ari_2022_8,2022,ari,8,min,0.42,0.44,0.55,0.31,0.41,0.52,0.17,0.57
ari_2022_9,2022,ari,9,sea,0.33,0.29,0.45,0.26,0.52,0.55,0.36,0.63
ari_2022_10,2022,ari,10,lar,0.53,0.51,0.52,0.62,0.48,0.49,0.41,0.65
ari_2022_11,2022,ari,11,sf,0.15,0.33,0.41,0.33,0.05,0.13,0.18,0.67
ari_2022_12,2022,ari,12,lac,0.48,0.51,0.71,0.34,0.45,0.45,0.55,0.51
atl_2022_1,2022,atl,1,no,0.56,0.55,0.6,0.59,0.42,0.52,0.16,0.75
atl_2022_2,2022,atl,2,lar,0.34,0.44,0.59,0.33,0.31,0.38,0.3,0.5
atl_2022_3,2022,atl,3,sea,0.61,0.63,0.66,0.69,0.41,0.41,0.45,0.69
atl_2022_4,2022,atl,4,cle,0.57,0.49,0.34,0.64,0.6,0.62,0.43,0.69
atl_2022_5,2022,atl,5,tb,0.4,0.48,0.49,0.56,0.34,0.41,0.29,0.49
atl_2022_6,2022,atl,6,sf,0.66,0.65,0.88,0.59,0.49,0.42,0.65,0.64
atl_2022_7,2022,atl,7,cin,0.33,0.46,0.59,0.39,0.08,0.12,0.43,0.85
atl_2022_8,2022,atl,8,car,0.44,0.49,0.72,0.32,0.41,0.42,0.37,0.55
atl_2022_9,2022,atl,9,lac,0.54,0.51,0.44,0.63,0.58,0.53,0.55,0.47
atl_2022_10,2022,atl,10,car,0.41,0.49,0.59,0.39,0.31,0.29,0.28,0.58
atl_2022_11,2022,atl,11,chi,0.63,0.52,0.55,0.53,0.55,0.5,0.5,0.92
atl_2022_12,2022,atl,12,was,0.42,0.5,0.4,0.63,0.31,0.41,0.23,0.61
atl_2022_13,2022,atl,13,pit,0.5,0.51,0.56,0.61,0.37,0.36,0.38,0.78
bal_2022_1,2022,bal,1,nyj,0.72,0.64,0.82,0.29,0.66,0.6,0.57,0.61
bal_2022_2,2022,bal,2,mia,0.65,0.64,1,0.31,0.34,0.36,0.44,1
bal_2022_3,2022,bal,3,ne,0.77,0.72,0.72,0.84,0.52,0.63,0.21,0.79
bal_2022_4,2022,bal,4,buf,0.6,0.52,0.5,0.67,0.62,0.55,0.6,0.63
bal_2022_5,2022,bal,5,cin,0.59,0.49,0.5,0.6,0.61,0.65,0.32,0.72
bal_2022_6,2022,bal,6,nyg,0.44,0.46,0.44,0.79,0.5,0.44,0.51,0.44
bal_2022_7,2022,bal,7,cle,0.48,0.41,0.47,0.4,0.46,0.51,0.32,0.87
bal_2022_8,2022,bal,8,tb,0.67,0.73,0.71,0.81,0.37,0.42,0.34,0.65
bal_2022_9,2022,bal,9,no,0.69,0.57,0.6,0.63,0.69,0.6,0.65,0.67
bal_2022_11,2022,bal,11,car,0.69,0.45,0.42,0.57,0.92,0.73,0.85,0.66
bal_2022_12,2022,bal,12,jax,0.56,0.48,0.61,0.42,0.63,0.43,0.91,0.6
bal_2022_13,2022,bal,13,den,0.46,0.44,0.49,0.47,0.46,0.28,0.62,0.67
buf_2022_1,2022,buf,1,lar,0.71,0.53,0.71,0.25,0.8,0.68,0.7,0.68
buf_2022_2,2022,buf,2,ten,0.9,0.61,0.74,0.47,0.97,0.92,0.66,0.84
buf_2022_3,2022,buf,3,mia,0.47,0.51,0.61,0.36,0.48,0.41,0.5,0.4
buf_2022_4,2022,buf,4,bal,0.63,0.52,0.62,0.42,0.64,0.65,0.44,0.73
buf_2022_5,2022,buf,5,pit,0.69,0.72,0.79,0.67,0.51,0.44,0.76,0.46
buf_2022_6,2022,buf,6,kc,0.75,0.62,0.75,0.46,0.71,0.62,0.67,0.67
buf_2022_8,2022,buf,8,gb,0.47,0.46,0.48,0.51,0.43,0.52,0.27,0.73
buf_2022_9,2022,buf,9,nyj,0.51,0.5,0.45,0.69,0.51,0.44,0.5,0.58
buf_2022_10,2022,buf,10,min,0.67,0.57,0.67,0.45,0.62,0.59,0.48,0.73
buf_2022_11,2022,buf,11,cle,0.59,0.56,0.65,0.5,0.41,0.26,0.84,0.89
buf_2022_12,2022,buf,12,det,0.61,0.51,0.55,0.52,0.66,0.53,0.7,0.6
buf_2022_13,2022,buf,13,ne,0.7,0.66,0.83,0.48,0.56,0.55,0.46,0.64
car_2022_1,2022,car,1,cle,0.36,0.33,0.46,0.21,0.52,0.59,0.32,0.58
car_2022_2,2022,car,2,nyg,0.52,0.39,0.34,0.65,0.69,0.57,0.69,0.64
car_2022_3,2022,car,3,no,0.47,0.45,0.46,0.5,0.41,0.37,0.58,0.79
car_2022_4,2022,car,4,ari,0.25,0.29,0.37,0.21,0.4,0.4,0.41,0.49
