,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
2723,rec_depth_right_behind_los_interceptions_rec_depth_fav,-36.311540047844176,36.311540047844176,0.08449193474924747,0.004614488992090106,100784.2009174312
2153,rec_depth_center_behind_los_contested_receptions_rec_depth_dog,-36.311505943138485,36.311505943138485,0.08482736098157559,0.004736079889241974,100602.2105845473
279,def_coverage_summary_snap_counts_coverage_def_cov_summ_fav,-2.9191009974646835,2.9212534152837373,0.09014902238332265,0.010100859497407175,99976.47733043163
72,block_summary_snap_counts_lg_block_dog,2.903244628769703,2.903244628769703,0.09052660655618065,0.009923807118896366,100721.1822757505
1621,pass_under_pressure_blitz_sacks_pass_pressure_fav,-2.737245523446431,2.7421734613341737,0.08994041608232944,0.009517456591808013,101091.34535895576
854,off_dvoa_fav,2.730364347325046,2.730364347325046,0.08981277178628051,0.009225751832207502,100415.65353286607
281,def_coverage_summary_snap_counts_pass_play_def_cov_summ_fav,-2.5683683654789373,2.6316698481759238,0.08845466834804368,0.008904357284784897,98974.82210487983
828,kicking_pat_percent_dog,-2.5476358899825575,2.5476358899825575,0.08913979200445538,0.008521163137671374,99571.26221977214
3231,run_block_zone_snap_counts_run_block_run_block_fav,-2.4931555999538313,2.4962597641910205,0.08898811439051893,0.008678648565154138,101280.80358449159
2940,rec_depth_short_first_downs_rec_depth_dog,-2.488495898046695,2.488495898046695,0.08932332819156683,0.008630037899859147,100373.81738012125
829,kicking_pat_percent_fav,-2.4784609774892052,2.4784609774892052,0.08887448937595865,0.008282228314720919,99674.96112351191
3233,run_block_zone_snap_counts_run_play_run_block_fav,-2.403170817592202,2.4769972195663557,0.08857780905980271,0.008439073314261072,98501.45387725101
222,def_coverage_scheme_zone_yards_per_coverage_snap_def_cov_schem_dog,-2.4397027349804237,2.4397027349804237,0.0880447870882151,0.008162727099548996,100190.7237846899
283,def_coverage_summary_stops_def_cov_summ_fav,-2.4359727469550485,2.4359727469550485,0.08919449530339248,0.008326531791587669,98918.04945960798
285,def_coverage_summary_tackles_def_cov_summ_fav,-2.3811375964384602,2.3826582681630293,0.08830635393499109,0.008244812318203064,99448.14358693668
404,def_summary_grades_defense_penalty_def_stats_dog,2.365447574736273,2.365447574736273,0.08818149991527975,0.008126918618804203,98856.13732718895
266,def_coverage_summary_missed_tackle_rate_def_cov_summ_dog,-2.331192268436948,2.331197172871072,0.08790471991173499,0.007849613370268821,100166.75154581225
2978,rec_depth_short_yards_rec_depth_dog,-2.323776409731354,2.3262938489253915,0.088724668654421,0.008162034929931481,100453.77884260965
1286,pass_rush_pass_rush_win_rate_pass_rush_summ_fav,-2.314479755036374,2.314479755036374,0.0880699463315567,0.007880304448013206,99402.52463605822
2908,rec_depth_right_short_targets_percent_rec_depth_dog,-2.2795529660838603,2.2812498655481237,0.08884738193878061,0.008120485791704967,99783.74380165289
1620,pass_under_pressure_blitz_sacks_pass_pressure_dog,-2.27993009673568,2.2809260777211913,0.08772985953768193,0.007717380111587148,100270.79377577803
294,def_coverage_summary_yards_per_coverage_snap_def_cov_summ_dog,-2.2672399170484985,2.2672399170484985,0.08860740692596226,0.007798655101012359,99983.3359389202
1200,pass_depth_medium_drop_rate_passdepth_fav,-2.261519427372669,2.261519427372669,0.08789276052960485,0.007586643025233082,99182.8370290247
1502,pass_time_more_avg_time_to_throw_time_pocket_dog,-2.2595920502268223,2.259773076490219,0.08774666618005979,0.007676546238377272,99874.06066044509
753,height_clean_rush_fav,2.2591533536398334,2.2591533536398334,0.0879729810587291,0.007662381170051789,100275.93963636363
2652,rec_depth_medium_caught_percent_rec_depth_fav,-2.2507961411546704,2.250869792584894,0.08804767754306615,0.00773728491862767,100371.7931224715
402,def_summary_grades_defense_penalty_def_cov_dog,2.231937366999882,2.234145079948296,0.08791528713461123,0.007720370113607849,100157.97254389242
2693,rec_depth_medium_touchdowns_rec_depth_dog,2.2340522115052286,2.2340522115052286,0.08778271841327925,0.007367847993772147,99631.875
3217,run_block_penalties_run_block_fav,-2.233496631320839,2.233496631320839,0.08812957281279762,0.007512721700654462,100523.81939920377
3251,run_defense_grades_defense_penalty_run_def_summ_dog,2.2038780897958583,2.231204805692443,0.08832472041983194,0.007687851383080888,99519.36256664828
2107,rec_depth_behind_los_grades_hands_drop_rec_depth_dog,-2.219771909559292,2.2217864180940055,0.08767839956168007,0.0072473143590068,101398.30762233946
1988,rec_concept_screen_fumbles_rec_concept_fav,-2.2188775114768924,2.2188775114768924,0.08794732853412209,0.007217385544908256,98304.08193702817
2101,rec_depth_behind_los_drops_rec_depth_dog,2.207876507893041,2.2141504501654596,0.08818220414273938,0.0076318313319952025,100994.95079022988
2666,rec_depth_medium_fumbles_rec_depth_fav,-2.213740740222773,2.213740740222773,0.08800329952319828,0.007501336906872774,99564.00073206442
1320,pass_rush_true_pass_set_pass_rush_win_rate_pass_rush_summ_fav,-2.199200709985342,2.1992471332181367,0.08768221254740619,0.007400434388231662,100409.07993260951
1955,punting_snaps_dog,2.197197953537885,2.197542274776235,0.08742860413104289,0.0073341768692850315,99509.45334555453
1837,pass_under_pressure_pressure_grades_pass_route_pass_pressure_fav,-2.1814397527152902,2.181606843557138,0.08727377664920143,0.007335341410071151,99717.85232452142
2977,rec_depth_short_yards_per_reception_rec_depth_fav,2.1802185271672805,2.181405570050724,0.08742416237026407,0.007152905995411076,100804.81361161525
327,def_slot_coverage_qb_rating_against_slot_cov_fav,-2.180444672261031,2.180444672261031,0.08774922277239086,0.007182775185339639,100311.24033249007
445,def_summary_hurries_def_cov_fav,2.167134095906493,2.1677912931749925,0.08778020529407454,0.007522036176451421,99702.00126788625
1160,pass_depth_deep_grades_pass_passdepth_fav,-2.164473761850083,2.164473761850083,0.08776187029015046,0.007343449876230756,100423.35284463895
458,def_summary_interceptions_run_def_dog,2.161701648241113,2.161701648241113,0.08763074287093804,0.0072783764964448995,99224.66497652582
2031,rec_concept_slot_caught_percent_rec_concept_dog,-2.1584940513132973,2.1584940513132973,0.08781450599000258,0.0073119474273808955,98488.16768621806
1919,punting_attempts_with_hangtime_dog,2.1103261913175744,2.151493782845292,0.08822506344433488,0.007388519864442757,100852.75320096493
3107,rec_summary_caught_percent_rec_fav,-2.1503394041084785,2.1503394041084785,0.08740917551892315,0.007497956526252246,99814.54968715495
1917,punting_attempts_dog,2.101047834621534,2.1434601313283377,0.08783025879203653,0.007372575256463965,99140.86232407074
1164,pass_depth_deep_passing_snaps_passdepth_fav,2.142596381309664,2.1428703107086378,0.08761144736816462,0.007406046762443884,99156.18703870387
1975,rec_concept_screen_contested_catch_rate_rec_concept_dog,-2.1419312933807517,2.1419312933807517,0.08698651202830776,0.007216441344944486,99602.26099815157
1619,pass_under_pressure_blitz_sack_percent_pass_pressure_fav,-2.13503327268924,2.1418152717376864,0.08770519272240858,0.007257656326545637,100406.68859970674
2974,rec_depth_short_yards_after_catch_rec_depth_dog,-2.119145622129958,2.1265800277822713,0.0875887017606334,0.00755714756876175,99487.19504587156
3092,rec_scheme_zone_yards_after_catch_per_reception_rec_schem_dog,2.118626949330623,2.118626949330623,0.08719453723865245,0.007184277958772948,99628.43059385917
3229,run_block_zone_snap_counts_run_block_percent_run_block_fav,-2.0904500439266975,2.11607136114411,0.08724384825126587,0.007277442836244572,100437.45713256484
3209,run_block_gap_snap_counts_run_block_percent_run_block_fav,2.1008298602713302,2.1116196985156126,0.08755859743077028,0.00763207701105153,100379.04050073637
1188,pass_depth_medium_avg_time_to_throw_passdepth_fav,2.1096224924410896,2.1096224924410896,0.08736141081182276,0.007125345721693791,100661.66733503464
1373,pass_summary_grades_run_passing_dog,2.0923754986162484,2.0923754986162484,0.08668878214707357,0.006615172170837894,99397.7335039298
1946,punting_out_of_bounds_fav,2.0800237835034614,2.0800237835034614,0.08758333126962417,0.006987511184083874,99711.05030743431
984,pass_concept_no_screen_grades_pass_route_pass_conc_fav,-2.078471076722177,2.078471076722177,0.08698317562397889,0.006930160849866348,100363.51380484115
833,kicking_thirty_attempts_fav,2.0769122675074327,2.077071217521913,0.08738177708761186,0.006881358538746352,101612.6499162479
1912,pressure_source_sacks_allowed_pass_allow_pressure_fav,-2.0647832261470587,2.0647832261470587,0.0880104063814278,0.00714451543123649,99710.15233459527
3415,special_teams_tgs_fav,2.0593984943904085,2.0593984943904085,0.08717074524609951,0.007086299893471929,100198.93230490018
