,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
3465,selection_rush_fav,3.402980455270467,3.402980455270467,0.07857940561550357,0.001305971705259479,251010.34756918476
1459,def_summary_snap_counts_dl_b_gap_def_cov_dog,3.3371336307759285,3.3371336307759285,0.07838005966431176,0.001267675609954777,250669.29925279279
2704,pass_under_pressure_pressure_scrambles_pass_pressure_fav,-3.331310392783423,3.332046355202266,0.07825698462073823,0.0011243631315615446,251665.76290645136
2371,pass_time_more_drop_rate_time_pocket_dog,3.0405788467116963,3.0405788467116963,0.07709363707344066,-0.00012585837286637535,250524.4745144728
3292,round_rush_fav,2.882401103880054,3.0129358732702345,0.07704954080667581,-0.00035100979317224,247591.40389419545
2034,pass_depth_deep_interceptions_passdepth_fav,-2.976231742358121,2.976231742358121,0.07630464697698634,-0.0003736080228277637,249816.345599393
1886,pass_concept_no_screen_scrambles_pass_conc_fav,-2.8831739596533206,2.8845628711270286,0.07708652634847292,-0.0005212657025313042,247582.52668933905
1451,def_summary_snap_counts_dl_a_gap_def_cov_dog,2.8182884450555483,2.8182884450555483,0.07582012200195791,-0.001104107876727099,249530.7407297096
2677,pass_under_pressure_pressure_grades_hands_fumble_pass_pressure_dog,-2.67447151315916,2.67447151315916,0.07572672579027652,-0.0015428453549398938,249423.86260831254
2206,pass_summary_btt_rate_passing_dog,2.625126020216901,2.625126020216901,0.07555025800814136,-0.0016888594200011769,250033.9384786642
173,a0_tm1_pass_tm2_tackling_tgs_fav,-2.5415306729492158,2.5418991713219383,0.0755644930311748,-0.0016551937006494357,246608.06817844967
2562,pass_under_pressure_no_blitz_scrambles_pass_pressure_fav,-2.5175306051179516,2.5408226635494184,0.0755554580291147,-0.0018213263869818967,249975.12835798925
3300,run_block_gap_snap_counts_run_block_percent_run_block_fav,-2.4688110341201344,2.4694722125390496,0.0753046882315562,-0.0020842605473197218,251262.36777265513
3400,rush_summary_grades_offense_penalty_rush_dog,2.4587679999825234,2.4587679999825234,0.07496945603420638,-0.0023397817338094945,249757.62287249925
1398,def_summary_penalties_passrush_dog,2.4525448618874504,2.4525448618874504,0.07480259591852535,-0.0022909447128218506,249660.1464869642
2453,pass_under_pressure_blitz_grades_hands_fumble_pass_pressure_dog,-2.441503618639461,2.442030877366194,0.07533945400686937,-0.0022157568199904026,248685.9968036869
3302,run_block_gap_snap_counts_run_block_run_block_fav,-2.423180718074394,2.423180718074394,0.07485061843525181,-0.0023053014109259756,249820.36167028363
3304,run_block_gap_snap_counts_run_play_run_block_fav,-2.3363150786737705,2.4146855960195266,0.07519501086465707,-0.0023188572663333513,249559.1453042825
1601,draft_yr_passing_dog,2.394460332993949,2.394460332993949,0.07466592629843224,-0.0026416106376893605,250513.80341815992
