player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Anthony Barr,8644,LB,DAL,1,0,9,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,5.9,1,17,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tony Jefferson,8361,S,NYG,1,0,21,0,0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,40.0,4,10,0,0.0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Kyler Gordon,83451,CB,CHI,1,0,6,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.9,1,35,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Jevon Holland,83873,S,MIA,1,0,17,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.0,1,33,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Talanoa Hufanga,83903,S,SF,1,0,28,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,4.3,1,23,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
John Jenkins,7863,DI,MIA,1,0,17,0,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,100.0,6,6,0,0.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
Johnathan Hankins,7830,DI,LV,1,0,23,0,0,0,0,0,0,100.0,15,0,0.0,0,0,0,0,100.0,15,15,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Lavonte David,7060,LB,TB,1,0,30,0,0,0,0,0,0,33.3,2,0,0.0,0,0,0,0,13.0,6,46,0,0.0,0,0,0,0,66.7,4,0,0.0,0,0,0,0,0,0
Jordan Davis,94854,DI,PHI,1,0,24,0,0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,100.0,7,7,0,0.0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Melvin Ingram III,7024,ED,MIA,1,0,17,0,0,0,0,0,0,33.3,3,0,0.0,0,0,0,0,50.0,9,18,0,0.0,0,0,0,0,66.7,6,0,0.0,0,0,0,0,0,0
Daxton Hill,97519,S,CIN,1,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,20.0,1,5,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Alex Wright,98318,ED,CLV,1,0,8,0,0,0,0,0,0,36.4,4,0,0.0,0,0,0,0,91.7,11,12,0,0.0,0,0,0,0,63.6,7,0,0.0,0,0,0,0,0,0
Josh Bynes,6503,LB,BLT,1,0,3,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.3,1,19,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
DeMarvin Leal,98919,ED,PIT,1,0,25,0,0,0,0,0,0,66.7,8,0,0.0,0,0,0,0,100.0,13,13,0,0.0,0,0,0,0,33.3,4,0,0.0,0,0,0,0,0,0
Lawrence Guy,6385,DI,NE,1,0,19,0,0,0,0,0,0,82.4,14,0,0.0,0,0,0,0,100.0,17,17,0,0.0,0,0,0,0,17.6,3,0,0.0,0,0,0,0,0,0
Sam Williams,99106,ED,DAL,1,0,9,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Damarion Williams,100904,CB,BLT,1,0,3,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,9.1,1,11,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Leo Chenal,101463,LB,KC,1,0,16,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,14.3,1,7,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Kyle Hamilton,102684,S,BLT,1,0,3,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,2.7,1,37,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyson Alualu,5535,DI,PIT,1,0,25,0,0,0,0,0,0,31.8,7,0,0.0,0,0,0,0,100.0,23,23,0,0.0,0,0,0,0,68.2,15,0,0.0,0,0,0,0,0,0
Kyzir White,44485,LB,PHI,1,0,24,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,3.6,1,28,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Perrion Winfrey,122952,DI,CLV,1,0,8,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,3,3,0,0.0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,0,0
Jamir Jones,44287,ED,PIT,1,0,25,0,0,0,0,0,0,16.7,2,0,0.0,0,0,0,0,92.3,12,13,0,0.0,0,0,0,0,83.3,10,0,0.0,0,0,0,0,0,0
Benito Jones,44035,DI,DET,1,0,11,0,0,0,0,0,0,25.0,2,0,0.0,0,0,0,0,100.0,8,8,0,0.0,0,0,0,0,75.0,6,0,0.0,0,0,0,0,0,0
Byron Murphy Jr.,44027,CB,ARZ,1,0,1,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,2.4,1,41,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Timmy Horne,43918,DI,ATL,1,0,2,0,0,0,0,0,0,70.0,7,0,0.0,0,0,0,0,100.0,10,10,0,0.0,0,0,0,0,30.0,3,0,0.0,0,0,0,0,0,0
Raekwon Davis,44582,DI,MIA,1,1,17,0,0,0,0,0,0,27.3,3,0,0.0,0,0,0,0,100.0,18,18,0,0.0,0,0,0,0,72.7,8,0,0.0,0,0,0,0,0,0
Jonah Williams,44597,DI,LA,1,0,26,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,3,3,0,0.0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,0,0
Leki Fotu,44614,DI,ARZ,1,0,1,0,0,0,0,0,0,23.1,3,0,0.0,0,0,0,0,89.5,17,19,0,0.0,0,0,0,0,76.9,10,0,0.0,0,0,0,0,0,0
Quincy Roche,43734,ED,NYG,1,0,21,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Kentavius Street,48404,DI,NO,1,0,20,0,0,0,0,0,0,46.2,6,0,0.0,0,0,0,0,100.0,13,13,0,0.0,0,0,0,0,53.8,7,0,0.0,0,0,0,0,0,0
