player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jaquan Brisker,101665,S,CHI,1,0,6,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.0,1,25,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jalen Ramsey,10639,CB,LA,1,0,26,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.3,1,23,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Marco Wilson,55592,CB,ARZ,1,0,1,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.9,1,35,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jonathan Garvin,56703,ED,GB,1,0,12,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jamin Davis,57905,LB,WAS,1,0,32,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,4.2,1,24,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Nate Landman,57788,LB,ATL,1,0,2,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,33.3,1,3,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Richie Grant,43196,S,ATL,1,0,2,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.4,1,42,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Byron Murphy Jr.,44027,CB,ARZ,1,0,1,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.6,1,38,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Adrian Amos,9575,S,GB,1,0,12,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.8,1,21,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Trey Flowers,9534,ED,MIA,1,0,17,1,0,0,0,0,0,,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Elandon Roberts,10848,LB,MIA,1,0,17,0,0,0,0,0,0,66.7,2,1,50.0,1,1,0,0,17.4,4,23,2,50.0,0,0,0,0,33.3,1,0,0.0,0,0,0,2,1,0
Derwin James,51368,S,LAC,1,0,27,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,5.9,2,34,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Demario Davis,7079,LB,NO,1,0,20,0,1,0,0,0,0,57.1,4,1,25.0,1,1,0,0,16.7,7,42,3,35.7,0,0,1,0,42.9,3,2,50.0,1,1,0,2,2,0
Jordan Hicks,9517,LB,MIN,1,0,18,1,1,0,1,0,0,33.3,1,1,50.0,0,0,0,0,5.7,3,53,2,33.3,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
