player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Kenny Moore II,51596,CB,IND,1,0,14,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,4.5,1,22,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Mack Wilson,43190,LB,NE,1,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,33.3,2,6,2,75.0,0,0,1,1,100.0,2,2,75.0,1,0,0,1,0,0
Michael Jackson,50437,CB,SEA,1,0,29,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.8,1,57,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Donovan Wilson,49408,S,DAL,1,0,9,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,6.9,2,29,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Adrian Amos,9575,S,GB,1,0,12,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.9,1,35,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Geno Stone,55967,S,BLT,1,0,3,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,2.9,1,34,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Martin Emerson,97872,CB,CLV,1,0,8,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,9.5,2,21,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Justin Simmons,10732,S,DEN,1,0,10,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,3.1,1,32,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Patrick Surtain II,83119,CB,DEN,1,0,10,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Kerby Joseph,83239,S,DET,1,0,11,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,3.6,1,28,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
K'Waun Williams,9332,CB,DEN,1,0,10,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.3,1,23,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Alex Anzalone,11831,LB,DET,1,0,11,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,11.1,3,27,1,33.3,0,0,0,0,100.0,3,1,33.3,1,0,0,1,0,0
Kyle Hamilton,102684,S,BLT,1,0,3,0,0,0,0,0,0,33.3,1,1,100.0,1,1,0,0,17.6,3,17,1,33.3,0,0,0,0,66.7,2,0,0.0,0,1,1,1,2,1
Demario Davis,7079,LB,NO,1,0,20,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,9.4,3,32,1,33.3,0,0,0,0,33.3,1,1,100.0,1,1,0,1,1,0
Roquan Smith,50892,LB,CHI,1,0,6,0,0,0,0,0,0,100.0,3,1,33.3,1,1,0,0,9.4,3,32,1,33.3,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Quay Walker,82547,LB,GB,1,0,12,2,1,0,2,0,0,60.0,3,2,33.3,0,0,0,0,16.7,5,30,3,30.0,0,0,1,0,40.0,2,1,25.0,0,0,0,0,0,0
Jonas Griffith,35858,LB,DEN,1,0,10,1,2,0,1,1,1,60.0,3,2,33.3,0,0,0,2,20.0,5,25,3,30.0,0,0,1,1,40.0,2,1,25.0,0,0,0,0,0,0
Matthew Judon,10780,ED,NE,1,0,19,1,2,0,1,2,0,77.8,14,6,32.1,3,3,0,0,81.8,18,22,6,25.0,0,0,0,0,22.2,4,0,0.0,0,0,0,3,3,0
L'Jarius Sneed,40588,CB,KC,1,0,16,0,0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,9.8,4,41,1,25.0,0,0,0,0,75.0,3,1,33.3,1,0,0,1,0,0
Tae Crowder,35774,LB,NYG,1,0,21,0,1,0,0,0,0,100.0,1,0,0.0,0,0,0,0,8.7,2,23,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Josh Bynes,6503,LB,BLT,1,0,3,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,13.3,2,15,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,1
Byron Cowart,50588,DI,IND,1,0,14,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Sam Williams,99106,ED,DAL,1,0,9,0,0,0,0,0,0,75.0,6,2,33.3,2,2,0,0,100.0,8,8,2,25.0,0,0,0,0,25.0,2,0,0.0,0,0,0,2,2,0
Isaiah Thomas,56798,ED,CLV,1,0,8,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Patrick Queen,57941,LB,BLT,1,0,3,0,2,0,0,1,0,66.7,4,1,12.5,0,0,0,0,23.5,8,34,3,25.0,0,0,0,0,33.3,2,1,50.0,1,1,0,1,1,0
Coby Bryant,55088,CB,SEA,1,0,29,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,3.7,2,54,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Justin Houston,6222,ED,BLT,1,0,3,0,2,0,0,1,0,38.5,5,1,10.0,0,0,0,1,100.0,13,13,4,23.1,0,0,1,1,61.5,8,3,31.3,2,2,0,2,2,0
Joseph Ossai,77205,ED,CIN,1,0,7,0,1,0,0,0,0,28.6,2,0,0.0,0,0,0,0,100.0,7,7,2,21.4,0,0,1,0,71.4,5,2,30.0,1,1,0,1,1,0
Yannick Ngakoue,10703,ED,IND,1,0,14,2,2,0,0,1,0,13.3,2,1,25.0,0,0,0,0,100.0,15,15,5,20.0,0,2,1,0,86.7,13,4,19.2,1,1,0,1,1,0
Dre'Mont Jones,28075,DI,DEN,1,0,10,0,4,0,0,3,0,66.7,14,4,17.9,1,1,0,0,100.0,21,21,6,19.0,0,0,1,0,33.3,7,2,21.4,1,1,0,2,2,0
DeMarcus Walker,11806,ED,TEN,1,0,31,1,2,0,1,2,0,37.5,3,3,50.0,0,0,0,0,100.0,8,8,3,18.8,0,0,0,0,62.5,5,0,0.0,0,0,0,0,0,0
Trey Hendrickson,11858,ED,CIN,1,0,7,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,91.7,11,12,3,18.2,0,0,2,0,100.0,11,3,18.2,1,1,0,1,1,0
David Long,29367,LB,TEN,1,0,31,1,3,0,1,1,0,40.0,4,2,25.0,0,0,0,0,23.9,11,46,4,18.2,0,0,2,0,60.0,6,2,16.7,0,0,0,0,0,0
Ogbonnia Okoronkwo,50130,ED,HST,1,0,13,1,3,0,1,1,0,45.5,5,2,20.0,0,0,0,0,100.0,11,11,4,18.2,0,0,2,0,54.5,6,2,16.7,0,0,0,0,0,0
Deangelo Malone,56941,ED,ATL,1,0,2,0,2,0,0,0,0,33.3,4,1,25.0,1,1,0,0,100.0,12,12,3,16.7,0,0,2,0,66.7,8,2,12.5,0,0,0,1,1,0
De'Vondre Campbell,10749,LB,GB,1,0,12,2,1,0,1,1,0,50.0,4,2,25.0,0,0,0,0,25.7,9,35,3,16.7,0,1,0,0,50.0,4,1,12.5,0,0,0,0,0,0
Maliek Collins,10701,DI,HST,1,0,13,1,1,0,1,0,0,16.7,1,1,50.0,0,0,0,0,100.0,6,6,2,16.7,0,0,1,0,83.3,5,1,10.0,0,0,0,0,0,0
Myles Hartsfield,49159,S,CAR,1,0,5,0,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,5.9,3,51,1,16.7,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
Elandon Roberts,10848,LB,MIA,1,0,17,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,21.4,3,14,1,16.7,0,0,1,0,100.0,3,1,16.7,0,0,0,0,0,0
Jay Tufele,56913,DI,CIN,1,0,7,0,2,0,0,2,0,50.0,3,2,33.3,0,0,0,0,100.0,6,6,2,16.7,0,0,0,0,50.0,3,0,0.0,0,0,0,0,0,0
Keanu Neal,10651,S,TB,1,0,30,1,0,0,1,0,0,100.0,3,1,16.7,0,0,0,0,16.7,3,18,1,16.7,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Blake Cashman,35413,LB,HST,1,0,13,0,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,100.0,3,3,1,16.7,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
Chris Rumph II,56345,ED,LAC,1,0,27,0,1,0,0,1,0,66.7,2,1,25.0,0,0,0,0,100.0,3,3,1,16.7,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Divine Deablo,42208,LB,LV,1,0,23,0,1,0,0,1,0,66.7,2,1,25.0,0,0,0,0,7.1,3,42,1,16.7,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Derrek Tuszka,37724,ED,LAC,1,0,27,0,1,0,0,1,0,100.0,3,1,16.7,0,0,0,0,75.0,3,4,1,16.7,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Myles Garrett,11756,ED,CLV,1,0,8,0,4,0,0,3,1,94.7,18,4,13.9,1,1,0,1,100.0,19,19,5,15.8,0,0,1,0,5.3,1,1,50.0,0,0,0,1,1,0
Dawuane Smoot,11823,ED,JAX,1,0,15,0,3,0,0,3,0,100.0,10,3,15.0,0,0,0,0,100.0,10,10,3,15.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kevin Givens,28308,DI,SF,1,0,28,1,2,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,10,10,3,15.0,0,1,2,0,100.0,10,3,15.0,0,0,0,0,0,0
Austin Johnson,10677,DI,LAC,1,0,27,1,1,0,1,0,0,50.0,7,1,7.1,0,0,0,0,93.3,14,15,3,14.3,0,0,1,0,50.0,7,2,21.4,1,1,0,1,1,0
Willie Gay Jr.,57987,LB,KC,1,0,16,0,0,0,0,0,0,71.4,5,1,20.0,1,1,0,0,29.2,7,24,1,14.3,0,0,0,0,28.6,2,0,0.0,0,0,0,1,1,0
Ifeadi Odenigbo,11975,ED,IND,1,0,14,0,3,0,0,2,0,54.5,6,2,16.7,0,0,0,0,100.0,11,11,3,13.6,0,0,1,0,45.5,5,1,10.0,0,0,0,0,0,0
Rashan Gary,42905,ED,GB,1,0,12,4,2,0,3,2,0,100.0,21,5,11.9,0,0,0,0,100.0,22,22,6,13.6,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jaelan Phillips,56902,ED,MIA,1,0,17,0,5,0,0,4,0,63.6,21,5,14.3,1,1,0,0,86.8,33,38,7,13.6,0,0,1,0,36.4,12,2,12.5,1,3,3,2,4,3
Micah Parsons,81360,ED,DAL,1,0,9,2,1,0,0,1,0,53.8,14,1,3.6,0,1,1,1,100.0,26,26,5,13.5,0,2,0,1,46.2,12,4,25.0,2,3,2,2,4,3
Jahlani Tavai,51055,LB,NE,1,0,19,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,23.5,4,17,1,12.5,0,1,0,0,100.0,4,1,12.5,0,0,0,0,0,0
Fred Warner,51222,LB,SF,1,0,28,0,1,0,0,1,0,50.0,2,1,25.0,0,0,0,0,10.8,4,37,1,12.5,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Arden Key,50201,ED,JAX,1,0,15,0,2,0,0,0,0,0.0,0,0,,0,0,0,1,80.0,8,10,2,12.5,0,0,2,1,100.0,8,2,12.5,0,0,1,0,0,1
Jonathon Cooper,43021,ED,DEN,1,0,10,0,2,0,0,2,0,100.0,8,2,12.5,0,0,0,0,66.7,8,12,2,12.5,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jacob Martin,50152,ED,NYJ,1,0,22,0,3,0,0,0,0,25.0,3,0,0.0,0,0,0,0,100.0,12,12,3,12.5,0,0,3,0,75.0,9,3,16.7,0,0,0,0,0,0
Kingsley Enagbare,82409,ED,GB,1,0,12,1,0,0,1,0,0,63.6,7,2,21.4,1,1,0,0,100.0,12,12,2,12.5,0,0,0,0,36.4,4,0,0.0,0,0,0,1,1,0
Devin White,43089,LB,TB,1,0,30,1,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,16.7,4,24,1,12.5,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Aidan Hutchinson,82330,ED,DET,1,0,11,1,1,0,0,1,0,54.2,13,2,11.5,1,1,0,0,96.0,24,25,4,12.5,0,1,0,0,45.8,11,2,13.6,1,1,0,2,2,0
Dylan Cole,24304,LB,TEN,1,0,31,0,1,0,0,1,0,50.0,2,1,25.0,0,0,0,0,19.0,4,21,1,12.5,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Odafe Oweh,82161,ED,BLT,1,0,3,2,3,0,1,2,0,35.0,7,3,21.4,0,1,1,0,87.0,20,23,5,12.5,0,1,1,0,65.0,13,2,7.7,0,0,0,0,1,1
Sione Takitaki,12666,LB,CLV,1,0,8,1,0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,44.4,4,9,1,12.5,0,1,0,0,50.0,2,1,25.0,0,0,0,0,0,0
Germaine Pratt,29407,LB,CIN,1,0,7,0,1,0,0,1,0,100.0,3,1,16.7,0,0,0,0,22.2,4,18,1,12.5,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
DeForest Buckner,10641,DI,IND,1,0,14,3,2,0,1,1,0,52.4,11,2,9.1,0,0,0,0,100.0,21,21,5,11.9,0,2,1,0,47.6,10,3,15.0,0,0,0,0,0,0
Taven Bryan,48753,DI,CLV,1,0,8,0,2,0,0,0,0,47.1,8,0,0.0,0,0,0,0,100.0,17,17,3,11.8,0,0,2,0,52.9,9,3,22.2,1,1,0,1,1,0
Alex Wright,98318,ED,CLV,1,0,8,0,2,0,0,2,0,33.3,3,2,33.3,0,0,0,0,100.0,9,9,2,11.1,0,0,0,0,66.7,6,0,0.0,0,0,0,0,0,0
Bryce Huff,27128,ED,NYJ,1,0,22,0,2,0,0,2,0,88.9,16,2,6.3,0,0,0,0,94.7,18,19,3,11.1,0,0,0,0,11.1,2,1,50.0,1,0,0,1,0,0
Bud Dupree,9455,ED,TEN,1,0,31,1,5,0,0,0,0,8.3,3,0,0.0,0,0,0,0,90.0,36,40,7,11.1,0,1,5,0,91.7,33,7,12.1,1,1,0,1,1,0
Corey Peters,5607,DI,JAX,1,0,15,0,3,0,0,2,0,46.2,6,2,16.7,0,0,0,0,100.0,14,14,3,10.7,0,0,1,0,53.8,7,1,7.1,0,0,0,0,0,0
Morgan Fox,11184,DI,LAC,1,0,27,0,1,0,0,0,0,71.4,10,1,10.0,1,1,0,0,100.0,14,14,2,10.7,0,0,1,0,28.6,4,1,12.5,0,0,0,1,1,0
Sam Hubbard,48457,ED,CIN,1,0,7,1,0,0,1,0,0,92.9,13,2,11.5,1,1,0,0,82.4,14,17,2,10.7,0,0,0,0,7.1,1,0,0.0,0,0,0,1,1,0
Josh Allen,50235,ED,JAX,1,0,15,1,4,0,1,2,1,37.5,9,3,16.7,0,0,0,1,85.7,24,28,5,10.4,0,0,2,0,62.5,15,2,6.7,0,0,0,0,0,0
Maxx Crosby,26316,ED,LV,1,0,23,2,6,0,2,6,0,100.0,40,8,10.0,0,0,0,0,97.6,40,41,8,10.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dean Lowry,10771,DI,GB,1,0,12,0,3,0,0,3,0,66.7,10,3,15.0,0,0,0,0,100.0,15,15,3,10.0,0,0,0,0,33.3,5,0,0.0,0,0,0,0,0,0
Johnathan Abram,34646,S,LV,1,0,23,0,1,0,0,0,0,40.0,2,0,0.0,0,0,0,0,14.7,5,34,1,10.0,0,0,1,0,60.0,3,1,16.7,0,0,0,0,0,0
Anfernee Jennings,25449,ED,NE,1,0,19,0,2,0,0,2,1,60.0,6,2,16.7,0,0,0,1,90.9,10,11,2,10.0,0,0,0,0,40.0,4,0,0.0,0,0,0,0,0,0
Rashad Weaver,42495,ED,TEN,1,0,31,2,1,0,2,1,0,93.8,15,3,10.0,0,0,0,0,88.9,16,18,3,9.4,0,0,0,0,6.3,1,0,0.0,0,0,0,0,0,0
Al Woods,5646,DI,SEA,1,0,29,0,0,0,0,0,0,66.7,4,1,25.0,1,1,0,0,100.0,11,11,1,9.1,0,0,0,0,33.3,2,0,0.0,0,0,0,1,1,0
Frank Clark,9496,ED,KC,1,0,16,0,2,0,0,1,0,48.5,16,1,3.1,0,0,0,0,97.1,33,34,4,9.1,0,0,1,0,51.5,17,3,14.7,2,2,0,2,2,0
Bradley Chubb,48526,ED,DEN,1,0,10,0,3,0,0,0,0,17.6,3,0,0.0,0,0,0,1,70.8,17,24,3,8.8,0,0,3,1,82.4,14,3,10.7,0,1,1,0,1,1
Roy Lopez,48676,DI,HST,1,0,13,0,3,0,0,3,0,47.1,8,3,18.8,0,0,0,0,100.0,17,17,3,8.8,0,0,0,0,52.9,9,0,0.0,0,0,0,0,0,0
Cameron Jordan,6176,ED,NO,1,0,20,0,2,0,0,2,0,100.0,23,3,8.7,1,1,1,0,100.0,23,23,3,8.7,0,0,0,0,0.0,0,0,,0,0,0,1,1,1
Clelin Ferrell,25955,ED,LV,1,0,23,1,2,0,0,0,0,13.8,4,1,25.0,1,1,0,0,96.7,29,30,4,8.6,0,1,2,0,86.2,25,3,6.0,0,0,0,1,1,0
Foyesade Oluokun,24904,LB,JAX,1,0,15,1,0,0,1,0,0,50.0,3,1,16.7,0,0,0,0,16.2,6,37,1,8.3,0,0,0,0,50.0,3,0,0.0,0,0,0,0,0,0
Cameron Sample,56462,ED,CIN,1,0,7,0,1,0,0,0,0,33.3,2,0,0.0,0,0,0,0,85.7,6,7,1,8.3,0,0,1,0,66.7,4,1,12.5,0,0,0,0,0,0
Kyle Van Noy,8675,ED,LAC,1,0,27,1,3,0,1,1,0,62.5,15,2,6.7,0,0,0,0,96.0,24,25,4,8.3,0,0,2,0,37.5,9,2,11.1,0,0,0,0,0,0
Budda Baker,11791,S,ARZ,1,0,1,0,1,0,0,1,0,83.3,5,1,10.0,0,0,0,0,11.5,6,52,1,8.3,0,0,0,0,16.7,1,0,0.0,0,0,0,0,0,0
