player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Damar Hamlin,43291,S,BUF,1,0,4,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,1,22,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jalen Pitre,57737,S,HST,1,0,13,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,4.0,1,25,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Matt Milano,11918,LB,BUF,1,0,4,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,1,22,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Damarion Williams,100904,CB,BLT,1,0,3,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,6.3,1,16,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Logan Ryan,7864,S,TB,1,0,30,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.3,1,23,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
David Long,29367,LB,TEN,1,0,31,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,48,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Bradley Roby,8666,CB,NO,1,0,20,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,3.4,1,29,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Josey Jewell,50720,LB,DEN,1,0,10,1,1,0,0,0,0,0.0,0,0,,0,0,0,0,13.3,4,30,3,50.0,0,1,1,0,100.0,4,3,50.0,1,1,0,1,1,0
Cory Littleton,11190,LB,CAR,1,0,5,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,16.7,1,6,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Chandon Sullivan,49349,CB,MIN,1,0,18,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.9,1,35,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jevon Holland,83873,S,MIA,1,0,17,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.9,5,72,3,50.0,0,0,1,0,100.0,5,3,50.0,2,2,0,2,2,0
Jaycee Horn,83375,CB,CAR,1,0,5,1,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.0,2,40,2,50.0,0,1,1,0,100.0,2,2,50.0,0,0,0,0,0,0
Anthony Walker,11916,LB,CLV,1,0,8,0,2,0,0,1,0,50.0,1,1,50.0,0,1,1,0,12.5,2,16,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,1,1
Adrian Amos,9575,S,GB,1,0,12,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.2,1,45,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jalen Thompson,49116,S,ARZ,1,0,1,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,3.7,1,27,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Bryan Cook,55940,S,KC,1,0,16,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,14.3,1,7,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Rayshawn Jenkins,11868,S,JAX,1,0,15,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,47,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Mike Ford,50535,CB,ATL,1,0,2,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,9.1,1,11,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jordan Hicks,9517,LB,MIN,1,0,18,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.8,1,36,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
J.T. Gray,51495,S,NO,1,0,20,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,2,6,1,50.0,0,0,0,0,100.0,2,1,50.0,1,0,0,1,0,0
Keion Crossen,49454,CB,MIA,1,0,17,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,11.1,1,9,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
T.J. Edwards,30737,LB,PHI,1,0,24,1,2,0,0,0,0,33.3,2,1,50.0,1,1,0,0,11.5,6,52,4,41.7,0,1,2,0,66.7,4,3,37.5,0,0,0,1,1,0
Donovan Wilson,49408,S,DAL,1,0,9,0,1,0,0,1,1,100.0,4,2,37.5,1,1,0,1,8.2,4,49,2,37.5,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Mike Hughes,34057,CB,DET,1,0,11,1,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,11.1,3,27,2,33.3,0,1,0,0,66.7,2,1,25.0,0,0,0,0,0,0
Lamarcus Joyner,8676,S,NYJ,1,0,22,2,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.7,3,39,2,33.3,0,1,0,0,100.0,2,1,25.0,0,0,0,0,0,0
Coby Bryant,55088,CB,SEA,1,0,29,0,0,0,0,0,0,33.3,1,1,100.0,1,1,0,0,13.6,3,22,1,33.3,0,0,0,0,66.7,2,0,0.0,0,0,0,1,1,0
Nick Bolton,81322,LB,KC,1,0,16,0,0,0,0,0,0,60.0,3,1,33.3,1,1,0,0,14.0,6,43,2,33.3,0,0,0,0,40.0,2,1,50.0,1,1,0,2,2,0
Troy Andersen,57317,LB,ATL,1,0,2,0,2,0,0,2,0,100.0,3,2,33.3,0,0,0,0,23.1,3,13,2,33.3,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Devin Lloyd,58238,LB,JAX,1,0,15,0,2,0,0,1,0,100.0,2,1,25.0,0,0,0,0,6.4,3,47,2,33.3,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jeremy Chinn,43179,S,CAR,1,0,5,0,1,0,0,0,0,40.0,2,1,50.0,1,1,0,0,11.9,5,42,2,30.0,0,0,1,0,60.0,3,1,16.7,0,0,0,1,1,0
