player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Nate Hobbs,55948,CB,LV,1,0,23,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.2,1,31,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Nicholas Morrow,51674,LB,CHI,1,0,6,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,1,22,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Patrick O'Connor,12005,ED,TB,1,0,30,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Adrian Phillips,9177,S,NE,1,0,19,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.6,1,28,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Harrison Smith,7641,S,MIN,1,0,18,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,3.6,1,28,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Darious Williams,55724,CB,JAX,1,0,15,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,1,15,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Drue Tranquill,51276,LB,LAC,1,0,27,1,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.1,2,39,2,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Dane Jackson,32989,CB,BUF,1,0,4,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.6,1,38,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jaylon Smith,10668,LB,NYG,1,0,21,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,7.1,1,14,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Mike Edwards,51282,S,TB,1,0,30,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,4.8,2,42,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
K'Waun Williams,9332,CB,DEN,1,0,10,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,6.3,2,32,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Rashad Fenton,49329,CB,KC,1,0,16,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,2.0,1,51,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
