player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Steven Nelson,9531,CB,HST,1,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.3,1,30,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Marlon Humphrey,11771,CB,BLT,1,0,3,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.7,2,35,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Derrick Barnes,58120,LB,DET,1,0,11,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,9.7,3,31,2,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Amik Robertson,55619,CB,LV,1,0,23,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,7.7,1,13,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jaylinn Hawkins,51423,S,ATL,1,0,2,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.2,1,45,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Drue Tranquill,51276,LB,LAC,1,0,27,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,7.4,2,27,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Jalen Ramsey,10639,CB,LA,1,0,26,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.7,1,59,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Benjamin St-Juste,56061,CB,WAS,1,0,32,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.7,2,43,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Jake Hansen,43645,LB,HST,1,0,13,0,1,0,0,0,0,,0,0,,0,0,0,1,20.0,1,5,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Andrew Wingard,49268,S,JAX,1,0,15,0,2,0,0,1,0,50.0,1,1,50.0,0,0,0,0,16.7,2,12,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Damar Hamlin,43291,S,BUF,1,0,4,0,1,0,0,0,0,25.0,1,1,100.0,1,1,0,0,13.8,4,29,2,37.5,0,0,1,0,75.0,3,1,16.7,0,0,0,1,1,0
Jason Pierre-Paul,5540,ED,BLT,1,0,3,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,3,3,2,33.3,0,0,2,0,100.0,3,2,33.3,0,0,0,0,0,0
Raekwon McMillan,11809,LB,NE,1,0,19,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,23.1,3,13,1,33.3,0,0,0,0,33.3,1,1,100.0,1,1,0,1,1,0
David Long,29367,LB,TEN,1,0,31,1,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,3.8,3,78,2,33.3,0,1,1,0,66.7,2,2,50.0,0,0,0,0,0,0
Christian Kirksey,8706,LB,HST,1,0,13,1,3,0,1,1,0,33.3,2,2,50.0,0,0,0,0,25.0,7,28,4,28.6,0,0,2,0,66.7,4,2,25.0,0,0,0,0,0,0
Javon Hargrave,10723,DI,PHI,1,0,24,0,3,0,0,0,0,12.5,2,0,0.0,0,0,0,1,100.0,17,17,6,26.5,0,0,3,1,87.5,14,6,32.1,3,4,1,3,4,1
Adam Gotsis,10697,DI,JAX,1,0,15,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,100.0,2,2,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Dylan Cole,24304,LB,TEN,1,0,31,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,9.1,2,22,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Foyesade Oluokun,24904,LB,JAX,1,0,15,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,5.1,2,39,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
