player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jalen Ramsey,10639,CB,LA,1,0,26,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.3,1,19,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Demetrius Flannigan-Fowles,49231,LB,SF,1,0,28,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,12.5,1,8,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tashaun Gipson Sr.,7288,S,SF,1,0,28,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,49,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Devin Lloyd,58238,LB,JAX,1,0,15,0,1,0,0,0,0,50.0,1,1,100.0,1,0,0,0,8.0,2,25,2,75.0,0,0,1,0,50.0,1,1,50.0,0,0,0,1,0,0
Emmanuel Moseley,50430,CB,SF,1,0,28,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,2.6,1,38,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Nick Bolton,81322,LB,KC,1,0,16,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,3.0,1,33,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
K'Waun Williams,9332,CB,DEN,1,0,10,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.3,1,44,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Byron Murphy Jr.,44027,CB,ARZ,1,0,1,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.0,2,40,1,50.0,0,0,0,0,100.0,2,1,50.0,1,0,0,1,0,0
Darnay Holmes,56247,CB,NYG,1,0,21,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,3.2,1,31,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Josh Jones,11816,S,SEA,1,0,29,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Rodney McLeod,7271,S,IND,1,0,14,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,2.2,1,45,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Antonio Hamilton,11353,CB,ARZ,1,0,1,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,7.7,1,13,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Sauce Gardner,100903,CB,NYJ,1,0,22,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.7,1,37,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Rashad Fenton,49329,CB,KC,1,0,16,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.2,1,31,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Coby Bryant,55088,CB,SEA,1,0,29,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,5.9,1,17,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
