player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Jake Camarda,82636,P,TB,1,6,6,4.69,54.17,59.5,6.0,0,0,1,1,30,75.3,4,74,1,0,33.3,12,2,6,28.12,325,1,357,9,2022
Andy Lee,1906,P,ARZ,1,5,5,4.2,37.4,47.4,10.0,0,0,0,1,1,60.0,1,58,0,0,60.0,30,3,5,20.98,187,1,237,10,2022
Bryan Anger,7072,P,DAL,1,5,5,4.44,42.8,49.2,8.0,0,0,0,1,9,59.5,3,58,0,0,80.0,32,4,5,22.21,214,0,246,10,2022
Johnny Hekker,7252,P,CAR,1,5,5,3.99,38.6,43.2,11.5,0,0,2,0,5,59.8,2,52,1,0,40.0,23,2,5,19.93,193,0,216,10,2022
Sam Martin,7947,P,BUF,1,3,3,4.29,46.67,50.67,6.0,0,0,0,1,4,58.7,0,58,0,0,66.7,12,2,3,12.88,140,0,152,10,2022
Tress Way,8358,P,WAS,1,2,2,4.27,41.0,43.5,5.0,0,0,0,1,32,58.0,2,50,0,0,50.0,5,1,2,8.54,82,0,87,10,2022
Pat O'Donnell,8826,P,GB,1,4,4,4.26,37.25,40.0,5.5,0,0,0,2,12,61.3,4,42,0,0,50.0,11,2,4,17.05,149,0,160,10,2022
Bradley Pinion,9598,P,ATL,1,5,5,4.26,34.8,34.8,,0,0,2,1,2,59.7,2,43,2,0,0.0,0,0,5,21.28,174,0,174,10,2022
Riley Dixon,10862,P,LA,1,5,5,4.37,38.4,50.4,13.3,0,0,1,0,26,71.1,0,60,0,0,60.0,40,3,5,21.86,192,1,252,10,2022
Matt Haack,12212,P,IND,1,3,3,4.55,42.0,47.67,8.5,0,0,0,1,14,60.3,1,53,0,0,66.7,17,2,3,13.66,126,0,143,10,2022
Cameron Johnston,12255,P,HST,1,5,5,4.21,45.4,45.8,1.0,0,0,2,1,13,59.3,2,52,0,0,40.0,2,2,5,21.07,227,0,229,10,2022
Corey Bojorquez,27626,P,CLV,1,1,1,3.51,33.0,41.0,8.0,0,0,0,0,8,60.0,0,41,0,0,100.0,8,1,1,3.51,33,0,41,10,2022
Logan Cooke,29214,P,JAX,1,6,6,4.25,38.33,46.83,5.5,0,0,1,1,15,60.2,2,63,0,0,33.3,11,2,6,25.52,230,2,281,10,2022
Tommy Townsend,33007,P,KC,1,2,2,3.87,36.0,45.5,19.0,0,0,1,0,16,58.6,1,51,0,0,50.0,19,1,2,7.74,72,0,91,10,2022
Jack Fox,34735,P,DET,1,4,4,3.06,35.25,46.25,14.7,0,0,1,0,11,43.3,0,59,0,0,75.0,44,3,4,12.23,141,0,185,10,2022
Michael Dickson,35381,P,SEA,1,5,5,4.41,50.6,50.6,,0,0,2,2,29,62.3,4,68,1,0,0.0,0,0,5,22.03,253,0,253,10,2022
A.J. Cole III,36038,P,LV,1,5,5,4.25,53.4,58.8,9.0,0,0,2,0,23,64.2,4,67,0,0,60.0,27,3,5,21.25,267,0,294,10,2022
J.K. Scott,38809,P,LAC,1,5,5,4.51,36.0,40.0,,0,0,1,3,27,48.4,1,44,0,0,0.0,0,0,5,22.57,180,1,200,10,2022
Corliss Waitman,39620,P,DEN,1,9,9,4.18,37.78,45.67,12.8,0,0,1,3,10,53.7,3,58,0,0,44.4,51,4,9,37.59,340,1,411,10,2022
Mitch Wishnowsky,44663,P,SF,1,4,4,3.78,33.0,33.0,,0,0,2,0,28,63.1,1,40,2,0,0.0,0,0,4,15.13,132,0,132,10,2022
Blake Gillikin,45045,P,NO,1,5,5,4.4,47.2,51.8,3.0,0,0,0,2,20,66.1,2,62,1,0,20.0,3,1,5,22.0,236,1,259,10,2022
Ryan Stonehouse,52045,P,TEN,1,8,8,4.4,47.25,54.0,4.7,0,0,2,1,31,63.1,3,74,0,0,37.5,14,3,8,35.23,378,2,432,10,2022
Trenton Gill,60295,P,CHI,1,3,3,4.02,36.33,43.0,,0,0,0,2,6,59.4,1,46,0,0,0.0,0,0,3,12.06,109,1,129,10,2022
Pressley Harvin III,62973,P,PIT,1,3,3,4.69,41.0,41.0,,0,0,0,3,25,62.9,2,48,0,0,0.0,0,0,3,14.07,123,0,123,10,2022
Jamie Gillan,63303,P,NYG,1,6,6,4.4,34.17,40.33,5.7,0,0,1,1,21,53.8,2,49,0,0,50.0,17,3,6,26.39,205,1,242,10,2022
Ryan Wright,77591,P,MIN,1,3,3,4.08,41.33,49.67,8.3,0,0,0,0,18,58.0,0,59,0,0,100.0,25,3,3,12.23,124,0,149,10,2022
Arryn Siposs,82019,P,PHI,1,3,3,3.99,43.0,47.0,12.0,0,0,0,1,24,56.5,1,53,1,0,33.3,12,1,3,11.98,129,0,141,10,2022
Jake Camarda,82636,P,TB,1,2,2,5.02,61.0,61.0,,0,0,0,1,30,61.9,0,63,1,0,0.0,0,0,2,10.03,122,0,122,10,2022
Andy Lee,1906,P,ARZ,1,4,4,4.22,42.0,45.25,6.5,0,0,0,2,1,55.2,2,59,0,0,50.0,13,2,4,16.89,168,0,181,11,2022
Bryan Anger,7072,P,DAL,1,2,2,4.49,49.0,50.5,3.0,0,0,1,0,9,59.9,2,53,0,0,50.0,3,1,2,8.98,98,0,101,11,2022
Johnny Hekker,7252,P,CAR,1,6,6,4.05,43.33,44.17,2.5,0,0,1,3,5,54.6,4,53,0,0,33.3,5,2,6,24.28,260,0,265,11,2022
Sam Martin,7947,P,BUF,1,2,2,4.61,49.5,49.5,,0,0,0,2,4,61.3,2,52,0,0,0.0,0,0,2,9.22,99,0,99,11,2022
Tress Way,8358,P,WAS,1,5,5,4.44,37.4,44.2,7.0,0,0,0,1,32,57.3,1,52,1,0,40.0,14,2,5,22.18,187,1,221,11,2022
Pat O'Donnell,8826,P,GB,1,4,4,3.2,44.25,47.25,6.0,0,0,2,0,12,53.6,1,55,0,0,50.0,12,2,4,12.8,177,0,189,11,2022
Michael Palardy,9277,P,NE,1,7,7,4.08,41.14,45.29,4.5,0,0,1,3,19,55.5,3,52,0,0,28.6,9,2,7,28.54,288,1,317,11,2022
Bradley Pinion,9598,P,ATL,1,3,3,4.63,39.67,46.33,,0,0,0,2,2,63.0,1,50,0,0,0.0,0,0,3,13.88,119,1,139,11,2022
Riley Dixon,10862,P,LA,1,6,6,4.35,41.0,47.67,10.0,0,0,0,2,26,62.4,1,60,0,0,66.7,40,4,6,26.07,246,0,286,11,2022
Matt Haack,12212,P,IND,1,4,4,4.55,43.75,52.0,13.0,0,0,0,1,14,61.1,2,59,1,0,25.0,13,1,4,18.21,175,1,208,11,2022
Cameron Johnston,12255,P,HST,1,6,6,4.14,44.0,47.67,5.5,0,0,0,2,13,52.6,1,53,0,0,66.7,22,4,6,24.84,264,0,286,11,2022
Corey Bojorquez,27626,P,CLV,1,3,3,4.1,30.0,42.33,18.5,0,0,0,1,8,53.6,0,55,0,0,66.7,37,2,3,12.31,90,0,127,11,2022
Tommy Townsend,33007,P,KC,1,2,2,4.3,46.0,46.0,,0,0,0,1,16,60.2,0,50,1,0,0.0,0,0,2,8.59,92,0,92,11,2022
Jack Fox,34735,P,DET,1,5,5,4.3,42.2,48.2,5.0,0,0,1,0,11,61.2,1,63,1,0,40.0,10,2,5,21.52,211,1,241,11,2022
A.J. Cole III,36038,P,LV,1,4,4,4.43,40.0,46.75,13.5,0,0,0,2,23,67.9,2,58,0,0,50.0,27,2,4,17.73,160,0,187,11,2022
J.K. Scott,38809,P,LAC,1,3,3,4.79,46.67,49.0,3.5,0,0,1,0,27,63.0,1,52,0,0,66.7,7,2,3,14.37,140,0,147,11,2022
Corliss Waitman,39620,P,DEN,1,4,4,3.89,39.75,46.75,7.0,0,0,0,0,10,55.4,0,54,0,0,100.0,28,4,4,15.55,159,0,187,11,2022
Mitch Wishnowsky,44663,P,SF,1,4,4,4.35,45.0,53.75,15.0,0,0,2,0,28,61.6,2,61,0,0,25.0,15,1,4,17.4,180,1,215,11,2022
Braden Mann,44664,P,NYJ,1,10,10,4.27,34.9,45.8,21.8,0,0,2,1,22,55.8,3,57,2,0,50.0,109,5,10,42.67,349,0,458,11,2022
Drue Chrisman,44787,P,CIN,1,3,3,4.03,48.67,54.0,8.0,0,0,0,1,7,57.4,2,65,0,0,66.7,16,2,3,12.09,146,0,162,11,2022
Blake Gillikin,45045,P,NO,1,5,5,4.48,45.0,47.8,7.0,0,0,1,2,20,69.1,4,55,0,0,40.0,14,2,5,22.41,225,0,239,11,2022
Ryan Stonehouse,52045,P,TEN,1,3,3,4.14,36.67,50.67,14.0,0,0,0,0,31,57.9,1,59,0,0,100.0,42,3,3,12.41,110,0,152,11,2022
Jordan Stout,57649,P,BLT,1,7,7,4.59,33.43,35.86,-1.5,0,0,2,2,3,61.1,4,52,0,0,28.6,-3,2,7,32.16,234,1,251,11,2022
Trenton Gill,60295,P,CHI,1,4,4,4.41,32.25,40.0,10.3,0,0,0,1,6,58.8,1,44,0,0,75.0,31,3,4,17.65,129,0,160,11,2022
Pressley Harvin III,62973,P,PIT,1,6,6,4.3,41.83,45.5,5.5,0,0,0,2,25,70.2,2,56,0,0,66.7,22,4,6,25.82,251,0,273,11,2022
Jamie Gillan,63303,P,NYG,1,4,4,4.27,38.25,38.25,,0,0,1,3,21,51.0,2,51,0,0,0.0,0,0,4,17.08,153,0,153,11,2022
Ryan Wright,77591,P,MIN,1,7,7,4.63,43.43,48.29,8.5,0,0,0,3,18,70.0,3,58,0,0,57.1,34,4,7,32.39,304,0,338,11,2022
Arryn Siposs,82019,P,PHI,1,4,4,4.39,35.5,41.75,12.5,0,0,0,2,24,57.2,1,49,0,0,50.0,25,2,4,17.55,142,0,167,11,2022
Andy Lee,1906,P,ARZ,1,3,3,4.56,41.67,50.0,12.5,0,0,1,0,1,58.7,0,52,0,0,66.7,25,2,3,13.69,125,0,150,12,2022
Thomas Morstead,5088,P,MIA,1,6,6,4.4,32.5,49.33,16.2,0,0,0,0,17,61.9,0,55,0,0,83.3,81,5,6,26.38,195,1,296,12,2022
Bryan Anger,7072,P,DAL,1,1,1,4.58,48.0,51.0,3.0,0,0,0,0,9,60.0,0,51,0,0,100.0,3,1,1,4.58,48,0,51,12,2022
Johnny Hekker,7252,P,CAR,1,5,5,4.6,51.0,51.0,0.0,0,0,1,2,5,72.2,4,59,1,0,20.0,0,1,5,22.99,255,0,255,12,2022
Sam Martin,7947,P,BUF,1,4,4,4.53,35.75,49.25,27.0,0,0,0,1,4,69.3,2,56,1,0,50.0,54,2,4,18.12,143,0,197,12,2022
Tress Way,8358,P,WAS,1,3,3,4.03,42.33,42.33,,0,0,1,2,32,55.4,2,45,0,0,0.0,0,0,3,12.1,127,0,127,12,2022
Pat O'Donnell,8826,P,GB,1,2,2,4.3,41.5,41.5,,0,0,1,1,12,59.5,1,42,0,0,0.0,0,0,2,8.59,83,0,83,12,2022
Michael Palardy,9277,P,NE,1,3,3,3.92,37.33,41.0,11.0,0,0,1,0,19,57.9,0,56,1,0,33.3,11,1,3,11.77,112,0,123,12,2022
Bradley Pinion,9598,P,ATL,1,3,3,4.36,40.67,40.67,,0,0,0,2,2,60.1,1,48,1,0,0.0,0,0,3,13.09,122,0,122,12,2022
Riley Dixon,10862,P,LA,1,4,4,4.19,43.75,43.75,0.0,0,0,0,1,26,67.9,2,48,2,0,25.0,0,1,4,16.77,175,0,175,12,2022
Matt Haack,12212,P,IND,1,3,3,4.03,44.0,50.0,6.0,0,0,0,0,14,58.7,0,59,0,0,100.0,18,3,3,12.1,132,0,150,12,2022
Cameron Johnston,12255,P,HST,1,7,7,3.83,46.86,50.0,7.3,0,0,0,3,13,58.5,2,56,1,0,42.9,22,3,7,26.82,328,0,350,12,2022
Corey Bojorquez,27626,P,CLV,1,6,6,4.44,43.17,54.83,15.0,0,0,0,2,8,64.4,2,65,0,0,33.3,30,2,6,26.65,259,2,329,12,2022
Logan Cooke,29214,P,JAX,1,3,3,4.32,55.33,68.67,,0,0,1,0,15,66.8,1,70,0,0,0.0,0,0,3,12.95,166,2,206,12,2022
Tommy Townsend,33007,P,KC,1,1,1,4.73,49.0,49.0,,0,0,0,1,16,60.0,1,49,0,0,0.0,0,0,1,4.73,49,0,49,12,2022
Jack Fox,34735,P,DET,1,2,2,3.97,51.5,51.5,,0,0,1,1,11,59.9,2,57,0,0,0.0,0,0,2,7.93,103,0,103,12,2022
Michael Dickson,35381,P,SEA,1,4,4,4.04,44.5,47.0,3.3,0,0,0,1,29,60.4,2,58,0,0,75.0,10,3,4,16.14,178,0,188,12,2022
A.J. Cole III,36038,P,LV,1,2,2,4.16,40.0,45.5,11.0,0,0,0,1,23,59.7,1,50,0,0,50.0,11,1,2,8.32,80,0,91,12,2022
J.K. Scott,38809,P,LAC,1,6,6,4.58,36.5,39.0,15.0,0,0,1,3,27,65.4,4,48,1,0,16.7,15,1,6,27.48,219,0,234,12,2022
Corliss Waitman,39620,P,DEN,1,7,7,4.28,46.14,52.43,8.8,0,0,1,1,10,60.4,2,58,0,0,71.4,44,5,7,29.95,323,0,367,12,2022
Mitch Wishnowsky,44663,P,SF,1,4,4,3.95,39.25,43.75,9.0,0,0,0,2,28,64.8,2,45,0,0,50.0,18,2,4,15.78,157,0,175,12,2022
Braden Mann,44664,P,NYJ,1,2,2,4.52,53.0,59.0,12.0,0,0,1,0,22,61.2,1,62,0,0,50.0,12,1,2,9.03,106,0,118,12,2022
Drue Chrisman,44787,P,CIN,1,5,5,4.03,43.4,51.8,10.5,0,0,0,1,7,64.2,2,62,0,0,80.0,42,4,5,20.14,217,0,259,12,2022
Blake Gillikin,45045,P,NO,1,4,4,4.3,36.25,45.75,9.0,0,0,1,0,20,59.6,2,57,0,0,50.0,18,2,4,17.21,145,1,183,12,2022
Ryan Stonehouse,52045,P,TEN,1,5,5,4.37,43.8,53.8,5.0,0,0,0,1,31,62.5,2,71,0,0,40.0,10,2,5,21.87,219,2,269,12,2022
Jordan Stout,57649,P,BLT,1,1,1,3.91,33.0,53.0,,0,0,0,0,3,60.0,0,53,0,0,0.0,0,0,1,3.91,33,1,53,12,2022
Trenton Gill,60295,P,CHI,1,5,5,4.21,41.2,48.8,19.0,0,0,1,2,6,50.8,0,61,0,0,40.0,38,2,5,21.07,206,0,244,12,2022
Pressley Harvin III,62973,P,PIT,1,4,4,4.29,40.5,45.5,,0,0,1,1,25,54.4,2,54,1,0,0.0,0,0,4,17.15,162,1,182,12,2022
Jamie Gillan,63303,P,NYG,1,4,4,4.8,38.25,48.25,,0,0,0,2,21,63.0,1,49,0,0,0.0,0,0,4,19.2,153,2,193,12,2022
Ryan Wright,77591,P,MIN,1,3,3,4.55,49.0,52.67,5.5,0,0,0,1,18,69.2,3,59,0,0,66.7,11,2,3,13.65,147,0,158,12,2022
Arryn Siposs,82019,P,PHI,1,1,1,4.0,52.0,52.0,,0,0,0,0,24,60.0,1,52,1,0,0.0,0,0,1,4.0,52,0,52,12,2022
Jake Camarda,82636,P,TB,1,9,9,3.99,36.67,47.22,15.0,0,0,2,1,30,48.0,1,63,0,0,55.6,75,5,9,35.9,330,1,425,12,2022
Thomas Morstead,5088,P,MIA,1,4,4,3.89,43.0,51.5,17.0,0,0,2,0,17,61.1,0,63,0,0,50.0,34,2,4,15.54,172,0,206,13,2022
Bryan Anger,7072,P,DAL,1,4,4,4.55,43.5,49.5,4.0,0,0,0,2,9,64.3,1,60,0,0,25.0,4,1,4,18.18,174,1,198,13,2022
Sam Martin,7947,P,BUF,1,3,3,3.91,38.67,45.33,0.0,0,0,0,1,4,56.5,1,54,0,0,33.3,0,1,3,11.73,116,1,136,13,2022
Tress Way,8358,P,WAS,1,6,6,4.09,41.17,44.17,6.0,0,0,0,2,32,55.0,4,53,1,0,50.0,18,3,6,24.52,247,0,265,13,2022
Pat O'Donnell,8826,P,GB,1,3,3,4.33,38.67,44.67,18.0,0,0,0,2,12,58.7,0,52,0,0,33.3,18,1,3,13.0,116,0,134,13,2022
Michael Palardy,9277,P,NE,1,6,6,4.37,41.17,41.83,2.0,0,0,1,3,19,56.9,2,50,0,0,33.3,4,2,6,26.22,247,0,251,13,2022
Bradley Pinion,9598,P,ATL,1,3,3,4.27,45.0,45.33,0.5,0,0,0,1,2,57.4,3,54,0,0,66.7,1,2,3,12.82,135,0,136,13,2022
Riley Dixon,10862,P,LA,1,3,3,4.17,54.67,54.67,,0,0,2,1,26,64.4,2,60,0,0,0.0,0,0,3,12.5,164,0,164,13,2022
Matt Haack,12212,P,IND,1,3,3,3.85,39.67,39.67,,0,0,0,3,14,57.2,1,40,0,0,0.0,0,0,3,11.54,119,0,119,13,2022
Cameron Johnston,12255,P,HST,1,7,7,4.15,35.43,50.57,28.7,0,0,1,1,13,57.3,3,64,1,0,42.9,86,3,7,29.07,248,1,354,13,2022
Corey Bojorquez,27626,P,CLV,1,6,6,4.67,44.83,51.83,14.0,0,0,2,1,8,79.8,4,67,0,0,50.0,42,3,6,28.04,269,0,311,13,2022
Logan Cooke,29214,P,JAX,1,3,3,4.09,39.0,45.67,10.0,0,0,0,0,15,60.3,1,54,1,0,66.7,20,2,3,12.28,117,0,137,13,2022
Tommy Townsend,33007,P,KC,1,1,1,4.85,45.0,55.0,10.0,0,0,0,0,16,60.0,0,55,0,0,100.0,10,1,1,4.85,45,0,55,13,2022
Michael Dickson,35381,P,SEA,1,2,2,3.78,53.0,57.0,4.0,0,0,0,0,29,59.9,0,62,0,0,100.0,8,2,2,7.55,106,0,114,13,2022
A.J. Cole III,36038,P,LV,1,4,4,4.18,34.5,45.25,23.0,0,0,1,1,23,64.7,2,60,0,0,25.0,23,1,4,16.72,138,1,181,13,2022
J.K. Scott,38809,P,LAC,1,3,3,4.72,45.67,45.67,,0,0,0,2,27,62.9,2,48,1,0,0.0,0,0,3,14.15,137,0,137,13,2022
Corliss Waitman,39620,P,DEN,1,7,7,3.95,40.71,41.14,3.0,0,0,3,3,10,46.4,2,46,0,0,14.3,3,1,7,27.68,285,0,288,13,2022
Mitch Wishnowsky,44663,P,SF,1,4,4,4.14,39.25,44.5,10.5,0,0,1,0,28,66.0,2,56,1,0,50.0,21,2,4,16.57,157,0,178,13,2022
Braden Mann,44664,P,NYJ,1,2,2,4.88,40.5,40.5,,0,0,0,1,22,60.6,1,44,1,0,0.0,0,0,2,9.76,81,0,81,13,2022
Drue Chrisman,44787,P,CIN,1,1,1,3.63,40.0,40.0,,0,0,0,1,7,60.0,1,40,0,0,0.0,0,0,1,3.63,40,0,40,13,2022
Blake Gillikin,45045,P,NO,1,6,6,4.11,40.33,43.67,10.0,0,0,3,1,20,61.7,3,62,0,0,33.3,20,2,6,24.63,242,0,262,13,2022
Ryan Stonehouse,52045,P,TEN,1,7,7,4.29,42.29,57.29,17.5,0,0,1,0,31,61.6,1,62,0,0,85.7,105,6,7,30.06,296,0,401,13,2022
Jordan Stout,57649,P,BLT,1,6,6,3.73,47.33,50.5,6.3,0,0,1,2,3,57.6,6,63,0,0,50.0,19,3,6,22.36,284,0,303,13,2022
Trenton Gill,60295,P,CHI,1,1,1,3.44,24.0,39.0,15.0,0,0,0,0,6,60.0,0,39,0,0,100.0,15,1,1,3.44,24,0,39,13,2022
Pressley Harvin III,62973,P,PIT,1,2,2,4.65,42.5,42.5,,0,0,1,1,25,59.8,1,47,0,0,0.0,0,0,2,9.3,85,0,85,13,2022
Jamie Gillan,63303,P,NYG,1,7,7,4.17,40.86,46.29,9.5,0,0,0,2,21,59.9,3,59,1,0,57.1,38,4,7,29.16,286,0,324,13,2022
Ryan Wright,77591,P,MIN,1,6,6,4.41,42.5,48.67,12.3,0,0,0,2,18,64.1,2,63,1,0,50.0,37,3,6,26.44,255,0,292,13,2022
Arryn Siposs,82019,P,PHI,1,5,5,4.17,34.6,43.0,10.5,0,0,0,1,24,48.4,1,48,0,0,80.0,42,4,5,20.87,173,0,215,13,2022
Jake Camarda,82636,P,TB,1,5,5,4.3,29.6,49.4,29.5,0,0,0,1,30,57.1,1,66,0,0,40.0,59,2,5,21.5,148,2,247,13,2022
Andy Lee,1906,P,ARZ,1,2,2,4.45,45.0,48.5,7.0,0,0,1,0,1,60.2,1,53,0,0,50.0,7,1,2,8.9,90,0,97,14,2022
Thomas Morstead,5088,P,MIA,1,7,7,4.47,43.43,46.71,11.5,0,0,1,4,17,56.9,5,55,0,0,28.6,23,2,7,31.29,304,0,327,14,2022
Bryan Anger,7072,P,DAL,1,3,3,4.22,40.33,52.33,12.0,0,0,0,0,9,65.7,0,62,0,0,100.0,36,3,3,12.65,121,0,157,14,2022
Johnny Hekker,7252,P,CAR,1,2,2,4.48,43.5,53.5,,0,0,0,1,5,59.7,0,67,0,0,0.0,0,0,2,8.96,87,1,107,14,2022
Sam Martin,7947,P,BUF,1,7,7,3.9,43.43,49.57,11.5,1,0,3,1,4,50.5,2,67,0,0,28.6,23,2,8,27.27,304,1,347,14,2022
Michael Palardy,9277,P,NE,1,6,6,4.18,32.67,42.17,8.5,0,0,0,1,19,57.5,2,49,1,0,33.3,17,2,6,25.08,196,2,253,14,2022
Riley Dixon,10862,P,LA,1,3,3,4.11,45.33,52.0,,0,0,0,0,26,60.9,1,65,2,0,0.0,0,0,3,12.32,136,1,156,14,2022
Jake Elliott,11908,K,PHI,1,1,1,4.26,35.0,35.0,,0,0,1,0,24,60.0,0,35,0,0,0.0,0,0,1,4.26,35,0,35,14,2022
Cameron Johnston,12255,P,HST,1,4,4,4.11,46.75,49.0,4.5,0,0,1,0,13,58.1,2,60,1,0,50.0,9,2,4,16.44,187,0,196,14,2022
Corey Bojorquez,27626,P,CLV,1,4,4,4.38,51.5,55.0,4.7,0,0,0,1,8,68.0,2,65,0,0,75.0,14,3,4,17.5,206,0,220,14,2022
Logan Cooke,29214,P,JAX,1,3,3,4.07,43.0,44.33,1.3,0,0,0,0,15,55.2,1,49,0,0,100.0,4,3,3,12.21,129,0,133,14,2022
Tommy Townsend,33007,P,KC,1,3,3,4.8,52.67,66.33,21.0,0,0,0,0,16,66.7,1,76,1,0,33.3,21,1,3,14.39,158,1,199,14,2022
Jack Fox,34735,P,DET,1,2,2,4.49,43.5,48.0,9.0,0,0,0,0,11,60.9,1,66,1,0,50.0,9,1,2,8.97,87,0,96,14,2022
Michael Dickson,35381,P,SEA,1,4,4,4.18,39.75,43.75,5.3,0,0,1,0,29,52.0,0,49,0,0,75.0,16,3,4,16.73,159,0,175,14,2022
A.J. Cole III,36038,P,LV,1,3,3,4.23,49.33,49.33,0.0,0,0,1,1,23,59.0,2,64,0,0,33.3,0,1,3,12.69,148,0,148,14,2022
J.K. Scott,38809,P,LAC,1,4,4,4.94,44.0,44.0,,0,0,0,4,27,62.5,0,55,0,0,0.0,0,0,4,19.74,176,0,176,14,2022
Corliss Waitman,39620,P,DEN,1,7,7,4.2,41.57,47.57,5.5,0,0,0,1,10,56.9,0,51,1,0,57.1,22,4,7,29.42,291,1,333,14,2022
Mitch Wishnowsky,44663,P,SF,1,3,3,4.17,37.67,44.67,10.5,0,0,1,0,28,62.6,1,62,0,0,66.7,21,2,3,12.5,113,0,134,14,2022
Braden Mann,44664,P,NYJ,1,7,7,4.06,35.57,44.43,14.0,0,0,2,1,22,59.5,3,51,0,0,42.9,42,3,7,28.43,249,1,311,14,2022
Drue Chrisman,44787,P,CIN,1,5,5,3.53,38.0,41.0,5.0,0,0,0,1,7,51.8,2,51,1,0,60.0,15,3,5,17.63,190,0,205,14,2022
Ryan Stonehouse,52045,P,TEN,1,3,3,4.44,43.33,50.0,6.7,0,0,0,0,31,58.0,0,53,0,0,100.0,20,3,3,13.31,130,0,150,14,2022
Jordan Stout,57649,P,BLT,1,3,3,3.9,41.33,41.33,0.0,0,0,0,1,3,55.7,1,46,0,0,66.7,0,2,3,11.71,124,0,124,14,2022
Pressley Harvin III,62973,P,PIT,1,3,3,4.33,27.33,37.0,9.0,0,0,1,0,25,60.7,0,48,0,0,33.3,9,1,3,13.0,82,1,111,14,2022
Jamie Gillan,63303,P,NYG,1,5,5,4.48,42.4,48.2,7.3,0,0,0,0,21,65.9,3,52,1,0,80.0,29,4,5,22.42,212,0,241,14,2022
Ryan Wright,77591,P,MIN,1,3,3,4.54,37.0,53.0,24.0,0,0,0,1,18,65.3,1,64,0,0,66.7,48,2,3,13.62,111,0,159,14,2022
Arryn Siposs,82019,P,PHI,1,0,0,0.0,0.0,0.0,,1,0,0,0,24,60.0,0,0,0,0,0.0,0,0,1,0.0,0,0,0,14,2022
Jake Camarda,82636,P,TB,1,3,3,4.63,38.0,52.33,14.3,0,0,0,0,30,65.8,0,61,0,0,100.0,43,3,3,13.89,114,0,157,14,2022
Andy Lee,1906,P,ARZ,1,6,6,4.12,46.0,49.83,5.8,0,0,1,1,1,62.2,2,59,0,0,66.7,23,4,6,24.72,276,0,299,15,2022
Brett Kern,4580,P,PHI,1,2,2,3.19,33.0,45.0,12.0,0,0,0,0,24,59.5,0,50,0,0,100.0,24,2,2,6.38,66,0,90,15,2022
Thomas Morstead,5088,P,MIA,1,4,4,3.96,41.75,41.75,0.0,0,0,2,1,17,59.2,3,59,0,0,25.0,0,1,4,15.85,167,0,167,15,2022
Bryan Anger,7072,P,DAL,1,4,4,4.21,43.0,46.25,13.0,0,0,1,2,9,60.3,2,52,0,0,25.0,13,1,4,16.84,172,0,185,15,2022
Johnny Hekker,7252,P,CAR,1,4,4,4.27,47.25,48.5,5.0,0,0,2,1,5,52.8,1,63,0,0,25.0,5,1,4,17.08,189,0,194,15,2022
Sam Martin,7947,P,BUF,1,5,5,4.4,43.0,43.0,,0,0,0,3,4,61.4,2,49,2,0,0.0,0,0,5,21.99,215,0,215,15,2022
Tress Way,8358,P,WAS,1,4,4,3.91,36.25,44.25,16.0,0,0,2,0,32,54.7,2,65,0,0,50.0,32,2,4,15.63,145,0,177,15,2022
Pat O'Donnell,8826,P,GB,1,1,1,4.22,29.0,37.0,8.0,0,0,0,0,12,60.0,1,37,0,0,100.0,8,1,1,4.22,29,0,37,15,2022
Michael Palardy,9277,P,NE,1,5,5,4.17,41.2,45.2,6.7,1,0,0,0,19,63.8,2,53,2,0,60.0,20,3,6,20.84,206,0,226,15,2022
Bradley Pinion,9598,P,ATL,1,5,5,4.44,41.4,41.6,0.5,0,0,0,3,2,67.7,3,46,0,0,40.0,1,2,5,22.21,207,0,208,15,2022
Riley Dixon,10862,P,LA,1,4,4,3.42,28.75,37.75,18.0,0,0,0,1,26,50.2,1,47,1,0,50.0,36,2,4,13.66,115,0,151,15,2022
Matt Haack,12212,P,IND,1,7,7,4.1,33.0,43.57,24.7,0,0,2,2,14,56.1,3,55,0,0,42.9,74,3,7,28.72,231,0,305,15,2022
Cameron Johnston,12255,P,HST,1,5,5,4.25,45.2,46.8,4.0,0,0,1,1,13,62.5,2,52,1,0,40.0,8,2,5,21.26,226,0,234,15,2022
Corey Bojorquez,27626,P,CLV,1,3,3,4.54,45.67,48.0,7.0,0,0,0,2,8,64.4,1,59,0,0,33.3,7,1,3,13.63,137,0,144,15,2022
Logan Cooke,29214,P,JAX,1,3,3,4.49,48.0,53.33,16.0,0,0,0,2,15,57.4,1,61,0,0,33.3,16,1,3,13.48,144,0,160,15,2022
Tommy Townsend,33007,P,KC,1,4,4,4.78,42.5,48.25,7.7,0,0,0,1,16,77.4,3,57,0,0,75.0,23,3,4,19.12,170,0,193,15,2022
Jack Fox,34735,P,DET,1,4,4,3.75,38.0,44.5,6.0,0,0,0,2,11,57.2,1,49,0,0,25.0,6,1,4,15.0,152,1,178,15,2022
