player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Jordan Stout,57649,P,BLT,1,2,2,4.51,33.5,47.5,8.0,0,0,0,0,3,60.6,0,53,0,0,50.0,8,1,2,9.02,67,1,95,6,2022
Trenton Gill,60295,P,CHI,1,4,4,4.34,37.5,46.25,11.7,0,0,0,1,6,57.8,1,54,0,0,75.0,35,3,4,17.37,150,0,185,6,2022
Pressley Harvin III,62973,P,PIT,1,5,5,3.86,41.4,44.2,4.7,0,0,1,0,25,49.8,2,53,1,0,60.0,14,3,5,19.28,207,0,221,6,2022
Jamie Gillan,63303,P,NYG,1,4,4,4.43,43.25,46.25,12.0,0,0,0,3,21,69.3,2,60,0,0,25.0,12,1,4,17.71,173,0,185,6,2022
Ryan Wright,77591,P,MIN,1,10,10,4.36,43.9,44.1,0.7,0,0,1,4,18,63.3,7,73,2,0,30.0,2,3,10,43.63,439,0,441,6,2022
Arryn Siposs,82019,P,PHI,1,4,4,4.18,37.75,46.75,12.0,0,0,0,0,24,58.1,2,59,1,0,75.0,36,3,4,16.71,151,0,187,6,2022
Jake Camarda,82636,P,TB,1,5,5,4.39,41.4,46.0,7.7,0,0,0,1,30,59.2,1,52,1,0,60.0,23,3,5,21.93,207,0,230,6,2022
Andy Lee,1906,P,ARZ,1,4,4,4.19,32.25,44.25,14.0,0,0,1,0,1,59.4,0,56,0,0,50.0,28,2,4,16.74,129,1,177,7,2022
Kevin Huber,5066,P,CIN,1,2,2,3.91,14.5,46.5,32.0,0,0,0,0,7,59.2,1,56,0,0,100.0,64,2,2,7.81,29,0,93,7,2022
Thomas Morstead,5088,P,MIA,1,6,6,4.42,39.5,42.67,6.3,0,0,0,3,17,65.0,4,53,0,0,50.0,19,3,6,26.49,237,0,256,7,2022
Bryan Anger,7072,P,DAL,1,5,5,4.52,42.0,48.6,13.0,0,0,0,3,9,64.5,0,56,0,0,20.0,13,1,5,22.59,210,1,243,7,2022
Johnny Hekker,7252,P,CAR,1,7,7,4.69,42.0,51.43,11.5,0,0,0,1,5,77.4,2,62,1,0,57.1,46,4,7,32.8,294,1,360,7,2022
Tress Way,8358,P,WAS,1,4,4,4.31,44.0,48.0,8.0,0,0,1,1,32,65.8,3,68,0,0,50.0,16,2,4,17.24,176,0,192,7,2022
Pat O'Donnell,8826,P,GB,1,5,5,4.03,40.0,41.6,4.0,0,0,1,1,12,57.4,2,55,1,0,40.0,8,2,5,20.15,200,0,208,7,2022
Bradley Pinion,9598,P,ATL,1,6,6,4.36,40.33,47.0,13.3,0,0,1,2,2,63.0,1,52,0,0,50.0,40,3,6,26.13,242,0,282,7,2022
Matt Haack,12212,P,IND,1,5,5,4.03,31.2,35.2,,0,0,2,1,14,51.1,1,60,1,0,0.0,0,0,5,20.13,156,1,176,7,2022
Cameron Johnston,12255,P,HST,1,1,1,4.58,52.0,55.0,3.0,0,0,0,0,13,60.0,1,55,0,0,100.0,3,1,1,4.58,52,0,55,7,2022
Corey Bojorquez,27626,P,CLV,1,3,3,4.44,35.67,57.67,46.0,0,0,1,0,8,65.4,1,76,0,0,33.3,46,1,3,13.31,107,1,173,7,2022
Logan Cooke,29214,P,JAX,1,2,2,4.0,52.0,53.0,2.0,0,0,0,1,15,60.2,0,57,0,0,50.0,2,1,2,7.99,104,0,106,7,2022
Tommy Townsend,33007,P,KC,1,1,1,4.54,33.0,33.0,,0,0,0,1,16,60.0,1,33,0,0,0.0,0,0,1,4.54,33,0,33,7,2022
Jake Bailey,33963,P,NE,1,4,4,3.3,31.75,40.0,11.0,0,0,1,0,19,47.7,0,47,0,0,75.0,33,3,4,13.19,127,0,160,7,2022
Jack Fox,34735,P,DET,1,3,3,4.32,19.33,48.0,33.0,0,0,0,0,11,58.7,0,54,0,0,66.7,66,2,3,12.97,58,1,144,7,2022
Michael Dickson,35381,P,SEA,1,1,1,4.83,46.0,46.0,,0,0,0,1,29,60.0,1,46,0,0,0.0,0,0,1,4.83,46,0,46,7,2022
A.J. Cole III,36038,P,LV,1,2,2,4.73,46.0,46.5,1.0,0,0,0,1,23,66.8,1,50,0,0,50.0,1,1,2,9.46,92,0,93,7,2022
J.K. Scott,38809,P,LAC,1,5,5,4.64,45.6,45.6,0.0,0,0,3,0,27,67.3,3,50,1,0,20.0,0,1,5,23.19,228,0,228,7,2022
Corliss Waitman,39620,P,DEN,1,6,6,4.44,40.0,40.0,,0,0,2,3,10,57.7,3,46,1,0,0.0,0,0,6,26.66,240,0,240,7,2022
Mitch Wishnowsky,44663,P,SF,1,1,1,3.37,29.0,29.0,0.0,0,0,0,0,28,60.0,1,29,0,0,100.0,0,1,1,3.37,29,0,29,7,2022
Braden Mann,44664,P,NYJ,1,8,8,4.68,47.0,54.75,2.0,0,0,1,1,22,80.9,2,72,2,0,12.5,2,1,8,37.43,376,3,438,7,2022
Blake Gillikin,45045,P,NO,1,2,2,3.87,47.0,47.0,,0,0,1,0,20,60.9,2,58,1,0,0.0,0,0,2,7.73,94,0,94,7,2022
Ryan Stonehouse,52045,P,TEN,1,3,3,3.98,39.0,54.67,15.7,0,0,0,0,31,58.6,0,58,0,0,100.0,47,3,3,11.95,117,0,164,7,2022
Jordan Stout,57649,P,BLT,1,3,3,4.22,49.0,60.33,7.0,0,0,0,0,3,64.4,1,69,0,0,66.7,14,2,3,12.66,147,1,181,7,2022
Trenton Gill,60295,P,CHI,1,2,2,4.36,34.5,40.5,6.0,0,0,0,0,6,60.2,1,46,0,0,100.0,12,2,2,8.71,69,0,81,7,2022
Pressley Harvin III,62973,P,PIT,1,6,6,4.65,41.67,41.83,1.0,0,0,0,4,25,64.2,2,57,1,0,16.7,1,1,6,27.9,250,0,251,7,2022
Jamie Gillan,63303,P,NYG,1,2,2,4.64,30.0,40.0,,0,0,1,0,21,61.3,0,46,0,0,0.0,0,0,2,9.28,60,1,80,7,2022
Jake Camarda,82636,P,TB,1,6,6,4.51,39.83,46.5,0.0,0,0,0,0,30,67.1,3,62,3,0,16.7,0,1,6,27.06,239,2,279,7,2022
Andy Lee,1906,P,ARZ,1,3,3,4.5,44.33,46.33,3.0,0,0,0,1,1,66.8,2,61,0,0,66.7,6,2,3,13.51,133,0,139,8,2022
Kevin Huber,5066,P,CIN,1,4,4,4.03,34.0,36.75,11.0,0,0,0,2,7,51.5,1,51,1,0,25.0,11,1,4,16.13,136,0,147,8,2022
Thomas Morstead,5088,P,MIA,1,1,1,4.48,34.0,38.0,4.0,0,0,0,0,17,60.0,1,38,0,0,100.0,4,1,1,4.48,34,0,38,8,2022
Bryan Anger,7072,P,DAL,1,2,2,4.92,56.5,71.0,9.0,0,0,0,0,9,61.2,0,83,0,0,50.0,9,1,2,9.83,113,1,142,8,2022
Johnny Hekker,7252,P,CAR,1,3,3,4.36,40.67,47.0,19.0,0,0,0,2,5,63.0,1,52,0,0,33.3,19,1,3,13.08,122,0,141,8,2022
Sam Martin,7947,P,BUF,1,2,2,4.29,35.0,36.5,3.0,0,0,0,1,4,59.4,1,44,0,0,50.0,3,1,2,8.58,70,0,73,8,2022
Tress Way,8358,P,WAS,1,6,6,4.64,45.83,49.0,9.5,0,0,0,4,32,65.3,4,65,0,0,33.3,19,2,6,27.84,275,0,294,8,2022
Pat O'Donnell,8826,P,GB,1,2,2,3.84,36.0,44.5,17.0,0,0,0,1,12,59.7,1,46,0,0,50.0,17,1,2,7.68,72,0,89,8,2022
Bradley Pinion,9598,P,ATL,1,4,4,4.6,41.0,52.5,11.5,0,0,0,0,2,67.7,2,60,0,0,100.0,46,4,4,18.39,164,0,210,8,2022
Riley Dixon,10862,P,LA,1,5,5,4.43,43.8,50.6,11.3,0,0,0,1,26,67.5,1,58,1,0,60.0,34,3,5,22.13,219,0,253,8,2022
Matt Haack,12212,P,IND,1,4,4,4.89,51.0,56.75,7.7,0,0,0,1,14,82.2,3,62,0,0,75.0,23,3,4,19.54,204,0,227,8,2022
Cameron Johnston,12255,P,HST,1,8,8,4.39,41.75,46.75,10.0,0,0,1,3,13,67.7,3,60,0,0,50.0,40,4,8,35.13,334,0,374,8,2022
Corey Bojorquez,27626,P,CLV,1,2,2,4.42,26.0,33.5,15.0,0,0,0,0,8,58.7,0,57,1,0,50.0,15,1,2,8.84,52,0,67,8,2022
Logan Cooke,29214,P,JAX,1,6,6,4.14,40.83,47.83,5.5,0,0,1,0,15,63.6,4,63,0,0,66.7,22,4,6,24.84,245,1,287,8,2022
Jake Bailey,33963,P,NE,1,4,4,4.21,35.75,40.75,,0,0,0,3,19,62.8,2,43,0,0,0.0,0,0,4,16.82,143,1,163,8,2022
Jack Fox,34735,P,DET,1,2,2,4.6,46.5,58.5,12.0,0,0,0,0,11,60.9,0,60,0,0,100.0,24,2,2,9.19,93,0,117,8,2022
Michael Dickson,35381,P,SEA,1,6,6,4.0,40.5,48.5,5.6,0,0,0,0,29,50.2,2,57,0,0,83.3,28,5,6,24.0,243,1,291,8,2022
A.J. Cole III,36038,P,LV,1,5,5,4.6,42.8,45.8,7.5,0,0,0,3,23,70.6,4,54,0,0,40.0,15,2,5,23.02,214,0,229,8,2022
Corliss Waitman,39620,P,DEN,1,6,6,4.59,46.83,51.0,6.3,0,0,0,2,10,63.6,1,54,0,0,66.7,25,4,6,27.53,281,0,306,8,2022
Mitch Wishnowsky,44663,P,SF,1,3,3,4.41,41.0,41.0,0.0,0,0,0,2,28,62.8,3,49,0,0,33.3,0,1,3,13.24,123,0,123,8,2022
Braden Mann,44664,P,NYJ,1,4,4,4.32,34.0,47.0,16.0,0,0,0,0,22,60.4,0,67,1,0,50.0,32,2,4,17.27,136,1,188,8,2022
