p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
sammartin_buf_2022_18,buf_2022_18,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,3,3,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
druechrisman_cin_2022_18,cin_2022_18,druechrisman_cin_2022,cin_2022,druechrisman,44787,p,cin,1,3,3,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
andylee_ari_2022_18,ari_2022_18,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,1,1,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brettkern_phi_2022_18,phi_2022_18,brettkern_phi_2022,phi_2022,brettkern,4580,p,phi,1,6,6,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
thomasmorstead_mia_2022_18,mia_2022_18,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,4,4,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
bryananger_dal_2022_18,dal_2022_18,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,3,3,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
johnnyhekker_car_2022_18,car_2022_18,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,5,5,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tressway_was_2022_18,was_2022_18,tressway_was_2022,was_2022,tressway,8358,p,was,1,2,2,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
patodonnell_gb_2022_18,gb_2022_18,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,2,2,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
michaelpalardy_ne_2022_18,ne_2022_18,michaelpalardy_ne_2022,ne_2022,michaelpalardy,9277,p,ne,1,5,5,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
bradleypinion_atl_2022_18,atl_2022_18,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,3,3,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
