team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
car_2022_2,2022,car,2,nyg,0.48,0.36,0.32,0.61,25.5,12.8,44.2,0.64
car_2022_4,2022,car,4,ari,0.22,0.28,0.36,0.2,-12.1,-28.0,3.7,0.49
car_2022_6,2022,car,6,lar,0.24,0.31,0.22,0.51,-17.9,-36.4,2.9,0.57
car_2022_8,2022,car,8,atl,0.41,0.44,0.44,0.54,-0.8,-47.2,38.9,0.51
car_2022_10,2022,car,10,atl,0.51,0.5,0.52,0.59,2.2,-14.6,23.9,0.63
car_2022_12,2022,car,12,den,0.63,0.55,0.87,0.43,10.7,18.1,-3.6,0.8
car_2022_14,2022,car,14,sea,0.55,0.47,0.5,0.59,21.1,7.6,63.2,0.58
car_2022_16,2022,car,16,det,0.61,0.72,0.93,0.75,-10.8,-33.4,53.5,0.44
car_2022_1,2022,car,1,cle,0.33,0.33,0.45,0.22,-2.7,14.2,-17.9,0.58
car_2022_3,2022,car,3,no,0.44,0.45,0.46,0.5,-11.4,-28.4,19.7,0.78
car_2022_5,2022,car,5,sf,0.35,0.43,0.42,0.55,-21.3,-27.1,-15.9,0.63
car_2022_7,2022,car,7,tb,0.7,0.72,0.76,0.7,10.6,3.6,26.9,0.48
car_2022_9,2022,car,9,cin,0.13,0.24,0.28,0.37,-44.5,-31.9,-53.1,0.83
car_2022_11,2022,car,11,bal,0.22,0.12,0.21,0.21,14.0,28.3,-0.2,0.66
car_2022_15,2022,car,15,pit,0.4,0.4,0.69,0.0,-14.4,-53.0,0.6,0.86
car_2022_17,2022,car,17,tb,0.46,0.56,0.78,0.28,-28.7,-47.1,-0.5,0.75
lar_2022_2,2022,lar,2,atl,0.4,0.48,0.52,0.53,10.4,-17.0,42.7,0.12
lar_2022_4,2022,lar,4,sf,0.4,0.38,0.44,0.41,-4.6,-32.9,28.4,0.72
lar_2022_6,2022,lar,6,car,0.63,0.48,0.6,0.5,33.5,53.4,12.5,0.71
lar_2022_8,2022,lar,8,sf,0.34,0.51,0.61,0.33,-33.8,-71.3,7.0,0.51
lar_2022_10,2022,lar,10,ari,0.31,0.39,0.45,0.45,-14.6,-18.4,-8.2,0.51
lar_2022_12,2022,lar,12,kc,0.33,0.24,0.25,0.36,5.9,-4.5,24.6,0.81
lar_2022_14,2022,lar,14,lv,0.53,0.44,0.56,0.29,23.5,49.4,9.5,0.6
lar_2022_16,2022,lar,16,den,0.83,0.73,0.91,0.62,20.4,28.1,10.1,0.8
lar_2022_1,2022,lar,1,buf,0.3,0.28,0.37,0.32,1.6,-25.3,61.6,0.57
lar_2022_3,2022,lar,3,ari,0.52,0.52,0.64,0.54,-2.0,-10.3,16.0,0.66
lar_2022_5,2022,lar,5,dal,0.45,0.41,0.48,0.31,25.8,94.7,-9.5,0.29
lar_2022_9,2022,lar,9,tb,0.29,0.28,0.4,0.24,6.9,-5.3,37.2,0.43
lar_2022_11,2022,lar,11,no,0.45,0.51,0.59,0.5,-19.7,-42.6,12.6,0.73
lar_2022_13,2022,lar,13,sea,0.47,0.47,0.38,0.67,-10.6,-22.5,12.8,0.81
lar_2022_15,2022,lar,15,gb,0.25,0.32,0.45,0.32,-13.3,-21.9,-5.5,0.46
lar_2022_17,2022,lar,17,lac,0.19,0.42,0.4,0.58,-56.2,-68.6,-43.9,0.62
tb_2022_2,2022,tb,2,no,0.52,0.33,0.51,0.19,46.4,65.0,7.6,0.59
tb_2022_4,2022,tb,4,kc,0.63,0.7,0.73,0.4,0.2,16.6,-20.6,0.39
tb_2022_6,2022,tb,6,pit,0.38,0.42,0.55,0.39,-1.0,-45.3,47.3,0.47
tb_2022_8,2022,tb,8,bal,0.44,0.59,0.66,0.55,-29.9,-27.4,-32.7,0.54
tb_2022_10,2022,tb,10,sea,0.59,0.58,0.74,0.48,5.2,-14.5,63.7,0.62
tb_2022_12,2022,tb,12,cle,0.44,0.46,0.58,0.39,3.3,8.0,-1.7,0.47
tb_2022_14,2022,tb,14,sf,0.17,0.35,0.41,0.37,-32.7,-64.6,-11.5,0.35
tb_2022_16,2022,tb,16,ari,0.37,0.37,0.47,0.35,1.8,14.5,-18.0,0.56
tb_2022_1,2022,tb,1,dal,0.69,0.49,0.51,0.58,53.0,70.8,13.3,0.56
tb_2022_3,2022,tb,3,gb,0.53,0.44,0.58,0.19,19.3,-0.6,50.2,0.65
