p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
jalenhurts_phi_2022_18,phi_2022_18,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
mitchelltrubisky_pit_2022_18,pit_2022_18,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
salvonahmed_mia_2022_18,mia_2022_18,salvonahmed_mia_2022,mia_2022,salvonahmed,57472,hb,mia,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
pierrestrongjr_ne_2022_18,ne_2022_18,pierrestrongjr_ne_2022,ne_2022,pierrestrongjr,66619,hb,ne,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
mattryan_ind_2022_18,ind_2022_18,mattryan_ind_2022,ind_2022,mattryan,4317,qb,ind,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
stevensims_pit_2022_18,pit_2022_18,stevensims_pit_2022,pit_2022,stevensims,48341,wr,pit,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
quezwatkins_phi_2022_18,phi_2022_18,quezwatkins_phi_2022,phi_2022,quezwatkins,61664,wr,phi,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cjham_min_2022_18,min_2022_18,cjham_min_2022,min_2022,cjham,11347,fb,min,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brettrypien_den_2022_18,den_2022_18,brettrypien_den_2022,den_2022,brettrypien,46487,qb,den,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
darryntonevans_chi_2022_18,chi_2022_18,darryntonevans_chi_2022,chi_2022,darryntonevans,40692,hb,chi,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
michaelpittmanjr_ind_2022_18,ind_2022_18,michaelpittmanjr_ind_2022,ind_2022,michaelpittmanjr,29049,wr,ind,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
devineozigbo_den_2022_18,den_2022_18,devineozigbo_den_2022,den_2022,devineozigbo,45903,hb,den,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
deventhompkins_tb_2022_18,tb_2022_18,deventhompkins_tb_2022,tb_2022,deventhompkins,84480,wr,tb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ashtondulin_ind_2022_18,ind_2022_18,ashtondulin_ind_2022,ind_2022,ashtondulin,91479,wr,ind,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
feleipefranks_atl_2022_18,atl_2022_18,feleipefranks_atl_2022,atl_2022,feleipefranks,40217,qb,atl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
alecingold_mia_2022_18,mia_2022_18,alecingold_mia_2022,mia_2022,alecingold,34934,fb,mia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
diontaejohnson_pit_2022_18,pit_2022_18,diontaejohnson_pit_2022,pit_2022,diontaejohnson,33441,wr,pit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
travishomer_sea_2022_18,sea_2022_18,travishomer_sea_2022,sea_2022,travishomer,45859,hb,sea,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
justicehill_bal_2022_18,bal_2022_18,justicehill_bal_2022,bal_2022,justicehill,45865,hb,bal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
andrewbeck_den_2022_18,den_2022_18,andrewbeck_den_2022,den_2022,andrewbeck,47121,fb,den,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jakobimeyers_ne_2022_18,ne_2022_18,jakobimeyers_ne_2022,ne_2022,jakobimeyers,47468,wr,ne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
patrickricard_bal_2022_18,bal_2022_18,patrickricard_bal_2022,bal_2022,patrickricard,48862,fb,bal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
deandrecarter_lac_2022_18,lac_2022_18,deandrecarter_lac_2022,lac_2022,deandrecarter,9859,wr,lac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
stefondiggs_buf_2022_18,buf_2022_18,stefondiggs_buf_2022,buf_2022,stefondiggs,9579,wr,buf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ceedeelamb_dal_2022_18,dal_2022_18,ceedeelamb_dal_2022,dal_2022,ceedeelamb,61570,wr,dal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jalenreagor_min_2022_18,min_2022_18,jalenreagor_min_2022,min_2022,jalenreagor,61697,wr,min,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tutuatwell_lar_2022_18,lar_2022_18,tutuatwell_lar_2022,lar_2022,tutuatwell,77965,wr,lar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
