Player,Team,Pos,Injury,Status,Est. Return
Andrew Adams,TEN,S,Knee,IR,Subscribers Only
Jamal Adams,SEA,S,Knee,IR,Subscribers Only
Rodney Adams,NYJ,WR,Illness,NFI-R,Subscribers Only
Paulson Adebo,NO,CB,Hamstring,Out,Subscribers Only
Ramiz Ahmed,FA,K,Groin,Questionable,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Isaac Alarcon,FA,OT,Ankle,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Maurice Alexander,FA,WR,Ankle,Questionable,Subscribers Only
Brian Allen,LAR,C,Calf,Out,Subscribers Only
Christopher Allen,DEN,LB,Foot,IR,Subscribers Only
Dakota Allen,DEN,LB,Hamstring,IR,Subscribers Only
Jonathan Allen,WAS,DT,Knee,Questionable,Subscribers Only
Josh Allen,BUF,QB,Ankle,Questionable,Subscribers Only
Marcus Allen,PIT,LB,Biceps,IR,Subscribers Only
Zach Allen,ARI,DE,Hand,Questionable,Subscribers Only
Tremayne Anchrum,LAR,OT,Lower Leg,IR,Subscribers Only
Calvin Anderson,DEN,OT,Ankle,Questionable,Subscribers Only
Darius Anderson,HOU,RB,Knee,IR,Subscribers Only
Robbie Anderson,ARI,WR,Back,Questionable,Subscribers Only
Tycen Anderson,CIN,S,Hamstring,IR,Subscribers Only
Eli Ankou,FA,DT,Undisclosed,Out,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Andre Anthony,FA,LB,Undisclosed,Out,Subscribers Only
Eli Apple,CIN,CB,Neck,Questionable,Subscribers Only
Jalyn Armour-Davis,BAL,CB,Hip,IR,Subscribers Only
Arik Armstead,SF,DE,Foot,Questionable,Subscribers Only
Terron Armstead,MIA,OT,Toe,Questionable,Subscribers Only
Brian Asamoah,MIN,LB,Knee,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Calvin Austin,PIT,WR,Foot,IR,Subscribers Only
Anthony Averett,LV,CB,Toe,IR,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Genard Avery,TB,LB,Abdomen,IR,Subscribers Only
Kayode Awosika,DET,OG,Ankle,Questionable,Subscribers Only
Chidobe Awuzie,CIN,CB,Knee - ACL,IR,Subscribers Only
Jake Bailey,NE,P,Back,IR-R,Subscribers Only
Budda Baker,ARI,S,Shoulder,IR,Subscribers Only
David Bakhtiari,GB,OT,Knee,Questionable,Subscribers Only
Chris Banjo,ARI,S,Illness,Questionable,Subscribers Only
Aaron Banks,SF,OG,Knee,Out,Subscribers Only
Derek Barnett,PHI,DE,Knee - ACL,IR,Subscribers Only
Shaquil Barrett,TB,LB,Achilles,IR,Subscribers Only
Ben Bartch,JAX,OG,Knee,IR,Subscribers Only
Rashod Bateman,BAL,WR,Foot,IR,Subscribers Only
Zack Baun,NO,LB,Ankle,IR,Subscribers Only
Nick Bawden,NYJ,FB,Undisclosed,IR,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Kelvin Beachum,ARI,OT,Knee,Questionable,Subscribers Only
Darrian Beavers,NYG,LB,Knee - ACL,IR,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Andrew Beck,DEN,TE,Elbow,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,FA,WR,Knee - ACL,Questionable,Subscribers Only
Mekhi Becton,NYJ,OT,Kneecap,IR,Subscribers Only
Greg Bell,DET,RB,Hamstring,IR,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Christian Benford,BUF,CB,Oblique,IR-R,Subscribers Only
Trinity Benson,DET,WR,Knee,IR,Subscribers Only
Jared Bernhardt,ATL,WR,Groin,IR-R,Subscribers Only
Taylor Bertolet,FA,K,Quadriceps,Out,Subscribers Only
Tyler Biadasz,DAL,C,Ankle,Questionable,Subscribers Only
Vince Biegel,BAL,LB,Achilles,IR,Subscribers Only
Angelo Blackson,CHI,DE,Illness,Questionable,Subscribers Only
Josh Blackwell,CHI,CB,Undisclosed,IR,Subscribers Only
Rodrigo Blankenship,FA,K,Undisclosed,Questionable,Subscribers Only
Joey Blount,SEA,S,Kneecap,IR,Subscribers Only
C.J. Board,TEN,WR,Ribs,IR,Subscribers Only
Slade Bolden,FA,WR,Undisclosed,Questionable,Subscribers Only
Garett Bolles,DEN,OT,Leg,IR,Subscribers Only
Devante Bond,DAL,LB,Knee,IR,Subscribers Only
Mike Boone,DEN,RB,Ankle,IR,Subscribers Only
Andrew Booth,MIN,CB,Knee - Meniscus,IR,Subscribers Only
Jon Bostic,WAS,LB,Pectoral,IR,Subscribers Only
Garrett Bradbury,MIN,C,Back,Doubtful,Subscribers Only
Ben Braden,FA,OG,Undisclosed,Questionable,Subscribers Only
Shaun Bradley,PHI,LB,Wrist,Questionable,Subscribers Only
Blake Brandel,MIN,OT,Knee - MCL,IR,Subscribers Only
Aaron Brewer,ARI,C,Pectoral,IR,Subscribers Only
Teddy Bridgewater,MIA,QB,Finger,Questionable,Subscribers Only
Beau Brinkley,ATL,C,Undisclosed,IR,Subscribers Only
Justin Britt,HOU,C,Personal,NFI-R,Subscribers Only
Gabe Brkic,FA,K,Hamstring,Questionable,Subscribers Only
Michael Brockers,DET,DT,Ankle,Questionable,Subscribers Only
Jordyn Brooks,SEA,LB,Knee - ACL,IR,Subscribers Only
Anthony Brown,DAL,CB,Achilles,IR,Subscribers Only
Ben Brown,CIN,C,Biceps,IR,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Duane Brown,NYJ,OT,Shoulder,Questionable,Subscribers Only
Evan Brown,DET,OG,Ankle,Questionable,Subscribers Only
Jayon Brown,LV,LB,Hand,IR,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Logan Bruss,LAR,OG,Knee - ACL + MCL,IR,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
Myles Bryant,NE,CB,Shoulder,Questionable,Subscribers Only
Bryan Bulaga,FA,OT,Back,Questionable,Subscribers Only
Jonathan Bullard,MIN,DE,Biceps,IR-R,Subscribers Only
Ian Bunting,DAL,TE,Neck,IR,Subscribers Only
Treylon Burks,TEN,WR,Groin,Questionable,Subscribers Only
Ben Burr-Kirven,SEA,LB,Knee - ACL,PUP-R,Subscribers Only
Harrison Butker,KC,K,Back,Questionable,Subscribers Only
Adam Butler,FA,DE,Undisclosed,Questionable,Subscribers Only
Darien Butler,LV,LB,Concussion,Out,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Jason Cabinda,DET,FB,Knee,Questionable,Subscribers Only
Jalen Camp,FA,WR,Oblique,Out,Subscribers Only
Calais Campbell,BAL,DE,Knee,Questionable,Subscribers Only
Chance Campbell,TEN,LB,Knee,IR,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Marcus Cannon,NE,OT,Concussion,IR,Subscribers Only
Trenton Cannon,TEN,RB,Knee,IR,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Joe Cardona,NE,C,Foot,IR,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Cethan Carter,MIA,TE,Concussion,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Tariq Castro-Fields,WAS,CB,Knee,IR-R,Subscribers Only
Quintez Cephus,DET,WR,Foot,IR,Subscribers Only
Saahdiq Charles,WAS,OT,Concussion,Questionable,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Bradley Chubb,MIA,LB,Ankle,Questionable,Subscribers Only
Lewis Cine,MIN,S,Lower Leg,IR,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Tarik Cohen,FA,RB,Achilles,Out,Subscribers Only
Dylan Cole,TEN,LB,Ankle,Questionable,Subscribers Only
Alex Collins,FA,RB,Abdomen,Questionable,Subscribers Only
La'el Collins,CIN,OT,Knee - ACL + MCL,IR,Subscribers Only
Nico Collins,HOU,WR,Foot,IR,Subscribers Only
Zaven Collins,ARI,LB,Calf,Questionable,Subscribers Only
Tom Compton,DEN,OT,Back,IR,Subscribers Only
Jack Conklin,CLE,OT,Ankle,Questionable,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
James Conner,ARI,RB,Shin,Questionable,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Amari Cooper,CLE,WR,Hip,Questionable,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Matt Corral,CAR,QB,Foot,IR,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Christian Covington,LAC,DT,Pectoral,IR,Subscribers Only
Damarea Crockett,DEN,RB,Knee - ACL,IR,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Jamison Crowder,BUF,WR,Ankle,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Dane Cruikshank,CHI,S,Hamstring,IR,Subscribers Only
Zach Cunningham,TEN,LB,Elbow,IR,Subscribers Only
Kamren Curl,WAS,S,Ankle,Questionable,Subscribers Only
Lloyd Cushenberry,DEN,C,Groin,IR,Subscribers Only
Tae Daley,FA,S,Undisclosed,Questionable,Subscribers Only
DeeJay Dallas,SEA,RB,Ankle,Questionable,Subscribers Only
Ronald Darby,DEN,CB,Knee - ACL,IR,Subscribers Only
D.J. Davidson,NYG,DT,Knee - ACL,IR,Subscribers Only
Carlton Davis,TB,CB,Shoulder,Questionable,Subscribers Only
Cody Davis,NE,S,Knee,IR,Subscribers Only
Jamin Davis,WAS,LB,Knee,Questionable,Subscribers Only
Kalia Davis,SF,DT,Undisclosed,NFI-R,Subscribers Only
Nate Davis,TEN,OG,Ankle,IR,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Divine Deablo,LV,LB,Forearm,IR,Subscribers Only
Jamel Dean,TB,CB,Toe,Questionable,Subscribers Only
Dawson Deaton,CLE,C,Knee - ACL,IR,Subscribers Only
Josiah Deguara,GB,TE,Calf,Questionable,Subscribers Only
Will Dissly,SEA,TE,Knee,IR,Subscribers Only
Tyrel Dodson,BUF,LB,Knee,Questionable,Subscribers Only
Aaron Donald,LAR,DT,Ankle,Doubtful,Subscribers Only
Phillip Dorsett,HOU,WR,Hamstring,Questionable,Subscribers Only
Rico Dowdle,DAL,RB,Ankle,IR,Subscribers Only
Tommy Doyle,BUF,OT,Knee - ACL,IR,Subscribers Only
Dakota Dozier,CHI,OG,Knee - ACL,IR,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Greg Dulcich,DEN,TE,Hamstring,IR,Subscribers Only
Ashton Dulin,IND,WR,Concussion,Questionable,Subscribers Only
Isaiah Dunn,SEA,CB,Hamstring,IR-R,Subscribers Only
Michael Dunn,CLE,OG,Back,IR,Subscribers Only
Bud Dupree,TEN,LB,Pectoral,IR,Subscribers Only
Yasir Durant,FA,OT,Undisclosed,Out,Subscribers Only
Devin Duvernay,BAL,WR,Foot,IR,Subscribers Only
Laurent Duvernay-Tardif,NYJ,OG,Knee,Questionable,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Brandin Echols,NYJ,CB,Quadriceps,Questionable,Subscribers Only
Chuma Edoga,ATL,OG,Knee,IR,Subscribers Only
David Edwards,LAR,OG,Concussion,IR,Subscribers Only
Mike Edwards,TB,S,Hamstring,Questionable,Subscribers Only
Clyde Edwards-Helaire,KC,RB,Ankle,IR,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Pat Elflein,CAR,C,Hip,IR,Subscribers Only
Ben Ellefson,MIN,TE,Groin,IR,Subscribers Only
DeShon Elliott,DET,S,Shoulder,Questionable,Subscribers Only
Alex Ellis,FA,TE,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Emeka Emezie,FA,WR,Undisclosed,Out,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Zach Ertz,ARI,TE,Knee - ACL + MCL,IR,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Dee Eskridge,SEA,WR,Hand,IR,Subscribers Only
Drew Estrada,FA,WR,Achilles,Out,Subscribers Only
Akayleb Evans,MIN,CB,Concussion,IR,Subscribers Only
Justin Evans,NO,S,Shoulder,Questionable,Subscribers Only
Obinna Eze,FA,OT,Undisclosed,Out,Subscribers Only
Joshua Ezeudu,NYG,OG,Neck,IR,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
Brandon Facyson,IND,CB,Concussion,Questionable,Subscribers Only
George Fant,NYJ,OT,Knee,Questionable,Subscribers Only
Noah Fant,SEA,TE,Knee,Questionable,Subscribers Only
Caleb Farley,TEN,CB,Back,IR,Subscribers Only
Matt Farniok,DAL,C,Hamstring,IR-R,Subscribers Only
Folorunso Fatukasi,JAX,DT,Ankle,Questionable,Subscribers Only
Simi Fehoko,DAL,WR,Shoulder,IR,Subscribers Only
Jon Feliciano,NYG,C,Back,Questionable,Subscribers Only
Justin Fields,CHI,QB,Hip,Out,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
Eric Fisher,MIA,OT,Calf,IR,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR-R,Subscribers Only
Minkah Fitzpatrick,PIT,S,Ankle,Questionable,Subscribers Only
Trey Flowers,MIA,LB,Foot,IR,Subscribers Only
Nick Foles,IND,QB,Ribs,Out,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Poona Ford,SEA,DT,Calf,Questionable,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Jody Fortson,KC,TE,Elbow,IR,Subscribers Only
Leki Fotu,ARI,DT,Shoulder,Questionable,Subscribers Only
Mitchell Fraboni,DEN,C,Finger,IR,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Feleipe Franks,ATL,TE,Concussion,Questionable,Subscribers Only
Jordan Franks,FA,TE,Hand,Out,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Kristian Fulton,TEN,CB,Groin,Questionable,Subscribers Only
Tipa Galeai,FA,LB,Hamstring,Questionable,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
C.J. Gardner-Johnson,PHI,S,Abdomen,IR-R,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Jimmy Garoppolo,SF,QB,Foot,Out,Subscribers Only
Rashan Gary,GB,LB,Knee - ACL,IR,Subscribers Only
Myles Gaskin,MIA,RB,Illness,IR,Subscribers Only
Joe Gaziano,LAC,DE,Undisclosed,IR,Subscribers Only
Nathan Gerry,WAS,LB,Illness,Questionable,Subscribers Only
Jake Gervase,LAR,LB,Ankle,IR,Subscribers Only
Antonio Gibson,WAS,RB,Knee,IR,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Cullen Gillaspia,SEA,LB,Knee,IR,Subscribers Only
Stephon Gilmore,IND,CB,Wrist,Questionable,Subscribers Only
Kevin Givens,SF,DT,Knee - MCL,Questionable,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Davon Godchaux,NE,DT,Illness,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Marquise Goodwin,SEA,WR,Shoulder,IR,Subscribers Only
Kyler Gordon,CHI,CB,Groin,Questionable,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Ta'Quon Graham,ATL,DE,Knee - MCL,IR,Subscribers Only
Kylen Granson,IND,TE,Ankle,Questionable,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Dre Greenlaw,SF,LB,Back,Questionable,Subscribers Only
Randy Gregory,DEN,LB,Knee,IR,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Shaquill Griffin,JAX,CB,Back,IR,Subscribers Only
Jonas Griffith,DEN,LB,Ankle,IR,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Porter Gustin,FA,LB,Undisclosed,Out,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,IR,Subscribers Only
Joe Haeg,CLE,OT,Concussion,IR,Subscribers Only
Nate Hairston,FA,CB,Undisclosed,Out,Subscribers Only
Grant Haley,LAR,CB,Knee - ACL,IR,Subscribers Only
Breece Hall,NYJ,RB,Knee - ACL,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Kemon Hall,LAC,CB,Hamstring,IR,Subscribers Only
Antonio Hamilton,ARI,CB,Hip,Questionable,Subscribers Only
DaeSean Hamilton,FA,WR,Undisclosed,Questionable,Subscribers Only
KJ Hamler,DEN,WR,Hamstring,IR,Subscribers Only
Damar Hamlin,BUF,S,Undisclosed,Out,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Da'Shawn Hand,TEN,DT,Quadriceps,IR,Subscribers Only
Johnathan Hankins,DAL,DT,Pectoral,IR,Subscribers Only
Jake Hanson,GB,C,Biceps,IR,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Mecole Hardman,KC,WR,Pelvis,Questionable,Subscribers Only
Devin Harper,DAL,LB,Achilles,IR,Subscribers Only
Charles Harris,DET,DE,Groin,IR,Subscribers Only
Clark Harris,CIN,C,Biceps,IR,Subscribers Only
