p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year,plyr_number
brandonjohnson_den_2022_18,den_2022_18,brandonjohnson_den_2022,den_2022,brandonjohnson,40666,wr,den,1,13.3,1,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
travishomer_sea_2022_18,sea_2022_18,travishomer_sea_2022,sea_2022,travishomer,45859,hb,sea,1,1.5,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cameronbrate_tb_2022_18,tb_2022_18,cameronbrate_tb_2022,tb_2022,cameronbrate,9207,te,tb,1,9.5,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nsimbawebster_chi_2022_18,chi_2022_18,nsimbawebster_chi_2022,chi_2022,nsimbawebster,48107,wr,chi,1,7.0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
erictomlinson_den_2022_18,den_2022_18,erictomlinson_den_2022,den_2022,erictomlinson,9786,te,den,1,4.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
chrisconley_ten_2022_18,ten_2022_18,chrisconley_ten_2022,ten_2022,chrisconley,9509,wr,ten,1,5.7,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
bennettskowronek_lar_2022_18,lar_2022_18,bennettskowronek_lar_2022,lar_2022,bennettskowronek,27948,wr,lar,1,8.0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
maxxwilliams_ari_2022_18,ari_2022_18,maxxwilliams_ari_2022,ari_2022,maxxwilliams,9488,te,ari,1,4.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
kylengranson_ind_2022_18,ind_2022_18,kylengranson_ind_2022,ind_2022,kylengranson,40630,te,ind,1,16.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jamesproche_bal_2022_18,bal_2022_18,jamesproche_bal_2022,bal_2022,jamesproche,48037,wr,bal,1,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cedrickwilson_mia_2022_18,mia_2022_18,cedrickwilson_mia_2022,mia_2022,cedrickwilson,48170,wr,mia,1,15.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jalenreagor_min_2022_18,min_2022_18,jalenreagor_min_2022,min_2022,jalenreagor,61697,wr,min,1,22.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
daylenbaldwin_cle_2022_18,cle_2022_18,daylenbaldwin_cle_2022,cle_2022,daylenbaldwin,64309,wr,cle,1,12.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
dyamibrown_was_2022_18,was_2022_18,dyamibrown_was_2022,was_2022,dyamibrown,77986,wr,was,1,46.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ashtondulin_ind_2022_18,ind_2022_18,ashtondulin_ind_2022,ind_2022,ashtondulin,91479,wr,ind,1,10.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
quintinmorris_buf_2022_18,buf_2022_18,quintinmorris_buf_2022,buf_2022,quintinmorris,61182,te,buf,1,16.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
milesboykin_pit_2022_18,pit_2022_18,milesboykin_pit_2022,pit_2022,milesboykin,48209,wr,pit,1,0.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
gunnerolszewski_pit_2022_18,pit_2022_18,gunnerolszewski_pit_2022,pit_2022,gunnerolszewski,95015,wr,pit,1,3.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
braylonsanders_mia_2022_18,mia_2022_18,braylonsanders_mia_2022,mia_2022,braylonsanders,61457,wr,mia,1,27.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jackstoll_phi_2022_18,phi_2022_18,jackstoll_phi_2022,phi_2022,jackstoll,42058,te,phi,1,5.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
demetricfelton_cle_2022_18,cle_2022_18,demetricfelton_cle_2022,cle_2022,demetricfelton,40568,wr,cle,1,-1.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
teaganquitoriano_hou_2022_18,hou_2022_18,teaganquitoriano_hou_2022,hou_2022,teaganquitoriano,84036,te,hou,1,13.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nickvannett_nyg_2022_18,nyg_2022_18,nickvannett_nyg_2022,nyg_2022,nickvannett,10728,te,nyg,1,2.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
deventhompkins_tb_2022_18,tb_2022_18,deventhompkins_tb_2022,tb_2022,deventhompkins,84480,wr,tb,1,3.0,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tylerkroft_sf_2022_18,sf_2022_18,tylerkroft_sf_2022,sf_2022,tylerkroft,9518,te,sf,1,18.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
trestanebner_chi_2022_18,chi_2022_18,trestanebner_chi_2022,chi_2022,trestanebner,57159,hb,chi,1,-3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
joefortson_kc_2022_18,kc_2022_18,joefortson_kc_2022,kc_2022,joefortson,94384,te,kc,1,10.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
