p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
calaiscampbell_bal_2022_18,bal_2022_18,calaiscampbell_bal_2022,bal_2022,calaiscampbell,4364,di,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
michaelthomas_cin_2022_18,cin_2022_18,michaelthomas_cin_2022,cin_2022,michaelthomas,7279,s,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
harrisonsmith_min_2022_18,min_2022_18,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jamiecollinssr_ne_2022_18,ne_2022_18,jamiecollinssr_ne_2022,ne_2022,jamiecollinssr,7833,lb,ne,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jordanpoyer_buf_2022_18,buf_2022_18,jordanpoyer_buf_2022,buf_2022,jordanpoyer,8000,s,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
quandrediggs_sea_2022_18,sea_2022_18,quandrediggs_sea_2022,sea_2022,quandrediggs,9633,s,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
claytonfejedelem_mia_2022_18,mia_2022_18,claytonfejedelem_mia_2022,mia_2022,claytonfejedelem,10879,s,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brandinbryant_buf_2022_18,buf_2022_18,brandinbryant_buf_2022,buf_2022,brandinbryant,11280,di,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jarraddavis_det_2022_18,det_2022_18,jarraddavis_det_2022,det_2022,jarraddavis,11776,lb,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
raekwonmcmillan_ne_2022_18,ne_2022_18,raekwonmcmillan_ne_2022,ne_2022,raekwonmcmillan,11809,lb,ne,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
dukeriley_mia_2022_18,mia_2022_18,dukeriley_mia_2022,mia_2022,dukeriley,11830,lb,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
johnjohnsoniii_cle_2022_18,cle_2022_18,johnjohnsoniii_cle_2022,cle_2022,johnjohnsoniii,11847,s,cle,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tanzelsmart_nyj_2022_18,nyj_2022_18,tanzelsmart_nyj_2022,nyj_2022,tanzelsmart,11944,di,nyj,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tannervallejo_ari_2022_18,ari_2022_18,tannervallejo_ari_2022,ari_2022,tannervallejo,11950,lb,ari,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ifeadiodenigbo_ind_2022_18,ind_2022_18,ifeadiodenigbo_ind_2022,ind_2022,ifeadiodenigbo,11975,ed,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
dylancole_ten_2022_18,ten_2022_18,dylancole_ten_2022,ten_2022,dylancole,24304,lb,ten,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cjmoore_det_2022_18,det_2022_18,cjmoore_det_2022,det_2022,cjmoore,26617,s,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
deshonelliott_det_2022_18,det_2022_18,deshonelliott_det_2022,det_2022,deshonelliott,28854,s,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
akeemdavisgaither_cin_2022_18,cin_2022_18,akeemdavisgaither_cin_2022,cin_2022,akeemdavisgaither,34788,lb,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tjcarter_lar_2022_18,lar_2022_18,tjcarter_lar_2022,lar_2022,tjcarter,44081,di,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
boogiebasham_buf_2022_18,buf_2022_18,boogiebasham_buf_2022,buf_2022,boogiebasham,44320,ed,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
samhubbard_cin_2022_18,cin_2022_18,samhubbard_cin_2022,cin_2022,samhubbard,48457,ed,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
danielwise_was_2022_18,was_2022_18,danielwise_was_2022,was_2022,danielwise,48922,di,was,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jessiebatesiii_cin_2022_18,cin_2022_18,jessiebatesiii_cin_2022,cin_2022,jessiebatesiii,49162,s,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jordanwhitehead_nyj_2022_18,nyj_2022_18,jordanwhitehead_nyj_2022,nyj_2022,jordanwhitehead,49196,s,nyj,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ronnieharrison_cle_2022_18,cle_2022_18,ronnieharrison_cle_2022,cle_2022,ronnieharrison,49206,s,cle,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tremaineedmunds_buf_2022_18,buf_2022_18,tremaineedmunds_buf_2022,buf_2022,tremaineedmunds,50905,lb,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
terrelledmunds_pit_2022_18,pit_2022_18,terrelledmunds_pit_2022,pit_2022,terrelledmunds,51334,s,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
kamrencurl_was_2022_18,was_2022_18,kamrencurl_was_2022,was_2022,kamrencurl,55800,s,was,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
victordimukeje_ari_2022_18,ari_2022_18,victordimukeje_ari_2022,ari_2022,victordimukeje,56347,ed,ari,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jaytufele_cin_2022_18,cin_2022_18,jaytufele_cin_2022,cin_2022,jaytufele,56913,di,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jalenpitre_hou_2022_18,hou_2022_18,jalenpitre_hou_2022,hou_2022,jalenpitre,57737,s,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
matthewbutler_lv_2022_18,lv_2022_18,matthewbutler_lv_2022,lv_2022,matthewbutler,62931,di,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ejspeed_ind_2022_18,ind_2022_18,ejspeed_ind_2022,ind_2022,ejspeed,94351,lb,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
anthonypittman_det_2022_18,det_2022_18,anthonypittman_det_2022,det_2022,anthonypittman,94372,ed,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
daxtonhill_cin_2022_18,cin_2022_18,daxtonhill_cin_2022,cin_2022,daxtonhill,97519,s,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
davidojabo_bal_2022_18,bal_2022_18,davidojabo_bal_2022,bal_2022,davidojabo,101420,ed,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
vinnycurry_nyj_2022_18,nyj_2022_18,vinnycurry_nyj_2022,nyj_2022,vinnycurry,7061,ed,nyj,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
rodneymcleod_ind_2022_18,ind_2022_18,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tyrannmathieu_no_2022_18,no_2022_18,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
akeemspence_sf_2022_18,sf_2022_18,akeemspence_sf_2022,sf_2022,akeemspence,7882,di,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
daquanjones_buf_2022_18,buf_2022_18,daquanjones_buf_2022,buf_2022,daquanjones,8747,di,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
denicoautry_ten_2022_18,ten_2022_18,denicoautry_ten_2022,ten_2022,denicoautry,8982,ed,ten,1,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
dannyshelton_kc_2022_18,kc_2022_18,dannyshelton_kc_2022,kc_2022,dannyshelton,9445,di,kc,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ericrowe_mia_2022_18,mia_2022_18,ericrowe_mia_2022,mia_2022,ericrowe,9480,s,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jordanphillips_buf_2022_18,buf_2022_18,jordanphillips_buf_2022,buf_2022,jordanphillips,9485,di,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tyelerdavison_lac_2022_18,lac_2022_18,tyelerdavison_lac_2022,lac_2022,tyelerdavison,9587,di,lac,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
davidmayo_was_2022_18,was_2022_18,davidmayo_was_2022,was_2022,davidmayo,9602,lb,was,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
keanuneal_tb_2022_18,tb_2022_18,keanuneal_tb_2022,tb_2022,keanuneal,10651,s,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
shaqlawson_buf_2022_18,buf_2022_18,shaqlawson_buf_2022,buf_2022,shaqlawson,10653,ed,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
