p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
hronissgrasu_lv_2022_18,lv_2022_18,hronissgrasu_lv_2022,lv_2022,hronissgrasu,9504,g,lv,1,0,23,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
hjaltefroholdt_cle_2022_18,cle_2022_18,hjaltefroholdt_cle_2022,cle_2022,hjaltefroholdt,44959,ol,cle,1,1,8,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jordanmeredith_lv_2022_18,lv_2022_18,jordanmeredith_lv_2022,lv_2022,jordanmeredith,60235,g,lv,1,0,23,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
mitchmorse_buf_2022_18,buf_2022_18,mitchmorse_buf_2022,buf_2022,mitchmorse,9482,ol,buf,1,0,4,82.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
davidquessenberry_buf_2022_18,buf_2022_18,davidquessenberry_buf_2022,buf_2022,davidquessenberry,7957,t,buf,1,0,4,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
lukewattenberg_den_2022_18,den_2022_18,lukewattenberg_den_2022,den_2022,lukewattenberg,41024,g,den,1,0,10,82.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
alexleatherwood_chi_2022_18,chi_2022_18,alexleatherwood_chi_2022,chi_2022,alexleatherwood,58468,t,chi,1,0,6,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
codyford_ari_2022_18,ari_2022_18,codyford_ari_2022,ari_2022,codyford,39805,g,ari,1,0,1,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
lecitussmith_ari_2022_18,ari_2022_18,lecitussmith_ari_2022,ari_2022,lecitussmith,61069,g,ari,1,0,1,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
masonschreck_hou_2022_18,hou_2022_18,masonschreck_hou_2022,hou_2022,masonschreck,12007,te,hou,1,0,13,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
hunterhenry_ne_2022_18,ne_2022_18,hunterhenry_ne_2022,ne_2022,hunterhenry,10669,te,ne,1,0,19,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
markandrews_bal_2022_18,bal_2022_18,markandrews_bal_2022,bal_2022,markandrews,47436,te,bal,1,0,3,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
danfeeney_nyj_2022_18,nyj_2022_18,danfeeney_nyj_2022,nyj_2022,danfeeney,11826,g,nyj,1,0,22,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nickmuse_min_2022_18,min_2022_18,nickmuse_min_2022,min_2022,nickmuse,61079,te,min,1,0,18,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
lucasniang_kc_2022_18,kc_2022_18,lucasniang_kc_2022,kc_2022,lucasniang,47004,t,kc,1,0,16,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
harrisonbryant_cle_2022_18,cle_2022_18,harrisonbryant_cle_2022,cle_2022,harrisonbryant,26394,te,cle,1,0,8,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
krisboyd_min_2022_18,min_2022_18,krisboyd_min_2022,min_2022,krisboyd,34222,cb,min,1,0,18,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tyrephillips_nyg_2022_18,nyg_2022_18,tyrephillips_nyg_2022,nyg_2022,tyrephillips,59874,t,nyg,1,0,21,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tedkarras_cin_2022_18,cin_2022_18,tedkarras_cin_2022,cin_2022,tedkarras,10855,ol,cin,1,0,7,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cordellvolson_cin_2022_18,cin_2022_18,cordellvolson_cin_2022,cin_2022,cordellvolson,30614,g,cin,1,0,7,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
alexcappa_cin_2022_18,cin_2022_18,alexcappa_cin_2022,cin_2022,alexcappa,66578,g,cin,1,0,7,71.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jonahwilliams_cin_2022_18,cin_2022_18,jonahwilliams_cin_2022,cin_2022,jonahwilliams,41651,t,cin,1,0,7,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
hakeemadeniji_cin_2022_18,cin_2022_18,hakeemadeniji_cin_2022,cin_2022,hakeemadeniji,45419,t,cin,1,0,7,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brandonwalton_tb_2022_18,tb_2022_18,brandonwalton_tb_2022,tb_2022,brandonwalton,41533,t,tb,1,0,30,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nateherbig_nyj_2022_18,nyj_2022_18,nateherbig_nyj_2022,nyj_2022,nateherbig,28844,g,nyj,1,0,22,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
elijahwilkinson_atl_2022_18,atl_2022_18,elijahwilkinson_atl_2022,atl_2022,elijahwilkinson,46238,g,atl,1,0,2,78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
charlieheck_hou_2022_18,hou_2022_18,charlieheck_hou_2022,hou_2022,charlieheck,36501,t,hou,1,0,13,71.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
diondawkins_buf_2022_18,buf_2022_18,diondawkins_buf_2022,buf_2022,diondawkins,11818,t,buf,1,0,4,87.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
spencerbrown_buf_2022_18,buf_2022_18,spencerbrown_buf_2022,buf_2022,spencerbrown,42296,t,buf,1,0,4,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
gregvanroten_buf_2022_18,buf_2022_18,gregvanroten_buf_2022,buf_2022,gregvanroten,7746,g,buf,1,0,4,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
rodgersaffold_buf_2022_18,buf_2022_18,rodgersaffold_buf_2022,buf_2022,rodgersaffold,5558,g,buf,1,0,4,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ryanbates_buf_2022_18,buf_2022_18,ryanbates_buf_2022,buf_2022,ryanbates,28300,g,buf,1,0,4,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
odayaboushi_lar_2022_18,lar_2022_18,odayaboushi_lar_2022,lar_2022,odayaboushi,7923,g,lar,1,0,26,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
terronarmstead_mia_2022_18,mia_2022_18,terronarmstead_mia_2022,mia_2022,terronarmstead,7856,t,mia,1,0,17,75.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
robertjones_mia_2022_18,mia_2022_18,robertjones_mia_2022,mia_2022,robertjones,100786,g,mia,1,0,17,67.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jimmymorrissey_hou_2022_18,hou_2022_18,jimmymorrissey_hou_2022,hou_2022,jimmymorrissey,41626,g,hou,1,0,13,64.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
abrahamlucas_sea_2022_18,sea_2022_18,abrahamlucas_sea_2022,sea_2022,abrahamlucas,60218,t,sea,1,0,29,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nicholaspetitfrere_ten_2022_18,ten_2022_18,nicholaspetitfrere_ten_2022,ten_2022,nicholaspetitfrere,82003,t,ten,1,0,31,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
justinmccray_hou_2022_18,hou_2022_18,justinmccray_hou_2022,hou_2022,justinmccray,9234,g,hou,1,0,13,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
andruspeat_no_2022_18,no_2022_18,andruspeat_no_2022,no_2022,andruspeat,9446,g,no,1,0,20,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ikeboettger_buf_2022_18,buf_2022_18,ikeboettger_buf_2022,buf_2022,ikeboettger,46918,g,buf,1,0,4,78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
coleturner_was_2022_18,was_2022_18,coleturner_was_2022,was_2022,coleturner,84330,te,was,1,0,32,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
scottywashington_ne_2022_18,ne_2022_18,scottywashington_ne_2022,ne_2022,scottywashington,47964,te,ne,1,0,19,76.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jordanakins_hou_2022_18,hou_2022_18,jordanakins_hou_2022,hou_2022,jordanakins,47050,te,hou,1,1,13,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
bobbyhart_buf_2022_18,buf_2022_18,bobbyhart_buf_2022,buf_2022,bobbyhart,9659,g,buf,1,0,4,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
garrettgriffin_det_2022_18,det_2022_18,garrettgriffin_det_2022,det_2022,garrettgriffin,11439,te,det,1,0,11,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cjuzomah_nyj_2022_18,nyj_2022_18,cjuzomah_nyj_2022,nyj_2022,cjuzomah,9590,te,nyj,1,0,22,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
devinasiasi_cin_2022_18,cin_2022_18,devinasiasi_cin_2022,cin_2022,devinasiasi,40294,te,cin,1,0,7,72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
mitchellwilcox_cin_2022_18,cin_2022_18,mitchellwilcox_cin_2022,cin_2022,mitchellwilcox,47234,te,cin,1,0,7,70.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
stephenanderson_ari_2022_18,ari_2022_18,stephenanderson_ari_2022,ari_2022,stephenanderson,11160,te,ari,1,0,1,89.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nikolakalinic_ind_2022_18,ind_2022_18,nikolakalinic_ind_2022,ind_2022,nikolakalinic,156095,te,ind,1,0,14,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
dawsonknox_buf_2022_18,buf_2022_18,dawsonknox_buf_2022,buf_2022,dawsonknox,35883,te,buf,1,0,4,71.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jamesmitchell_det_2022_18,det_2022_18,jamesmitchell_det_2022,det_2022,jamesmitchell,77885,te,det,1,0,11,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jonnusmith_ne_2022_18,ne_2022_18,jonnusmith_ne_2022,ne_2022,jonnusmith,11855,te,ne,1,0,19,72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
teaganquitoriano_hou_2022_18,hou_2022_18,teaganquitoriano_hou_2022,hou_2022,teaganquitoriano,84036,te,hou,1,0,13,72.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
noahfant_sea_2022_18,sea_2022_18,noahfant_sea_2022,sea_2022,noahfant,42388,te,sea,1,0,29,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
yodnycajuste_ne_2022_18,ne_2022_18,yodnycajuste_ne_2022,ne_2022,yodnycajuste,46297,t,ne,1,0,19,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jackstoll_phi_2022_18,phi_2022_18,jackstoll_phi_2022,phi_2022,jackstoll,42058,te,phi,1,0,24,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
maxscharping_cin_2022_18,cin_2022_18,maxscharping_cin_2022,cin_2022,maxscharping,46961,g,cin,1,0,7,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
dallasgoedert_phi_2022_18,phi_2022_18,dallasgoedert_phi_2022,phi_2022,dallasgoedert,47272,te,phi,1,0,24,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brycenhopkins_lar_2022_18,lar_2022_18,brycenhopkins_lar_2022,lar_2022,brycenhopkins,47338,te,lar,1,0,26,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
trentscott_pit_2022_18,pit_2022_18,trentscott_pit_2022,pit_2022,trentscott,24481,t,pit,1,0,25,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
shanezylstra_det_2022_18,det_2022_18,shanezylstra_det_2022,det_2022,shanezylstra,143786,te,det,1,0,11,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
chaseallen_chi_2022_18,chi_2022_18,chaseallen_chi_2022,chi_2022,chaseallen,39988,te,chi,1,0,6,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cameronbrate_tb_2022_18,tb_2022_18,cameronbrate_tb_2022,tb_2022,cameronbrate,9207,te,tb,1,0,30,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
peytonhendershot_dal_2022_18,dal_2022_18,peytonhendershot_dal_2022,dal_2022,peytonhendershot,60915,te,dal,1,0,9,70.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
grantcalcaterra_phi_2022_18,phi_2022_18,grantcalcaterra_phi_2022,phi_2022,grantcalcaterra,60997,te,phi,1,0,24,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
loganthomas_was_2022_18,was_2022_18,loganthomas_was_2022,was_2022,loganthomas,8755,te,was,1,0,32,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
patfreiermuth_pit_2022_18,pit_2022_18,patfreiermuth_pit_2022,pit_2022,patfreiermuth,84085,te,pit,1,0,25,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tristanwirfs_tb_2022_18,tb_2022_18,tristanwirfs_tb_2022,tb_2022,tristanwirfs,64818,t,tb,1,0,30,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
shaqmason_tb_2022_18,tb_2022_18,shaqmason_tb_2022,tb_2022,shaqmason,9564,g,tb,1,0,30,69.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
roberthainsey_tb_2022_18,tb_2022_18,roberthainsey_tb_2022,tb_2022,roberthainsey,59980,ol,tb,1,0,30,82.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
donovansmith_tb_2022_18,tb_2022_18,donovansmith_tb_2022,tb_2022,donovansmith,9467,t,tb,1,0,30,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nickleverett_tb_2022_18,tb_2022_18,nickleverett_tb_2022,tb_2022,nickleverett,27699,g,tb,1,0,30,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
lakentomlinson_nyj_2022_18,nyj_2022_18,lakentomlinson_nyj_2022,nyj_2022,lakentomlinson,9461,g,nyj,1,0,22,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
scottquessenberry_hou_2022_18,hou_2022_18,scottquessenberry_hou_2022,hou_2022,scottquessenberry,23918,ol,hou,1,0,13,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tytushoward_hou_2022_18,hou_2022_18,tytushoward_hou_2022,hou_2022,tytushoward,25472,t,hou,1,0,13,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
kenyongreen_hou_2022_18,hou_2022_18,kenyongreen_hou_2022,hou_2022,kenyongreen,99052,g,hou,1,0,13,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
georgefant_nyj_2022_18,nyj_2022_18,georgefant_nyj_2022,nyj_2022,georgefant,11282,t,nyj,1,0,22,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
laremytunsil_hou_2022_18,hou_2022_18,laremytunsil_hou_2022,hou_2022,laremytunsil,10647,t,hou,1,0,13,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
laurentduvernaytardif_nyj_2022_18,nyj_2022_18,laurentduvernaytardif_nyj_2022,nyj_2022,laurentduvernaytardif,8834,g,nyj,1,0,22,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ajcann_hou_2022_18,hou_2022_18,ajcann_hou_2022,hou_2022,ajcann,9500,g,hou,1,0,13,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tylersmith_dal_2022_18,dal_2022_18,tylersmith_dal_2022,dal_2022,tylersmith,98385,t,dal,1,1,9,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
zackmartin_dal_2022_18,dal_2022_18,zackmartin_dal_2022,dal_2022,zackmartin,8651,g,dal,1,0,9,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
connormcgovern_dal_2022_18,dal_2022_18,connormcgovern_dal_2022,dal_2022,connormcgovern,41714,g,dal,1,0,9,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
tyronsmith_dal_2022_18,dal_2022_18,tyronsmith_dal_2022,dal_2022,tyronsmith,6161,t,dal,1,0,9,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
billyprice_ari_2022_18,ari_2022_18,billyprice_ari_2022,ari_2022,billyprice,46795,ol,ari,1,0,1,84.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
willhernandez_ari_2022_18,ari_2022_18,willhernandez_ari_2022,ari_2022,willhernandez,46180,g,ari,1,0,1,81.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
joshjones_ari_2022_18,ari_2022_18,joshjones_ari_2022,ari_2022,joshjones,26634,t,ari,1,0,1,76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
kelvinbeachum_ari_2022_18,ari_2022_18,kelvinbeachum_ari_2022,ari_2022,kelvinbeachum,7229,t,ari,1,0,1,80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
maxgarcia_ari_2022_18,ari_2022_18,maxgarcia_ari_2022,ari_2022,maxgarcia,9566,g,ari,1,0,1,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
quinnmeinerz_den_2022_18,den_2022_18,quinnmeinerz_den_2022,den_2022,quinnmeinerz,112915,g,den,1,0,10,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
roberthunt_mia_2022_18,mia_2022_18,roberthunt_mia_2022,mia_2022,roberthunt,46139,g,mia,1,0,17,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brandonshell_mia_2022_18,mia_2022_18,brandonshell_mia_2022,mia_2022,brandonshell,10792,t,mia,1,0,17,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
liameichenberg_mia_2022_18,mia_2022_18,liameichenberg_mia_2022,mia_2022,liameichenberg,41851,g,mia,1,0,17,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
grahamglasgow_den_2022_18,den_2022_18,grahamglasgow_den_2022,den_2022,grahamglasgow,10729,ol,den,1,0,10,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
billyturner_den_2022_18,den_2022_18,billyturner_den_2022,den_2022,billyturner,8702,t,den,1,0,10,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
connorwilliams_mia_2022_18,mia_2022_18,connorwilliams_mia_2022,mia_2022,connorwilliams,46216,ol,mia,1,0,17,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
