p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
dukeriley_mia_2022_18,mia_2022_18,dukeriley_mia_2022,mia_2022,dukeriley,11830,lb,mia,1,3,,3.0,0,0,0,0,0,0,0,0,0,18,2022,18
christianmatthew_ari_2022_18,ari_2022_18,christianmatthew_ari_2022,ari_2022,christianmatthew,156140,cb,ari,1,1,,1.0,0,0,0,0,0,0,0,0,0,18,2022,18
jaylonjones_chi_2022_18,chi_2022_18,jaylonjones_chi_2022,chi_2022,jaylonjones,49374,cb,chi,1,2,,2.0,0,0,0,0,0,0,0,0,0,18,2022,18
dukeshelley_min_2022_18,min_2022_18,dukeshelley_min_2022,min_2022,dukeshelley,49569,cb,min,1,1,,1.0,0,0,0,0,0,0,0,0,0,18,2022,18
michaeljackson_sea_2022_18,sea_2022_18,michaeljackson_sea_2022,sea_2022,michaeljackson,50437,cb,sea,1,2,,2.0,0,0,0,0,0,0,0,0,0,18,2022,18
xavienhoward_mia_2022_18,mia_2022_18,xavienhoward_mia_2022,mia_2022,xavienhoward,10672,cb,mia,1,6,,6.0,0,0,0,0,0,0,0,0,0,18,2022,18
sidneyjones_lv_2022_18,lv_2022_18,sidneyjones_lv_2022,lv_2022,sidneyjones,11798,cb,lv,1,1,,1.0,0,0,0,0,0,0,0,0,0,18,2022,18
codybarton_sea_2022_18,sea_2022_18,codybarton_sea_2022,sea_2022,codybarton,50727,lb,sea,1,2,,2.0,0,0,0,0,0,0,0,0,0,18,2022,18
kennethmurray_lac_2022_18,lac_2022_18,kennethmurray_lac_2022,lac_2022,kennethmurray,58099,lb,lac,1,1,,1.0,0,0,0,0,0,0,0,0,0,18,2022,18
ljariussneed_kc_2022_18,kc_2022_18,ljariussneed_kc_2022,kc_2022,ljariussneed,40588,cb,kc,1,15,15.0,15.0,0,0,0,0,0,0,0,0,0,18,2022,18
keiseannixon_gb_2022_18,gb_2022_18,keiseannixon_gb_2022,gb_2022,keiseannixon,56167,cb,gb,1,24,12.0,12.0,0,0,0,0,0,0,0,0,0,18,2022,18
alexsingleton_den_2022_18,den_2022_18,alexsingleton_den_2022,den_2022,alexsingleton,9994,lb,den,1,9,9.0,9.0,0,0,0,0,0,0,0,0,0,18,2022,18
daxtonhill_cin_2022_18,cin_2022_18,daxtonhill_cin_2022,cin_2022,daxtonhill,97519,s,cin,1,36,9.0,7.2,0,0,0,0,0,0,0,0,0,18,2022,18
ryanneal_sea_2022_18,sea_2022_18,ryanneal_sea_2022,sea_2022,ryanneal,49132,s,sea,1,9,9.0,4.5,0,0,0,0,0,0,0,0,0,18,2022,18
jakehansen_hou_2022_18,hou_2022_18,jakehansen_hou_2022,hou_2022,jakehansen,43645,lb,hou,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,18,2022,18
deedelaney_tb_2022_18,tb_2022_18,deedelaney_tb_2022,tb_2022,deedelaney,31078,cb,tb,1,21,7.0,7.0,0,0,0,0,0,0,0,0,0,18,2022,18
zairefranklin_ind_2022_18,ind_2022_18,zairefranklin_ind_2022,ind_2022,zairefranklin,49834,lb,ind,1,7,7.0,7.0,0,0,0,0,0,0,0,0,0,18,2022,18
vonnbell_cin_2022_18,cin_2022_18,vonnbell_cin_2022,cin_2022,vonnbell,10695,s,cin,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,18,2022,18
azeezalshaair_sf_2022_18,sf_2022_18,azeezalshaair_sf_2022,sf_2022,azeezalshaair,49792,lb,sf,1,8,4.0,4.0,0,0,0,0,0,0,0,0,0,18,2022,18
deshonelliott_det_2022_18,det_2022_18,deshonelliott_det_2022,det_2022,deshonelliott,28854,s,det,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,18,2022,18
jeromebaker_mia_2022_18,mia_2022_18,jeromebaker_mia_2022,mia_2022,jeromebaker,28091,lb,mia,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,18,2022,18
duronharmon_lv_2022_18,lv_2022_18,duronharmon_lv_2022,lv_2022,duronharmon,7872,s,lv,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,18,2022,18
justinbethel_mia_2022_18,mia_2022_18,justinbethel_mia_2022,mia_2022,justinbethel,7654,cb,mia,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,18,2022,18
nickmccloud_nyg_2022_18,nyg_2022_18,nickmccloud_nyg_2022,nyg_2022,nickmccloud,49535,cb,nyg,1,7,3.5,2.3,0,0,0,0,0,0,0,0,0,18,2022,18
loganryan_tb_2022_18,tb_2022_18,loganryan_tb_2022,tb_2022,loganryan,7864,s,tb,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,18,2022,18
williegayjr_kc_2022_18,kc_2022_18,williegayjr_kc_2022,kc_2022,williegayjr,57987,lb,kc,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,18,2022,18
tonyadams_nyj_2022_18,nyj_2022_18,tonyadams_nyj_2022,nyj_2022,tonyadams,55953,s,nyj,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,18,2022,18
