team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
car_2022_2,2022,car,2,nyg,0.5,0.39,0.34,0.66,0.68,0.55,0.69,0.64
car_2022_4,2022,car,4,ari,0.22,0.28,0.37,0.2,0.39,0.37,0.42,0.49
car_2022_6,2022,car,6,lar,0.25,0.34,0.24,0.56,0.31,0.34,0.35,0.57
car_2022_8,2022,car,8,atl,0.45,0.47,0.49,0.55,0.5,0.3,0.66,0.5
car_2022_10,2022,car,10,atl,0.56,0.52,0.58,0.6,0.55,0.47,0.57,0.64
car_2022_1,2022,car,1,cle,0.32,0.29,0.42,0.18,0.53,0.61,0.32,0.57
car_2022_3,2022,car,3,no,0.44,0.44,0.44,0.51,0.39,0.34,0.6,0.79
car_2022_5,2022,car,5,sf,0.33,0.42,0.44,0.5,0.28,0.36,0.26,0.64
car_2022_7,2022,car,7,tb,0.74,0.74,0.83,0.69,0.59,0.53,0.57,0.47
car_2022_9,2022,car,9,cin,0.13,0.26,0.32,0.36,0.08,0.31,0.01,0.82
car_2022_11,2022,car,11,bal,0.26,0.14,0.26,0.14,0.66,0.68,0.41,0.65
lar_2022_2,2022,lar,2,atl,0.44,0.5,0.56,0.54,0.6,0.46,0.68,0.11
lar_2022_4,2022,lar,4,sf,0.38,0.38,0.46,0.37,0.43,0.34,0.57,0.72
lar_2022_6,2022,lar,6,car,0.62,0.5,0.65,0.5,0.68,0.65,0.49,0.7
lar_2022_8,2022,lar,8,sf,0.33,0.51,0.64,0.32,0.18,0.15,0.42,0.5
lar_2022_10,2022,lar,10,ari,0.32,0.39,0.45,0.48,0.38,0.42,0.34,0.5
lar_2022_1,2022,lar,1,buf,0.31,0.3,0.39,0.33,0.49,0.37,0.82,0.58
lar_2022_3,2022,lar,3,ari,0.53,0.52,0.65,0.57,0.49,0.46,0.52,0.66
lar_2022_5,2022,lar,5,dal,0.49,0.47,0.56,0.27,0.68,0.87,0.36,0.28
lar_2022_9,2022,lar,9,tb,0.34,0.33,0.47,0.22,0.57,0.5,0.65,0.42
lar_2022_11,2022,lar,11,no,0.46,0.51,0.58,0.52,0.32,0.27,0.54,0.73
tb_2022_2,2022,tb,2,no,0.52,0.33,0.51,0.19,0.86,0.78,0.51,0.59
tb_2022_4,2022,tb,4,kc,0.65,0.7,0.76,0.39,0.51,0.6,0.27,0.38
tb_2022_6,2022,tb,6,pit,0.37,0.42,0.57,0.38,0.45,0.28,0.67,0.47
tb_2022_8,2022,tb,8,bal,0.5,0.62,0.71,0.52,0.3,0.42,0.19,0.53
tb_2022_10,2022,tb,10,sea,0.66,0.63,0.78,0.53,0.57,0.46,0.85,0.62
tb_2022_1,2022,tb,1,dal,0.7,0.52,0.58,0.56,0.89,0.79,0.52,0.56
tb_2022_3,2022,tb,3,gb,0.53,0.43,0.58,0.2,0.65,0.5,0.72,0.65
tb_2022_5,2022,tb,5,atl,0.6,0.54,0.62,0.51,0.64,0.64,0.45,0.59
tb_2022_7,2022,tb,7,car,0.24,0.42,0.55,0.32,0.1,0.11,0.31,0.63
tb_2022_9,2022,tb,9,lar,0.6,0.45,0.55,0.29,0.69,0.59,0.61,0.82
den_2022_2,2022,den,2,hou,0.49,0.44,0.49,0.53,0.62,0.64,0.34,0.54
den_2022_4,2022,den,4,lv,0.39,0.39,0.52,0.32,0.45,0.5,0.34,0.64
den_2022_6,2022,den,6,lac,0.43,0.43,0.53,0.37,0.56,0.57,0.35,0.47
den_2022_8,2022,den,8,jax,0.64,0.48,0.58,0.49,0.81,0.96,0.28,0.62
den_2022_10,2022,den,10,ten,0.33,0.35,0.48,0.35,0.49,0.4,0.69,0.5
den_2022_1,2022,den,1,sea,0.52,0.45,0.69,0.23,0.67,0.54,0.71,0.49
den_2022_3,2022,den,3,sf,0.56,0.38,0.44,0.4,0.84,0.76,0.55,0.61
den_2022_5,2022,den,5,ind,0.46,0.39,0.43,0.55,0.75,0.73,0.46,0.31
den_2022_7,2022,den,7,nyj,0.42,0.47,0.5,0.54,0.51,0.55,0.33,0.38
den_2022_11,2022,den,11,lv,0.25,0.43,0.57,0.34,0.28,0.27,0.41,0.25
ari_2022_2,2022,ari,2,lv,0.41,0.38,0.37,0.57,0.55,0.46,0.64,0.56
ari_2022_4,2022,ari,4,car,0.57,0.48,0.58,0.46,0.63,0.54,0.67,0.67
ari_2022_6,2022,ari,6,sea,0.31,0.26,0.32,0.34,0.62,0.59,0.47,0.47
ari_2022_8,2022,ari,8,min,0.39,0.45,0.56,0.31,0.39,0.49,0.18,0.57
ari_2022_10,2022,ari,10,lar,0.53,0.51,0.52,0.63,0.5,0.52,0.37,0.66
ari_2022_1,2022,ari,1,kc,0.27,0.37,0.48,0.25,0.27,0.3,0.46,0.59
ari_2022_3,2022,ari,3,lar,0.25,0.43,0.49,0.49,0.19,0.3,0.23,0.43
ari_2022_5,2022,ari,5,phi,0.53,0.54,0.68,0.42,0.53,0.51,0.44,0.48
ari_2022_7,2022,ari,7,no,0.42,0.47,0.59,0.45,0.44,0.4,0.6,0.49
ari_2022_9,2022,ari,9,sea,0.32,0.29,0.45,0.3,0.5,0.55,0.34,0.62
ari_2022_11,2022,ari,11,sf,0.11,0.3,0.38,0.3,0.04,0.14,0.19,0.67
