p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
kevinhuber_cin_2022_11,cin_2022_11,kevinhuber_cin_2022,cin_2022,kevinhuber,5066,p,cin,1,3,3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
thomasmorstead_mia_2022_11,mia_2022_11,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,1,1,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakebailey_ne_2022_11,ne_2022_11,jakebailey_ne_2022,ne_2022,jakebailey,33963,p,ne,1,7,7,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bradenmann_nyj_2022_11,nyj_2022_11,bradenmann_nyj_2022,nyj_2022,bradenmann,44664,p,nyj,1,3,3,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jordanstout_bal_2022_11,bal_2022_11,jordanstout_bal_2022,bal_2022,jordanstout,57649,p,bal,1,4,4,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
andylee_ari_2022_11,ari_2022_11,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,5,5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bryananger_dal_2022_11,dal_2022_11,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,5,5,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
johnnyhekker_car_2022_11,car_2022_11,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,5,5,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
sammartin_buf_2022_11,buf_2022_11,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,3,3,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tressway_was_2022_11,was_2022_11,tressway_was_2022,was_2022,tressway,8358,p,was,1,2,2,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
patodonnell_gb_2022_11,gb_2022_11,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,4,4,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bradleypinion_atl_2022_11,atl_2022_11,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,5,5,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rileydixon_lar_2022_11,lar_2022_11,rileydixon_lar_2022,lar_2022,rileydixon,10862,p,lar,1,5,5,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
matthaack_ind_2022_11,ind_2022_11,matthaack_ind_2022,ind_2022,matthaack,12212,p,ind,1,3,3,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
cameronjohnston_hou_2022_11,hou_2022_11,cameronjohnston_hou_2022,hou_2022,cameronjohnston,12255,p,hou,1,5,5,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
coreybojorquez_cle_2022_11,cle_2022_11,coreybojorquez_cle_2022,cle_2022,coreybojorquez,27626,p,cle,1,1,1,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
logancooke_jax_2022_11,jax_2022_11,logancooke_jax_2022,jax_2022,logancooke,29214,p,jax,1,6,6,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tommytownsend_kc_2022_11,kc_2022_11,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,2,2,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jackfox_det_2022_11,det_2022_11,jackfox_det_2022,det_2022,jackfox,34735,p,det,1,4,4,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
michaeldickson_sea_2022_11,sea_2022_11,michaeldickson_sea_2022,sea_2022,michaeldickson,35381,p,sea,1,5,5,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ajcoleiii_lv_2022_11,lv_2022_11,ajcoleiii_lv_2022,lv_2022,ajcoleiii,36038,p,lv,1,5,5,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jkscott_lac_2022_11,lac_2022_11,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,5,5,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
corlisswaitman_den_2022_11,den_2022_11,corlisswaitman_den_2022,den_2022,corlisswaitman,39620,p,den,1,9,9,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mitchwishnowsky_sf_2022_11,sf_2022_11,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,4,4,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
blakegillikin_no_2022_11,no_2022_11,blakegillikin_no_2022,no_2022,blakegillikin,45045,p,no,1,5,5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ryanstonehouse_ten_2022_11,ten_2022_11,ryanstonehouse_ten_2022,ten_2022,ryanstonehouse,52045,p,ten,1,8,8,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trentongill_chi_2022_11,chi_2022_11,trentongill_chi_2022,chi_2022,trentongill,60295,p,chi,1,3,3,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
pressleyharviniii_pit_2022_11,pit_2022_11,pressleyharviniii_pit_2022,pit_2022,pressleyharviniii,62973,p,pit,1,3,3,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamiegillan_nyg_2022_11,nyg_2022_11,jamiegillan_nyg_2022,nyg_2022,jamiegillan,63303,p,nyg,1,6,6,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ryanwright_min_2022_11,min_2022_11,ryanwright_min_2022,min_2022,ryanwright,77591,p,min,1,3,3,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
arrynsiposs_phi_2022_11,phi_2022_11,arrynsiposs_phi_2022,phi_2022,arrynsiposs,82019,p,phi,1,3,3,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakecamarda_tb_2022_11,tb_2022_11,jakecamarda_tb_2022,tb_2022,jakecamarda,82636,p,tb,1,2,2,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
