p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
andrewnorwell_was_2022_11,was_2022_11,andrewnorwell_was_2022,was_2022,andrewnorwell,9126,g,was,1,0,32,58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ikemekwonu_car_2022_11,car_2022_11,ikemekwonu_car_2022,car_2022,ikemekwonu,98286,t,car,1,1,5,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bradleybozeman_car_2022_11,car_2022_11,bradleybozeman_car_2022,car_2022,bradleybozeman,27934,ol,car,1,0,5,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bradychristensen_car_2022_11,car_2022_11,bradychristensen_car_2022,car_2022,bradychristensen,51985,g,car,1,0,5,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
taylormoton_car_2022_11,car_2022_11,taylormoton_car_2022,car_2022,taylormoton,11819,t,car,1,0,5,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
austincorbett_car_2022_11,car_2022_11,austincorbett_car_2022,car_2022,austincorbett,46290,g,car,1,0,5,66.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
andrewthomas_nyg_2022_11,nyg_2022_11,andrewthomas_nyg_2022,nyg_2022,andrewthomas,59701,t,nyg,1,0,21,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
joshuaezeudu_nyg_2022_11,nyg_2022_11,joshuaezeudu_nyg_2022,nyg_2022,joshuaezeudu,77355,g,nyg,1,0,21,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonfeliciano_nyg_2022_11,nyg_2022_11,jonfeliciano_nyg_2022,nyg_2022,jonfeliciano,9561,ol,nyg,1,0,21,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tyrephillips_nyg_2022_11,nyg_2022_11,tyrephillips_nyg_2022,nyg_2022,tyrephillips,59874,t,nyg,1,0,21,58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
markglowinski_nyg_2022_11,nyg_2022_11,markglowinski_nyg_2022,nyg_2022,markglowinski,9567,g,nyg,1,0,21,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
shaqmason_tb_2022_11,tb_2022_11,shaqmason_tb_2022,tb_2022,shaqmason,9564,g,tb,1,0,30,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
nickleverett_tb_2022_11,tb_2022_11,nickleverett_tb_2022,tb_2022,nickleverett,27699,g,tb,1,0,30,48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tristanwirfs_tb_2022_11,tb_2022_11,tristanwirfs_tb_2022,tb_2022,tristanwirfs,64818,t,tb,1,0,30,74.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
donovansmith_tb_2022_11,tb_2022_11,donovansmith_tb_2022,tb_2022,donovansmith,9467,t,tb,1,0,30,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
