p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
rakeemnunezroches_tb_2022_11,tb_2022_11,rakeemnunezroches_tb_2022,tb_2022,rakeemnunezroches,9650,di,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deshawnwilliams_den_2022_11,den_2022_11,deshawnwilliams_den_2022,den_2022,deshawnwilliams,9891,di,den,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
alexsingleton_den_2022_11,den_2022_11,alexsingleton_den_2022,den_2022,alexsingleton,9994,lb,den,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tymcgill_sf_2022_11,sf_2022_11,tymcgill_sf_2022,sf_2022,tymcgill,10156,di,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
efeobada_was_2022_11,was_2022_11,efeobada_was_2022,was_2022,efeobada,10235,ed,was,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deforestbuckner_ind_2022_11,ind_2022_11,deforestbuckner_ind_2022,ind_2022,deforestbuckner,10641,di,ind,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
leonardfloyd_lar_2022_11,lar_2022_11,leonardfloyd_lar_2022,lar_2022,leonardfloyd,10643,ed,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
shaqlawson_buf_2022_11,buf_2022_11,shaqlawson_buf_2022,buf_2022,shaqlawson,10653,ed,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kennyclark_gb_2022_11,gb_2022_11,kennyclark_gb_2022,gb_2022,kennyclark,10661,di,gb,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jaylonsmith_nyg_2022_11,nyg_2022_11,jaylonsmith_nyg_2022,nyg_2022,jaylonsmith,10668,lb,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chrisjones_kc_2022_11,kc_2022_11,chrisjones_kc_2022,kc_2022,chrisjones,10671,di,kc,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jihadward_nyg_2022_11,nyg_2022_11,jihadward_nyg_2022,nyg_2022,jihadward,10678,ed,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ashawnrobinson_lar_2022_11,lar_2022_11,ashawnrobinson_lar_2022,lar_2022,ashawnrobinson,10680,di,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jarranreed_gb_2022_11,gb_2022_11,jarranreed_gb_2022,gb_2022,jarranreed,10683,di,gb,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
adamgotsis_jax_2022_11,jax_2022_11,adamgotsis_jax_2022,jax_2022,adamgotsis,10697,di,jax,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kevinbyard_ten_2022_11,ten_2022_11,kevinbyard_ten_2022,ten_2022,kevinbyard,10698,s,ten,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
carlnassib_tb_2022_11,tb_2022_11,carlnassib_tb_2022,tb_2022,carlnassib,10699,ed,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
maliekcollins_hou_2022_11,hou_2022_11,maliekcollins_hou_2022,hou_2022,maliekcollins,10701,di,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
yannickngakoue_ind_2022_11,ind_2022_11,yannickngakoue_ind_2022,ind_2022,yannickngakoue,10703,ed,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonathanbullard_min_2022_11,min_2022_11,jonathanbullard_min_2022,min_2022,jonathanbullard,10706,di,min,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
javonhargrave_phi_2022_11,phi_2022_11,javonhargrave_phi_2022,phi_2022,javonhargrave,10723,di,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
hassanridgeway_sf_2022_11,sf_2022_11,hassanridgeway_sf_2022,sf_2022,hassanridgeway,10750,di,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
davidonyemata_no_2022_11,no_2022_11,davidonyemata_no_2022,no_2022,davidonyemata,10754,di,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
andrewbillings_lv_2022_11,lv_2022_11,andrewbillings_lv_2022,lv_2022,andrewbillings,10756,di,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deanlowry_gb_2022_11,gb_2022_11,deanlowry_gb_2022,gb_2022,deanlowry,10771,di,gb,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
quintonjefferson_sea_2022_11,sea_2022_11,quintonjefferson_sea_2022,sea_2022,quintonjefferson,10781,di,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deandrehoustoncarson_chi_2022_11,chi_2022_11,deandrehoustoncarson_chi_2022,chi_2022,deandrehoustoncarson,10819,s,chi,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
elandonroberts_mia_2022_11,mia_2022_11,elandonroberts_mia_2022,mia_2022,elandonroberts,10848,lb,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
