p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year,plyr_number
samoritoure_gb_2022_11,gb_2022_11,samoritoure_gb_2022,gb_2022,samoritoure,25276,wr,gb,1,24.5,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rachaadwhite_tb_2022_11,tb_2022_11,rachaadwhite_tb_2022,tb_2022,rachaadwhite,131633,hb,tb,1,-2.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
spencerbrown_car_2022_11,car_2022_11,spencerbrown_car_2022,car_2022,spencerbrown,57441,hb,car,1,-2.0,1,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deonjackson_ind_2022_11,ind_2022_11,deonjackson_ind_2022,ind_2022,deonjackson,57189,hb,ind,1,3.3,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tyquanthornton_ne_2022_11,ne_2022_11,tyquanthornton_ne_2022,ne_2022,tyquanthornton,78092,wr,ne,1,13.7,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ajdillon_gb_2022_11,gb_2022_11,ajdillon_gb_2022,gb_2022,ajdillon,57165,hb,gb,1,2.3,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonnusmith_ne_2022_11,ne_2022_11,jonnusmith_ne_2022,ne_2022,jonnusmith,11855,te,ne,1,-3.0,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jelaniwoods_ind_2022_11,ind_2022_11,jelaniwoods_ind_2022,ind_2022,jelaniwoods,60509,te,ind,1,15.0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
robbieanderson_ari_2022_11,ari_2022_11,robbieanderson_ari_2022,ari_2022,robbieanderson,11254,wr,ari,1,8.7,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
cjuzomah_nyj_2022_11,nyj_2022_11,cjuzomah_nyj_2022,nyj_2022,cjuzomah,9590,te,nyj,1,1.3,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
travishomer_sea_2022_11,sea_2022_11,travishomer_sea_2022,sea_2022,travishomer,45859,hb,sea,1,0.3,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
josholiver_bal_2022_11,bal_2022_11,josholiver_bal_2022,bal_2022,josholiver,47083,te,bal,1,3.7,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deseanjackson_bal_2022_11,bal_2022_11,deseanjackson_bal_2022,bal_2022,deseanjackson,4363,wr,bal,1,32.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
breshadperriman_tb_2022_11,tb_2022_11,breshadperriman_tb_2022,tb_2022,breshadperriman,9459,wr,tb,1,1.5,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chrismanhertz_jax_2022_11,jax_2022_11,chrismanhertz_jax_2022,jax_2022,chrismanhertz,10211,te,jax,1,4.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kenyandrake_bal_2022_11,bal_2022_11,kenyandrake_bal_2022,bal_2022,kenyandrake,10707,hb,bal,1,-2.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
samajeperine_cin_2022_11,cin_2022_11,samajeperine_cin_2022,cin_2022,samajeperine,11869,hb,cin,1,0.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trenttaylor_cin_2022_11,cin_2022_11,trenttaylor_cin_2022,cin_2022,trenttaylor,11932,wr,cin,1,2.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
moaliecox_ind_2022_11,ind_2022_11,moaliecox_ind_2022,ind_2022,moaliecox,12078,te,ind,1,5.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamesrobinson_nyj_2022_11,nyj_2022_11,jamesrobinson_nyj_2022,nyj_2022,jamesrobinson,22425,hb,nyj,1,-5.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
dwayneeskridge_sea_2022_11,sea_2022_11,dwayneeskridge_sea_2022,sea_2022,dwayneeskridge,29573,wr,sea,1,1.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kokieft_tb_2022_11,tb_2022_11,kokieft_tb_2022,tb_2022,kokieft,41372,te,tb,1,3.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
johnbates_was_2022_11,was_2022_11,johnbates_was_2022,was_2022,johnbates,42275,te,was,1,8.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylerconklin_nyj_2022_11,nyj_2022_11,tylerconklin_nyj_2022,nyj_2022,tylerconklin,47124,te,nyj,1,5.5,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
braxtonberrios_nyj_2022_11,nyj_2022_11,braxtonberrios_nyj_2022,nyj_2022,braxtonberrios,47961,wr,nyj,1,-1.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
equanimeousstbrown_chi_2022_11,chi_2022_11,equanimeousstbrown_chi_2022,chi_2022,equanimeousstbrown,47967,wr,chi,1,21.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamesproche_bal_2022_11,bal_2022_11,jamesproche_bal_2022,bal_2022,jamesproche,48037,wr,bal,1,7.5,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
nkealharry_chi_2022_11,chi_2022_11,nkealharry_chi_2022,chi_2022,nkealharry,48297,wr,chi,1,9.5,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
brianrobinsonjr_was_2022_11,was_2022_11,brianrobinsonjr_was_2022,was_2022,brianrobinsonjr,57120,hb,was,1,-3.5,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
brevinjordan_hou_2022_11,hou_2022_11,brevinjordan_hou_2022,hou_2022,brevinjordan,77887,te,hou,1,8.0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
michaelburton_kc_2022_11,kc_2022_11,michaelburton_kc_2022,kc_2022,michaelburton,9601,fb,kc,1,5.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
enobenjamin_ari_2022_11,ari_2022_11,enobenjamin_ari_2022,ari_2022,enobenjamin,57136,hb,ari,1,4.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
justicehill_bal_2022_11,bal_2022_11,justicehill_bal_2022,bal_2022,justicehill,45865,hb,bal,1,4.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mikedavis_bal_2022_11,bal_2022_11,mikedavis_bal_2022,bal_2022,mikedavis,9559,hb,bal,1,-4.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
michaelcarter_nyj_2022_11,nyj_2022_11,michaelcarter_nyj_2022,nyj_2022,michaelcarter,57337,hb,nyj,1,-5.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
averywilliams_atl_2022_11,atl_2022_11,averywilliams_atl_2022,atl_2022,averywilliams,42873,hb,atl,1,1.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
lukefarrell_jax_2022_11,jax_2022_11,lukefarrell_jax_2022,jax_2022,lukefarrell,42353,te,jax,1,2.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
gregdortch_ari_2022_11,ari_2022_11,gregdortch_ari_2022,ari_2022,gregdortch,42237,wr,ari,1,-5.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jalencamp_hou_2022_11,hou_2022_11,jalencamp_hou_2022,hou_2022,jalencamp,40986,wr,hou,1,7.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
devinasiasi_cin_2022_11,cin_2022_11,devinasiasi_cin_2022,cin_2022,devinasiasi,40294,te,cin,1,30.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
amarirodgers_gb_2022_11,gb_2022_11,amarirodgers_gb_2022,gb_2022,amarirodgers,61212,wr,gb,1,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
