p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
kyledugger_ne_2022_11,ne_2022_11,kyledugger_ne_2022,ne_2022,kyledugger,90621,s,ne,1,12,,12.0,0,0,0,0,0,0,0,0,0,11,2022,11
deandrehoustoncarson_chi_2022_11,chi_2022_11,deandrehoustoncarson_chi_2022,chi_2022,deandrehoustoncarson,10819,s,chi,1,1,,1.0,0,0,0,0,0,0,0,0,0,11,2022,11
jerryjacobs_det_2022_11,det_2022_11,jerryjacobs_det_2022,det_2022,jerryjacobs,83025,cb,det,1,1,,1.0,0,0,0,0,0,0,0,0,0,11,2022,11
devinmccourty_ne_2022_11,ne_2022_11,devinmccourty_ne_2022,ne_2022,devinmccourty,5552,s,ne,1,5,,2.5,0,0,0,0,0,0,0,0,0,11,2022,11
deshonelliott_det_2022_11,det_2022_11,deshonelliott_det_2022,det_2022,deshonelliott,28854,s,det,1,10,,10.0,0,0,0,0,0,0,0,0,0,11,2022,11
jessiebatesiii_cin_2022_11,cin_2022_11,jessiebatesiii_cin_2022,cin_2022,jessiebatesiii,49162,s,cin,1,3,,3.0,0,0,0,0,0,0,0,0,0,11,2022,11
ryanneal_sea_2022_11,sea_2022_11,ryanneal_sea_2022,sea_2022,ryanneal,49132,s,sea,1,9,,9.0,0,0,0,0,0,0,0,0,0,11,2022,11
byronmurphyjr_ari_2022_11,ari_2022_11,byronmurphyjr_ari_2022,ari_2022,byronmurphyjr,44027,cb,ari,1,11,,11.0,0,0,0,0,0,0,0,0,0,11,2022,11
mylesbryant_ne_2022_11,ne_2022_11,mylesbryant_ne_2022,ne_2022,mylesbryant,43336,cb,ne,1,29,29.0,14.5,0,0,0,0,0,0,0,0,0,11,2022,11
richiegrant_atl_2022_11,atl_2022_11,richiegrant_atl_2022,atl_2022,richiegrant,43196,s,atl,1,17,17.0,5.7,0,0,0,0,0,0,0,0,0,11,2022,11
michaelcarterii_nyj_2022_11,nyj_2022_11,michaelcarterii_nyj_2022,nyj_2022,michaelcarterii,60644,cb,nyj,1,31,15.5,7.8,0,0,0,0,0,0,0,0,0,11,2022,11
jalendavis_cin_2022_11,cin_2022_11,jalendavis_cin_2022,cin_2022,jalendavis,50431,cb,cin,1,24,12.0,6.0,0,0,0,0,0,0,0,0,0,11,2022,11
andrewadams_ten_2022_11,ten_2022_11,andrewadams_ten_2022,ten_2022,andrewadams,11240,s,ten,1,11,11.0,11.0,0,0,0,0,0,0,0,0,0,11,2022,11
deealford_atl_2022_11,atl_2022_11,deealford_atl_2022,atl_2022,deealford,110542,cb,atl,1,11,11.0,11.0,0,0,0,0,0,0,0,0,0,11,2022,11
