unique_id,player_id,value,player_name,match_name,score
masonschreck_cin_2018_15,masonschreck_cin_2018,1,masonschreck_cin_2018,masonschreck_cin_2018,100.0
joshtupou_cin_2018_15,joshtupou_cin_2018,1,joshtupou_cin_2018,joshtupou_cin_2018,100.0
adolphuswashington_cin_2018_15,adolphuswashington_cin_2018,1,adolphuswashington_cin_2018,adolphuswashington_cin_2018,100.0
ryanglasgow_cin_2019_15,ryanglasgow_cin_2019,1,ryanglasgow_cin_2019,ryanglasgow_cin_2019,100.0
drekirkpatrick_cin_2019_15,drekirkpatrick_cin_2019,1,drekirkpatrick_cin_2019,drekirkpatrick_cin_2019,100.0
alexredmond_cin_2019_15,alexredmond_cin_2019,1,alexredmond_cin_2019,alexredmond_cin_2019,100.0
drewsample_cin_2019_15,drewsample_cin_2019,1,drewsample_cin_2019,drewsample_cin_2019,100.0
audentate_cin_2019_15,audentate_cin_2019,1,audentate_cin_2019,audentate_cin_2019,100.0
brandonwilson_cin_2019_15,brandonwilson_cin_2019,1,brandonwilson_cin_2019,brandonwilson_cin_2019,100.0
renellwren_cin_2019_15,renellwren_cin_2019,1,renellwren_cin_2019,renellwren_cin_2019,100.0
kerrywynn_cin_2019_15,kerrywynn_cin_2019,1,kerrywynn_cin_2019,kerrywynn_cin_2019,100.0
brandonallen_cin_2020_15,brandonallen_cin_2020,1,brandonallen_cin_2020,brandonallen_cin_2020,100.0
genoatkins_cin_2020_15,genoatkins_cin_2020,1,genoatkins_cin_2020,genoatkins_cin_2020,100.0
tonybrown_cin_2020_15,tonybrown_cin_2020,1,tonybrown_cin_2020,tonybrown_cin_2020,100.0
joeburrow_cin_2020_15,joeburrow_cin_2020,1,joeburrow_cin_2020,joeburrow_cin_2020,100.0
joemixon_cin_2020_15,joemixon_cin_2020,1,joemixon_cin_2020,joemixon_cin_2020,100.0
djreader_cin_2020_15,djreader_cin_2020,1,djreader_cin_2020,djreader_cin_2020,100.0
johnross_cin_2020_15,johnross_cin_2020,1,johnross_cin_2020,johnross_cin_2020,100.0
cjuzomah_cin_2020_15,cjuzomah_cin_2020,1,cjuzomah_cin_2020,cjuzomah_cin_2020,100.0
loganwilson_cin_2020_15,loganwilson_cin_2020,1,loganwilson_cin_2020,loganwilson_cin_2020,100.0
akeemdavisgaither_cin_2021_15,akeemdavisgaither_cin_2021,1,akeemdavisgaither_cin_2021,akeemdavisgaither_cin_2021,100.0
jordanevans_cin_2021_15,jordanevans_cin_2021,1,jordanevans_cin_2021,jordanevans_cin_2021,100.0
vernonhargreavesiii_cin_2021_15,vernonhargreavesiii_cin_2021,1,vernonhargreavesiii_cin_2021,vernonhargreavesiii_cin_2021,100.0
treyhill_cin_2021_15,treyhill_cin_2021,1,treyhill_cin_2021,treyhill_cin_2021,100.0
dariusphillips_cin_2021_15,dariusphillips_cin_2021,1,dariusphillips_cin_2021,dariusphillips_cin_2021,100.0
